dataset_name,gan_image_id,fold_id,round_id,train_fold_id,test_fold_ids,binary_label,binary_group,seed,image_size,file_path,snapshot_path,source_type
dataset2,diffusion_gan_dataset2_fold1_seed20000_256,1,1,1,"2,3,4,5",0,cocci,20000,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20000.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20001_256,1,1,1,"2,3,4,5",0,cocci,20001,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20001.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20002_256,1,1,1,"2,3,4,5",0,cocci,20002,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20002.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20003_256,1,1,1,"2,3,4,5",0,cocci,20003,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20003.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20004_256,1,1,1,"2,3,4,5",0,cocci,20004,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20004.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20005_256,1,1,1,"2,3,4,5",0,cocci,20005,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20005.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20006_256,1,1,1,"2,3,4,5",0,cocci,20006,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20006.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20007_256,1,1,1,"2,3,4,5",0,cocci,20007,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20007.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20008_256,1,1,1,"2,3,4,5",0,cocci,20008,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20008.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
dataset2,diffusion_gan_dataset2_fold1_seed20009_256,1,1,1,"2,3,4,5",0,cocci,20009,256,gan_images_256/diffusion_gan/dataset2/fold_1/seed20009.png,checkpoints/40_train_diffusion_gan_make_images_dataset2/fold_1/00000-fold_1_minority_256-mirror-auto1-batch8-target0.6-ada_kimg100-ts_dist-priority-image_augno-noise_sd0.05-dg_d2_f1/network-snapshot-000200.pkl,diffusion_gan_generated
