dataset_name,gan_image_id,fold_id,round_id,train_fold_id,test_fold_ids,binary_label,binary_group,seed,image_size,file_path,snapshot_path,source_type
dibas,stylegan2_sparse_dibas_fold1_seed20000_256,1,1,1,"2,3,4,5",0,cocci,20000,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20000.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20001_256,1,1,1,"2,3,4,5",0,cocci,20001,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20001.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20002_256,1,1,1,"2,3,4,5",0,cocci,20002,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20002.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20003_256,1,1,1,"2,3,4,5",0,cocci,20003,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20003.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20004_256,1,1,1,"2,3,4,5",0,cocci,20004,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20004.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20005_256,1,1,1,"2,3,4,5",0,cocci,20005,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20005.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20006_256,1,1,1,"2,3,4,5",0,cocci,20006,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20006.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20007_256,1,1,1,"2,3,4,5",0,cocci,20007,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20007.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20008_256,1,1,1,"2,3,4,5",0,cocci,20008,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20008.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20009_256,1,1,1,"2,3,4,5",0,cocci,20009,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20009.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20010_256,1,1,1,"2,3,4,5",0,cocci,20010,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20010.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
dibas,stylegan2_sparse_dibas_fold1_seed20011_256,1,1,1,"2,3,4,5",0,cocci,20011,256,gan_images_256/stylegan2_sparse/dibas/fold_1/seed20011.png,checkpoints/04_train_gan_make_images_dibas/fold_1/00003-fold_1_minority_256-mirror-auto1-kimg200-batch8-ada-target0.6-color/network-snapshot-000160.pkl,stylegan2_sparse_generated
