cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2545,0.981867
2026,2026,1,cocci,bacilli,47,0.018133
2026,2026,1,bacilli,cocci,13,0.00354
2026,2026,1,bacilli,bacilli,3659,0.99646
2026,2026,2,cocci,cocci,2578,0.994599
2026,2026,2,cocci,bacilli,14,0.005401
2026,2026,2,bacilli,cocci,13,0.00354
2026,2026,2,bacilli,bacilli,3659,0.99646
2026,2026,3,cocci,cocci,2576,0.993827
2026,2026,3,cocci,bacilli,16,0.006173
2026,2026,3,bacilli,cocci,25,0.006808
2026,2026,3,bacilli,bacilli,3647,0.993192
2026,2026,4,cocci,cocci,2582,0.996142
2026,2026,4,cocci,bacilli,10,0.003858
2026,2026,4,bacilli,cocci,14,0.003813
2026,2026,4,bacilli,bacilli,3658,0.996187
2026,2026,5,cocci,cocci,2569,0.991127
2026,2026,5,cocci,bacilli,23,0.008873
2026,2026,5,bacilli,cocci,21,0.005719
2026,2026,5,bacilli,bacilli,3651,0.994281
2027,2027,1,cocci,cocci,2539,0.979552
2027,2027,1,cocci,bacilli,53,0.020448
2027,2027,1,bacilli,cocci,6,0.001634
2027,2027,1,bacilli,bacilli,3666,0.998366
2027,2027,2,cocci,cocci,2584,0.996914
2027,2027,2,cocci,bacilli,8,0.003086
2027,2027,2,bacilli,cocci,17,0.00463
2027,2027,2,bacilli,bacilli,3655,0.99537
2027,2027,3,cocci,cocci,2580,0.99537
2027,2027,3,cocci,bacilli,12,0.00463
2027,2027,3,bacilli,cocci,24,0.006536
2027,2027,3,bacilli,bacilli,3648,0.993464
2027,2027,4,cocci,cocci,2587,0.998071
2027,2027,4,cocci,bacilli,5,0.001929
2027,2027,4,bacilli,cocci,10,0.002723
2027,2027,4,bacilli,bacilli,3662,0.997277
2027,2027,5,cocci,cocci,2580,0.99537
2027,2027,5,cocci,bacilli,12,0.00463
2027,2027,5,bacilli,cocci,14,0.003813
2027,2027,5,bacilli,bacilli,3658,0.996187
2028,2028,1,cocci,cocci,2572,0.992284
2028,2028,1,cocci,bacilli,20,0.007716
2028,2028,1,bacilli,cocci,13,0.00354
2028,2028,1,bacilli,bacilli,3659,0.99646
2028,2028,2,cocci,cocci,2574,0.993056
2028,2028,2,cocci,bacilli,18,0.006944
2028,2028,2,bacilli,cocci,14,0.003813
2028,2028,2,bacilli,bacilli,3658,0.996187
2028,2028,3,cocci,cocci,2583,0.996528
2028,2028,3,cocci,bacilli,9,0.003472
2028,2028,3,bacilli,cocci,25,0.006808
2028,2028,3,bacilli,bacilli,3647,0.993192
2028,2028,4,cocci,cocci,2581,0.995756
2028,2028,4,cocci,bacilli,11,0.004244
2028,2028,4,bacilli,cocci,13,0.00354
2028,2028,4,bacilli,bacilli,3659,0.99646
2028,2028,5,cocci,cocci,2564,0.989198
2028,2028,5,cocci,bacilli,28,0.010802
2028,2028,5,bacilli,cocci,4,0.001089
2028,2028,5,bacilli,bacilli,3668,0.998911
