cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,resnet50,ResNet-50,gan,10,0.012158,0.995643,217.69,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2545,47,13,0.990421,0.981867,0.99646,0.994918,0.981867,0.98835,0.987318,0.99646,0.991868,0.991118,0.989163,0.990109,0.989163,checkpoints/06_resnet50_gan_dibas/seed_2026_round_1_final.pth,results/06_resnet50_gan_dibas/seed_2026_round_1_predictions.csv,results/06_resnet50_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,resnet50,ResNet-50,gan,10,0.004443,0.999455,168.65,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2578,14,13,0.99569,0.994599,0.99646,0.994983,0.994599,0.994791,0.996188,0.99646,0.996324,0.995586,0.995529,0.995557,0.995529,checkpoints/06_resnet50_gan_dibas/seed_2026_round_2_final.pth,results/06_resnet50_gan_dibas/seed_2026_round_2_predictions.csv,results/06_resnet50_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,resnet50,ResNet-50,gan,10,0.001918,1.0,168.58,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3647,2576,16,25,0.993455,0.993827,0.993192,0.990388,0.993827,0.992105,0.995632,0.993192,0.99441,0.99301,0.993509,0.993258,0.993509,checkpoints/06_resnet50_gan_dibas/seed_2026_round_3_final.pth,results/06_resnet50_gan_dibas/seed_2026_round_3_predictions.csv,results/06_resnet50_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,resnet50,ResNet-50,gan,10,0.002793,0.999455,169.03,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3658,2582,10,14,0.996169,0.996142,0.996187,0.994607,0.996142,0.995374,0.997274,0.996187,0.99673,0.99594,0.996165,0.996052,0.996165,checkpoints/06_resnet50_gan_dibas/seed_2026_round_4_final.pth,results/06_resnet50_gan_dibas/seed_2026_round_4_predictions.csv,results/06_resnet50_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,resnet50,ResNet-50,gan,10,0.003852,0.998911,168.09,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3651,2569,23,21,0.992976,0.991127,0.994281,0.991892,0.991127,0.991509,0.99374,0.994281,0.99401,0.992816,0.992704,0.99276,0.992704,checkpoints/06_resnet50_gan_dibas/seed_2026_round_5_final.pth,results/06_resnet50_gan_dibas/seed_2026_round_5_predictions.csv,results/06_resnet50_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,resnet50,ResNet-50,gan,10,0.001768,0.999455,169.62,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3666,2539,53,6,0.990581,0.979552,0.998366,0.997642,0.979552,0.988515,0.985749,0.998366,0.992017,0.991696,0.988959,0.990266,0.988959,checkpoints/06_resnet50_gan_dibas/seed_2027_round_1_final.pth,results/06_resnet50_gan_dibas/seed_2027_round_1_predictions.csv,results/06_resnet50_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,resnet50,ResNet-50,gan,10,0.003198,0.999455,167.81,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3655,2584,8,17,0.996009,0.996914,0.99537,0.993464,0.996914,0.995186,0.997816,0.99537,0.996592,0.99564,0.996142,0.995889,0.996142,checkpoints/06_resnet50_gan_dibas/seed_2027_round_2_final.pth,results/06_resnet50_gan_dibas/seed_2027_round_2_predictions.csv,results/06_resnet50_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,resnet50,ResNet-50,gan,10,0.00025,1.0,171.42,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3648,2580,12,24,0.994253,0.99537,0.993464,0.990783,0.99537,0.993072,0.996721,0.993464,0.99509,0.993752,0.994417,0.994081,0.994417,checkpoints/06_resnet50_gan_dibas/seed_2027_round_3_final.pth,results/06_resnet50_gan_dibas/seed_2027_round_3_predictions.csv,results/06_resnet50_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,resnet50,ResNet-50,gan,10,0.001165,1.0,168.57,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3662,2587,5,10,0.997605,0.998071,0.997277,0.996149,0.998071,0.997109,0.998636,0.997277,0.997956,0.997393,0.997674,0.997533,0.997674,checkpoints/06_resnet50_gan_dibas/seed_2027_round_4_final.pth,results/06_resnet50_gan_dibas/seed_2027_round_4_predictions.csv,results/06_resnet50_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,resnet50,ResNet-50,gan,10,0.007657,0.998366,168.15,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3658,2580,12,14,0.995849,0.99537,0.996187,0.994603,0.99537,0.994987,0.99673,0.996187,0.996459,0.995667,0.995779,0.995723,0.995779,checkpoints/06_resnet50_gan_dibas/seed_2027_round_5_final.pth,results/06_resnet50_gan_dibas/seed_2027_round_5_predictions.csv,results/06_resnet50_gan_dibas/seed_2027_round_5_training_history.csv
