cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2579,0.994985
2026,2026,1,cocci,bacilli,13,0.005015
2026,2026,1,bacilli,cocci,11,0.002996
2026,2026,1,bacilli,bacilli,3661,0.997004
2026,2026,2,cocci,cocci,2584,0.996914
2026,2026,2,cocci,bacilli,8,0.003086
2026,2026,2,bacilli,cocci,8,0.002179
2026,2026,2,bacilli,bacilli,3664,0.997821
2026,2026,3,cocci,cocci,2589,0.998843
2026,2026,3,cocci,bacilli,3,0.001157
2026,2026,3,bacilli,cocci,66,0.017974
2026,2026,3,bacilli,bacilli,3606,0.982026
2026,2026,4,cocci,cocci,2589,0.998843
2026,2026,4,cocci,bacilli,3,0.001157
2026,2026,4,bacilli,cocci,13,0.00354
2026,2026,4,bacilli,bacilli,3659,0.99646
2026,2026,5,cocci,cocci,2566,0.989969
2026,2026,5,cocci,bacilli,26,0.010031
2026,2026,5,bacilli,cocci,10,0.002723
2026,2026,5,bacilli,bacilli,3662,0.997277
2027,2027,1,cocci,cocci,2582,0.996142
2027,2027,1,cocci,bacilli,10,0.003858
2027,2027,1,bacilli,cocci,16,0.004357
2027,2027,1,bacilli,bacilli,3656,0.995643
2027,2027,2,cocci,cocci,2586,0.997685
2027,2027,2,cocci,bacilli,6,0.002315
2027,2027,2,bacilli,cocci,14,0.003813
2027,2027,2,bacilli,bacilli,3658,0.996187
2027,2027,3,cocci,cocci,2569,0.991127
2027,2027,3,cocci,bacilli,23,0.008873
2027,2027,3,bacilli,cocci,11,0.002996
2027,2027,3,bacilli,bacilli,3661,0.997004
2027,2027,4,cocci,cocci,2591,0.999614
2027,2027,4,cocci,bacilli,1,0.000386
2027,2027,4,bacilli,cocci,12,0.003268
2027,2027,4,bacilli,bacilli,3660,0.996732
2027,2027,5,cocci,cocci,2574,0.993056
2027,2027,5,cocci,bacilli,18,0.006944
2027,2027,5,bacilli,cocci,4,0.001089
2027,2027,5,bacilli,bacilli,3668,0.998911
2028,2028,1,cocci,cocci,2574,0.993056
2028,2028,1,cocci,bacilli,18,0.006944
2028,2028,1,bacilli,cocci,23,0.006264
2028,2028,1,bacilli,bacilli,3649,0.993736
2028,2028,2,cocci,cocci,2582,0.996142
2028,2028,2,cocci,bacilli,10,0.003858
2028,2028,2,bacilli,cocci,20,0.005447
2028,2028,2,bacilli,bacilli,3652,0.994553
2028,2028,3,cocci,cocci,2583,0.996528
2028,2028,3,cocci,bacilli,9,0.003472
2028,2028,3,bacilli,cocci,46,0.012527
2028,2028,3,bacilli,bacilli,3626,0.987473
2028,2028,4,cocci,cocci,2579,0.994985
2028,2028,4,cocci,bacilli,13,0.005015
2028,2028,4,bacilli,cocci,9,0.002451
2028,2028,4,bacilli,bacilli,3663,0.997549
2028,2028,5,cocci,cocci,2567,0.990355
2028,2028,5,cocci,bacilli,25,0.009645
2028,2028,5,bacilli,cocci,9,0.002451
2028,2028,5,bacilli,bacilli,3663,0.997549
