cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,efficientnetv2s,EfficientNetV2-S,baseline,10,0.001624,1.0,222.9,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3661,2579,13,11,0.996169,0.994985,0.997004,0.995753,0.994985,0.995369,0.996462,0.997004,0.996733,0.996107,0.995994,0.996051,0.995994,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2026_round_1_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_1_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,efficientnetv2s,EfficientNetV2-S,baseline,10,0.006146,0.999361,172.45,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3664,2584,8,8,0.997446,0.996914,0.997821,0.996914,0.996914,0.996914,0.997821,0.997821,0.997821,0.997367,0.997367,0.997367,0.997367,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2026_round_2_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_2_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,efficientnetv2s,EfficientNetV2-S,baseline,10,0.010166,0.998084,171.86,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3606,2589,3,66,0.988985,0.998843,0.982026,0.975141,0.998843,0.98685,0.999169,0.982026,0.990523,0.987155,0.990434,0.988686,0.990434,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2026_round_3_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_3_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,efficientnetv2s,EfficientNetV2-S,baseline,10,0.000696,1.0,170.79,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3659,2589,3,13,0.997446,0.998843,0.99646,0.995004,0.998843,0.99692,0.999181,0.99646,0.997818,0.997092,0.997651,0.997369,0.997651,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2026_round_4_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_4_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,efficientnetv2s,EfficientNetV2-S,baseline,10,0.001174,1.0,170.9,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3662,2566,26,10,0.994253,0.989969,0.997277,0.996118,0.989969,0.993034,0.99295,0.997277,0.995109,0.994534,0.993623,0.994071,0.993623,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2026_round_5_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_5_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,efficientnetv2s,EfficientNetV2-S,baseline,10,0.008499,0.997446,170.71,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3656,2582,10,16,0.995849,0.996142,0.995643,0.993841,0.996142,0.99499,0.997272,0.995643,0.996457,0.995557,0.995892,0.995724,0.995892,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2027_round_1_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_1_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,efficientnetv2s,EfficientNetV2-S,baseline,10,0.007614,0.997446,171.0,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3658,2586,6,14,0.996807,0.997685,0.996187,0.994615,0.997685,0.996148,0.998362,0.996187,0.997274,0.996489,0.996936,0.996711,0.996936,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2027_round_2_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_2_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,efficientnetv2s,EfficientNetV2-S,baseline,10,0.011935,0.996169,171.33,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3661,2569,23,11,0.994572,0.991127,0.997004,0.995736,0.991127,0.993426,0.993757,0.997004,0.995378,0.994747,0.994065,0.994402,0.994065,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2027_round_3_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_3_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,efficientnetv2s,EfficientNetV2-S,baseline,10,0.001997,1.0,171.14,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3660,2591,1,12,0.997925,0.999614,0.996732,0.99539,0.999614,0.997498,0.999727,0.996732,0.998227,0.997558,0.998173,0.997862,0.998173,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2027_round_4_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_4_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,efficientnetv2s,EfficientNetV2-S,baseline,10,0.001012,1.0,170.89,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3668,2574,18,4,0.996488,0.993056,0.998911,0.998448,0.993056,0.995745,0.995117,0.998911,0.99701,0.996783,0.995983,0.996377,0.995983,checkpoints/07_efficientnetv2s_baseline_dibas/seed_2027_round_5_final.pth,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_5_predictions.csv,results/07_efficientnetv2s_baseline_dibas/seed_2027_round_5_training_history.csv
