cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2574,0.993056
2026,2026,1,cocci,bacilli,18,0.006944
2026,2026,1,bacilli,cocci,12,0.003268
2026,2026,1,bacilli,bacilli,3660,0.996732
2026,2026,2,cocci,cocci,2579,0.994985
2026,2026,2,cocci,bacilli,13,0.005015
2026,2026,2,bacilli,cocci,13,0.00354
2026,2026,2,bacilli,bacilli,3659,0.99646
2026,2026,3,cocci,cocci,2586,0.997685
2026,2026,3,cocci,bacilli,6,0.002315
2026,2026,3,bacilli,cocci,35,0.009532
2026,2026,3,bacilli,bacilli,3637,0.990468
2026,2026,4,cocci,cocci,2583,0.996528
2026,2026,4,cocci,bacilli,9,0.003472
2026,2026,4,bacilli,cocci,6,0.001634
2026,2026,4,bacilli,bacilli,3666,0.998366
2026,2026,5,cocci,cocci,2579,0.994985
2026,2026,5,cocci,bacilli,13,0.005015
2026,2026,5,bacilli,cocci,3,0.000817
2026,2026,5,bacilli,bacilli,3669,0.999183
2027,2027,1,cocci,cocci,2580,0.99537
2027,2027,1,cocci,bacilli,12,0.00463
2027,2027,1,bacilli,cocci,11,0.002996
2027,2027,1,bacilli,bacilli,3661,0.997004
2027,2027,2,cocci,cocci,2583,0.996528
2027,2027,2,cocci,bacilli,9,0.003472
2027,2027,2,bacilli,cocci,9,0.002451
2027,2027,2,bacilli,bacilli,3663,0.997549
2027,2027,3,cocci,cocci,2587,0.998071
2027,2027,3,cocci,bacilli,5,0.001929
2027,2027,3,bacilli,cocci,39,0.010621
2027,2027,3,bacilli,bacilli,3633,0.989379
2027,2027,4,cocci,cocci,2578,0.994599
2027,2027,4,cocci,bacilli,14,0.005401
2027,2027,4,bacilli,cocci,10,0.002723
2027,2027,4,bacilli,bacilli,3662,0.997277
2027,2027,5,cocci,cocci,2554,0.98534
2027,2027,5,cocci,bacilli,38,0.01466
2027,2027,5,bacilli,cocci,2,0.000545
2027,2027,5,bacilli,bacilli,3670,0.999455
2028,2028,1,cocci,cocci,2576,0.993827
2028,2028,1,cocci,bacilli,16,0.006173
2028,2028,1,bacilli,cocci,12,0.003268
2028,2028,1,bacilli,bacilli,3660,0.996732
2028,2028,2,cocci,cocci,2580,0.99537
2028,2028,2,cocci,bacilli,12,0.00463
2028,2028,2,bacilli,cocci,7,0.001906
2028,2028,2,bacilli,bacilli,3665,0.998094
2028,2028,3,cocci,cocci,2587,0.998071
2028,2028,3,cocci,bacilli,5,0.001929
2028,2028,3,bacilli,cocci,28,0.007625
2028,2028,3,bacilli,bacilli,3644,0.992375
2028,2028,4,cocci,cocci,2592,1.0
2028,2028,4,cocci,bacilli,0,0.0
2028,2028,4,bacilli,cocci,13,0.00354
2028,2028,4,bacilli,bacilli,3659,0.99646
2028,2028,5,cocci,cocci,2568,0.990741
2028,2028,5,cocci,bacilli,24,0.009259
2028,2028,5,bacilli,cocci,1,0.000272
2028,2028,5,bacilli,bacilli,3671,0.999728
