cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,efficientnetv2s,EfficientNetV2-S,gan,10,0.007703,0.997277,247.8,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2574,18,12,0.995211,0.993056,0.996732,0.99536,0.993056,0.994206,0.995106,0.996732,0.995918,0.995233,0.994894,0.995062,0.994894,checkpoints/08_efficientnetv2s_gan_dibas/seed_2026_round_1_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2026_round_1_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,efficientnetv2s,EfficientNetV2-S,gan,10,0.009936,0.998366,195.4,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2579,13,13,0.995849,0.994985,0.99646,0.994985,0.994985,0.994985,0.99646,0.99646,0.99646,0.995722,0.995722,0.995722,0.995722,checkpoints/08_efficientnetv2s_gan_dibas/seed_2026_round_2_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2026_round_2_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,efficientnetv2s,EfficientNetV2-S,gan,10,0.016814,0.995098,196.9,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3637,2586,6,35,0.993455,0.997685,0.990468,0.986646,0.997685,0.992135,0.998353,0.990468,0.994395,0.9925,0.994077,0.993265,0.994077,checkpoints/08_efficientnetv2s_gan_dibas/seed_2026_round_3_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2026_round_3_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,efficientnetv2s,EfficientNetV2-S,gan,10,0.002939,0.999455,196.13,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3666,2583,9,6,0.997605,0.996528,0.998366,0.997683,0.996528,0.997105,0.997551,0.998366,0.997958,0.997617,0.997447,0.997532,0.997447,checkpoints/08_efficientnetv2s_gan_dibas/seed_2026_round_4_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2026_round_4_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,efficientnetv2s,EfficientNetV2-S,gan,10,0.004131,0.998366,195.82,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3669,2579,13,3,0.997446,0.994985,0.999183,0.998838,0.994985,0.996908,0.996469,0.999183,0.997824,0.997654,0.997084,0.997366,0.997084,checkpoints/08_efficientnetv2s_gan_dibas/seed_2026_round_5_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2026_round_5_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,efficientnetv2s,EfficientNetV2-S,gan,10,0.002412,0.999455,197.01,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3661,2580,12,11,0.996328,0.99537,0.997004,0.995755,0.99537,0.995562,0.996733,0.997004,0.996869,0.996244,0.996187,0.996216,0.996187,checkpoints/08_efficientnetv2s_gan_dibas/seed_2027_round_1_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2027_round_1_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,efficientnetv2s,EfficientNetV2-S,gan,10,0.000773,1.0,195.85,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3663,2583,9,9,0.997126,0.996528,0.997549,0.996528,0.996528,0.996528,0.997549,0.997549,0.997549,0.997038,0.997038,0.997038,0.997038,checkpoints/08_efficientnetv2s_gan_dibas/seed_2027_round_2_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2027_round_2_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,efficientnetv2s,EfficientNetV2-S,gan,10,0.00435,0.999455,197.12,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3633,2587,5,39,0.992976,0.998071,0.989379,0.985149,0.998071,0.991568,0.998626,0.989379,0.993981,0.991887,0.993725,0.992774,0.993725,checkpoints/08_efficientnetv2s_gan_dibas/seed_2027_round_3_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2027_round_3_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,efficientnetv2s,EfficientNetV2-S,gan,10,0.002009,0.999455,195.44,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3662,2578,14,10,0.996169,0.994599,0.997277,0.996136,0.994599,0.995367,0.996192,0.997277,0.996734,0.996164,0.995938,0.99605,0.995938,checkpoints/08_efficientnetv2s_gan_dibas/seed_2027_round_4_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2027_round_4_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,efficientnetv2s,EfficientNetV2-S,gan,10,0.004681,0.998911,196.27,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3670,2554,38,2,0.993614,0.98534,0.999455,0.999218,0.98534,0.99223,0.989752,0.999455,0.99458,0.994485,0.992397,0.993405,0.992397,checkpoints/08_efficientnetv2s_gan_dibas/seed_2027_round_5_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2027_round_5_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,efficientnetv2s,EfficientNetV2-S,gan,10,0.000886,1.0,199.71,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2576,16,12,0.99553,0.993827,0.996732,0.995363,0.993827,0.994595,0.995647,0.996732,0.996189,0.995505,0.99528,0.995392,0.99528,checkpoints/08_efficientnetv2s_gan_dibas/seed_2028_round_1_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2028_round_1_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2028_round_1_training_history.csv
2028,2028,2,efficientnetv2s,EfficientNetV2-S,gan,10,0.000588,1.0,195.53,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3665,2580,12,7,0.996967,0.99537,0.998094,0.997294,0.99537,0.996331,0.996736,0.998094,0.997415,0.997015,0.996732,0.996873,0.996732,checkpoints/08_efficientnetv2s_gan_dibas/seed_2028_round_2_final.pth,results/08_efficientnetv2s_gan_dibas/seed_2028_round_2_predictions.csv,results/08_efficientnetv2s_gan_dibas/seed_2028_round_2_training_history.csv
