cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2561,0.98804
2026,2026,1,cocci,bacilli,31,0.01196
2026,2026,1,bacilli,cocci,24,0.006536
2026,2026,1,bacilli,bacilli,3648,0.993464
2026,2026,2,cocci,cocci,2574,0.993056
2026,2026,2,cocci,bacilli,18,0.006944
2026,2026,2,bacilli,cocci,13,0.00354
2026,2026,2,bacilli,bacilli,3659,0.99646
2026,2026,3,cocci,cocci,2586,0.997685
2026,2026,3,cocci,bacilli,6,0.002315
2026,2026,3,bacilli,cocci,38,0.010349
2026,2026,3,bacilli,bacilli,3634,0.989651
2026,2026,4,cocci,cocci,2577,0.994213
2026,2026,4,cocci,bacilli,15,0.005787
2026,2026,4,bacilli,cocci,16,0.004357
2026,2026,4,bacilli,bacilli,3656,0.995643
2026,2026,5,cocci,cocci,2528,0.975309
2026,2026,5,cocci,bacilli,64,0.024691
2026,2026,5,bacilli,cocci,6,0.001634
2026,2026,5,bacilli,bacilli,3666,0.998366
2027,2027,1,cocci,cocci,2558,0.986883
2027,2027,1,cocci,bacilli,34,0.013117
2027,2027,1,bacilli,cocci,17,0.00463
2027,2027,1,bacilli,bacilli,3655,0.99537
2027,2027,2,cocci,cocci,2577,0.994213
2027,2027,2,cocci,bacilli,15,0.005787
2027,2027,2,bacilli,cocci,23,0.006264
2027,2027,2,bacilli,bacilli,3649,0.993736
2027,2027,3,cocci,cocci,2588,0.998457
2027,2027,3,cocci,bacilli,4,0.001543
2027,2027,3,bacilli,cocci,55,0.014978
2027,2027,3,bacilli,bacilli,3617,0.985022
2027,2027,4,cocci,cocci,2555,0.985725
2027,2027,4,cocci,bacilli,37,0.014275
2027,2027,4,bacilli,cocci,15,0.004085
2027,2027,4,bacilli,bacilli,3657,0.995915
2027,2027,5,cocci,cocci,2526,0.974537
2027,2027,5,cocci,bacilli,66,0.025463
2027,2027,5,bacilli,cocci,6,0.001634
2027,2027,5,bacilli,bacilli,3666,0.998366
2028,2028,1,cocci,cocci,2565,0.989583
2028,2028,1,cocci,bacilli,27,0.010417
2028,2028,1,bacilli,cocci,20,0.005447
2028,2028,1,bacilli,bacilli,3652,0.994553
2028,2028,2,cocci,cocci,2576,0.993827
2028,2028,2,cocci,bacilli,16,0.006173
2028,2028,2,bacilli,cocci,13,0.00354
2028,2028,2,bacilli,bacilli,3659,0.99646
2028,2028,3,cocci,cocci,2587,0.998071
2028,2028,3,cocci,bacilli,5,0.001929
2028,2028,3,bacilli,cocci,274,0.074619
2028,2028,3,bacilli,bacilli,3398,0.925381
2028,2028,4,cocci,cocci,2571,0.991898
2028,2028,4,cocci,bacilli,21,0.008102
2028,2028,4,bacilli,cocci,13,0.00354
2028,2028,4,bacilli,bacilli,3659,0.99646
2028,2028,5,cocci,cocci,2516,0.970679
2028,2028,5,cocci,bacilli,76,0.029321
2028,2028,5,bacilli,cocci,5,0.001362
2028,2028,5,bacilli,bacilli,3667,0.998638
