cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.002915,0.999361,223.62,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3648,2561,31,24,0.99122,0.98804,0.993464,0.990716,0.98804,0.989376,0.991574,0.993464,0.992518,0.991145,0.990752,0.990947,0.990752,checkpoints/09_convnextv2nano_baseline_dibas/seed_2026_round_1_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2026_round_1_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.000128,1.0,178.14,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3659,2574,18,13,0.995051,0.993056,0.99646,0.994975,0.993056,0.994014,0.995105,0.99646,0.995782,0.99504,0.994758,0.994898,0.994758,checkpoints/09_convnextv2nano_baseline_dibas/seed_2026_round_2_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2026_round_2_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,convnextv2nano,ConvNeXtV2-Nano,baseline,10,3.7e-05,1.0,178.7,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3634,2586,6,38,0.992976,0.997685,0.989651,0.985518,0.997685,0.991564,0.998352,0.989651,0.993982,0.991935,0.993668,0.992773,0.993668,checkpoints/09_convnextv2nano_baseline_dibas/seed_2026_round_3_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2026_round_3_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,convnextv2nano,ConvNeXtV2-Nano,baseline,10,7.1e-05,1.0,178.84,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3656,2577,15,16,0.995051,0.994213,0.995643,0.99383,0.994213,0.994021,0.995914,0.995643,0.995778,0.994872,0.994928,0.9949,0.994928,checkpoints/09_convnextv2nano_baseline_dibas/seed_2026_round_4_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2026_round_4_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.006159,0.997446,178.83,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3666,2528,64,6,0.988825,0.975309,0.998366,0.997632,0.975309,0.986344,0.982842,0.998366,0.990543,0.990237,0.986837,0.988444,0.986837,checkpoints/09_convnextv2nano_baseline_dibas/seed_2026_round_5_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2026_round_5_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.002337,0.999361,182.4,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3655,2558,34,17,0.991858,0.986883,0.99537,0.993398,0.986883,0.99013,0.990783,0.99537,0.993072,0.992091,0.991127,0.991601,0.991127,checkpoints/09_convnextv2nano_baseline_dibas/seed_2027_round_1_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2027_round_1_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.000247,1.0,183.25,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3649,2577,15,23,0.993934,0.994213,0.993736,0.991154,0.994213,0.992681,0.995906,0.993736,0.99482,0.99353,0.993975,0.993751,0.993975,checkpoints/09_convnextv2nano_baseline_dibas/seed_2027_round_2_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2027_round_2_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,convnextv2nano,ConvNeXtV2-Nano,baseline,10,3.7e-05,1.0,178.36,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3617,2588,4,55,0.990581,0.998457,0.985022,0.97919,0.998457,0.98873,0.998895,0.985022,0.99191,0.989043,0.991739,0.99032,0.991739,checkpoints/09_convnextv2nano_baseline_dibas/seed_2027_round_3_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2027_round_3_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,convnextv2nano,ConvNeXtV2-Nano,baseline,10,7.5e-05,1.0,178.79,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3657,2555,37,15,0.991699,0.985725,0.995915,0.994163,0.985725,0.989926,0.989984,0.995915,0.992941,0.992074,0.99082,0.991433,0.99082,checkpoints/09_convnextv2nano_baseline_dibas/seed_2027_round_4_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2027_round_4_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.006802,0.997446,178.62,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3666,2526,66,6,0.988506,0.974537,0.998366,0.99763,0.974537,0.985948,0.982315,0.998366,0.990276,0.989973,0.986452,0.988112,0.986452,checkpoints/09_convnextv2nano_baseline_dibas/seed_2027_round_5_final.pth,results/09_convnextv2nano_baseline_dibas/seed_2027_round_5_predictions.csv,results/09_convnextv2nano_baseline_dibas/seed_2027_round_5_training_history.csv
