cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2461,0.94946
2026,2026,1,cocci,bacilli,131,0.05054
2026,2026,1,bacilli,cocci,15,0.004085
2026,2026,1,bacilli,bacilli,3657,0.995915
2026,2026,2,cocci,cocci,2579,0.994985
2026,2026,2,cocci,bacilli,13,0.005015
2026,2026,2,bacilli,cocci,42,0.011438
2026,2026,2,bacilli,bacilli,3630,0.988562
2026,2026,3,cocci,cocci,2582,0.996142
2026,2026,3,cocci,bacilli,10,0.003858
2026,2026,3,bacilli,cocci,56,0.015251
2026,2026,3,bacilli,bacilli,3616,0.984749
2026,2026,4,cocci,cocci,2570,0.991512
2026,2026,4,cocci,bacilli,22,0.008488
2026,2026,4,bacilli,cocci,12,0.003268
2026,2026,4,bacilli,bacilli,3660,0.996732
2026,2026,5,cocci,cocci,2532,0.976852
2026,2026,5,cocci,bacilli,60,0.023148
2026,2026,5,bacilli,cocci,6,0.001634
2026,2026,5,bacilli,bacilli,3666,0.998366
2027,2027,1,cocci,cocci,2546,0.982253
2027,2027,1,cocci,bacilli,46,0.017747
2027,2027,1,bacilli,cocci,22,0.005991
2027,2027,1,bacilli,bacilli,3650,0.994009
2027,2027,2,cocci,cocci,2578,0.994599
2027,2027,2,cocci,bacilli,14,0.005401
2027,2027,2,bacilli,cocci,25,0.006808
2027,2027,2,bacilli,bacilli,3647,0.993192
2027,2027,3,cocci,cocci,2589,0.998843
2027,2027,3,cocci,bacilli,3,0.001157
2027,2027,3,bacilli,cocci,55,0.014978
2027,2027,3,bacilli,bacilli,3617,0.985022
2027,2027,4,cocci,cocci,2571,0.991898
2027,2027,4,cocci,bacilli,21,0.008102
2027,2027,4,bacilli,cocci,15,0.004085
2027,2027,4,bacilli,bacilli,3657,0.995915
2027,2027,5,cocci,cocci,2528,0.975309
2027,2027,5,cocci,bacilli,64,0.024691
2027,2027,5,bacilli,cocci,12,0.003268
2027,2027,5,bacilli,bacilli,3660,0.996732
2028,2028,1,cocci,cocci,2538,0.979167
2028,2028,1,cocci,bacilli,54,0.020833
2028,2028,1,bacilli,cocci,28,0.007625
2028,2028,1,bacilli,bacilli,3644,0.992375
2028,2028,2,cocci,cocci,2575,0.993441
2028,2028,2,cocci,bacilli,17,0.006559
2028,2028,2,bacilli,cocci,18,0.004902
2028,2028,2,bacilli,bacilli,3654,0.995098
2028,2028,3,cocci,cocci,2583,0.996528
2028,2028,3,cocci,bacilli,9,0.003472
2028,2028,3,bacilli,cocci,70,0.019063
2028,2028,3,bacilli,bacilli,3602,0.980937
2028,2028,4,cocci,cocci,2570,0.991512
2028,2028,4,cocci,bacilli,22,0.008488
2028,2028,4,bacilli,cocci,13,0.00354
2028,2028,4,bacilli,bacilli,3659,0.99646
2028,2028,5,cocci,cocci,2540,0.979938
2028,2028,5,cocci,bacilli,52,0.020062
2028,2028,5,bacilli,cocci,9,0.002451
2028,2028,5,bacilli,bacilli,3663,0.997549
