cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.006098,0.998911,252.23,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3657,2461,131,15,0.976692,0.94946,0.995915,0.993942,0.94946,0.971192,0.965417,0.995915,0.980429,0.979679,0.972687,0.97581,0.972687,checkpoints/10_convnextv2nano_gan_dibas/seed_2026_round_1_final.pth,results/10_convnextv2nano_gan_dibas/seed_2026_round_1_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,convnextv2nano,ConvNeXtV2-Nano,gan,10,2.8e-05,1.0,214.98,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3630,2579,13,42,0.99122,0.994985,0.988562,0.983976,0.994985,0.989449,0.996432,0.988562,0.992481,0.990204,0.991773,0.990965,0.991773,checkpoints/10_convnextv2nano_gan_dibas/seed_2026_round_2_final.pth,results/10_convnextv2nano_gan_dibas/seed_2026_round_2_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.000149,1.0,214.5,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3616,2582,10,56,0.989464,0.996142,0.984749,0.978772,0.996142,0.98738,0.997242,0.984749,0.990956,0.988007,0.990446,0.989168,0.990446,checkpoints/10_convnextv2nano_gan_dibas/seed_2026_round_3_final.pth,results/10_convnextv2nano_gan_dibas/seed_2026_round_3_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,convnextv2nano,ConvNeXtV2-Nano,gan,10,7.2e-05,1.0,214.36,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2570,22,12,0.994572,0.991512,0.996732,0.995352,0.991512,0.993429,0.994025,0.996732,0.995377,0.994689,0.994122,0.994403,0.994122,checkpoints/10_convnextv2nano_gan_dibas/seed_2026_round_4_final.pth,results/10_convnextv2nano_gan_dibas/seed_2026_round_4_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.006384,0.997821,216.03,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3666,2532,60,6,0.989464,0.976852,0.998366,0.997636,0.976852,0.987135,0.983897,0.998366,0.991079,0.990766,0.987609,0.989107,0.987609,checkpoints/10_convnextv2nano_gan_dibas/seed_2026_round_5_final.pth,results/10_convnextv2nano_gan_dibas/seed_2026_round_5_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.002658,0.999455,216.6,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3650,2546,46,22,0.989144,0.982253,0.994009,0.991433,0.982253,0.986822,0.987554,0.994009,0.990771,0.989494,0.988131,0.988796,0.988131,checkpoints/10_convnextv2nano_gan_dibas/seed_2027_round_1_final.pth,results/10_convnextv2nano_gan_dibas/seed_2027_round_1_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,convnextv2nano,ConvNeXtV2-Nano,gan,10,5.1e-05,1.0,218.03,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3647,2578,14,25,0.993774,0.994599,0.993192,0.990396,0.994599,0.992493,0.996176,0.993192,0.994682,0.993286,0.993895,0.993587,0.993895,checkpoints/10_convnextv2nano_gan_dibas/seed_2027_round_2_final.pth,results/10_convnextv2nano_gan_dibas/seed_2027_round_2_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,convnextv2nano,ConvNeXtV2-Nano,gan,10,6.6e-05,1.0,217.53,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3617,2589,3,55,0.990741,0.998843,0.985022,0.979198,0.998843,0.988923,0.999171,0.985022,0.992046,0.989185,0.991932,0.990484,0.991932,checkpoints/10_convnextv2nano_gan_dibas/seed_2027_round_3_final.pth,results/10_convnextv2nano_gan_dibas/seed_2027_round_3_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,convnextv2nano,ConvNeXtV2-Nano,gan,10,5.1e-05,1.0,220.68,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3657,2571,21,15,0.994253,0.991898,0.995915,0.9942,0.991898,0.993048,0.99429,0.995915,0.995102,0.994245,0.993907,0.994075,0.993907,checkpoints/10_convnextv2nano_gan_dibas/seed_2027_round_4_final.pth,results/10_convnextv2nano_gan_dibas/seed_2027_round_4_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.005878,0.997821,218.67,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2528,64,12,0.987867,0.975309,0.996732,0.995276,0.975309,0.985191,0.982814,0.996732,0.989724,0.989045,0.98602,0.987458,0.98602,checkpoints/10_convnextv2nano_gan_dibas/seed_2027_round_5_final.pth,results/10_convnextv2nano_gan_dibas/seed_2027_round_5_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.003671,0.999455,217.86,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3644,2538,54,28,0.986909,0.979167,0.992375,0.989088,0.979167,0.984102,0.985398,0.992375,0.988874,0.987243,0.985771,0.986488,0.985771,checkpoints/10_convnextv2nano_gan_dibas/seed_2028_round_1_final.pth,results/10_convnextv2nano_gan_dibas/seed_2028_round_1_predictions.csv,results/10_convnextv2nano_gan_dibas/seed_2028_round_1_training_history.csv
