width,height,image_count
832,832,2
864,864,3
911,911,4
916,916,5
927,927,3
938,938,3
942,942,4
946,946,3
951,951,3
962,962,3
964,964,3
972,972,7
977,977,1
981,981,4
989,989,1
994,994,6
1007,1007,1
1012,1012,4
1016,1016,6
1020,1020,3
1025,1025,12
1029,1029,3
1038,1038,6
1042,1042,10
1046,1046,1
1048,1048,3
1051,1051,16
1055,1055,7
1060,1060,3
1064,1064,11
1067,1067,2
1068,1068,11
1073,1073,13
1077,1077,5
1081,1081,17
1086,1086,3
1090,1090,15
1094,1094,6
1099,1099,3
1103,1103,20
1107,1107,9
1112,1112,9
1116,1116,6
1121,1121,6
1125,1125,3
1129,1129,5
1138,1138,3
1142,1142,9
1155,1155,3
1160,1160,1
1164,1164,2
1168,1168,2
1186,1186,3
1225,1225,130
