cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1400,0.995025
2026,2026,1,cocci,bacilli,7,0.004975
2026,2026,1,bacilli,cocci,18,0.009464
2026,2026,1,bacilli,bacilli,1884,0.990536
2026,2026,2,cocci,cocci,1433,0.99307
2026,2026,2,cocci,bacilli,10,0.00693
2026,2026,2,bacilli,cocci,25,0.013165
2026,2026,2,bacilli,bacilli,1874,0.986835
2026,2026,3,cocci,cocci,1419,0.993002
2026,2026,3,cocci,bacilli,10,0.006998
2026,2026,3,bacilli,cocci,12,0.006173
2026,2026,3,bacilli,bacilli,1932,0.993827
2026,2026,4,cocci,cocci,1425,0.99234
2026,2026,4,cocci,bacilli,11,0.00766
2026,2026,4,bacilli,cocci,50,0.026015
2026,2026,4,bacilli,bacilli,1872,0.973985
2026,2026,5,cocci,cocci,1415,0.987439
2026,2026,5,cocci,bacilli,18,0.012561
2026,2026,5,bacilli,cocci,1,0.000526
2026,2026,5,bacilli,bacilli,1900,0.999474
2027,2027,1,cocci,cocci,1387,0.985785
2027,2027,1,cocci,bacilli,20,0.014215
2027,2027,1,bacilli,cocci,3,0.001577
2027,2027,1,bacilli,bacilli,1899,0.998423
2027,2027,2,cocci,cocci,1431,0.991684
2027,2027,2,cocci,bacilli,12,0.008316
2027,2027,2,bacilli,cocci,20,0.010532
2027,2027,2,bacilli,bacilli,1879,0.989468
2027,2027,3,cocci,cocci,1418,0.992302
2027,2027,3,cocci,bacilli,11,0.007698
2027,2027,3,bacilli,cocci,20,0.010288
2027,2027,3,bacilli,bacilli,1924,0.989712
2027,2027,4,cocci,cocci,1434,0.998607
2027,2027,4,cocci,bacilli,2,0.001393
2027,2027,4,bacilli,cocci,34,0.01769
2027,2027,4,bacilli,bacilli,1888,0.98231
2027,2027,5,cocci,cocci,1422,0.992324
2027,2027,5,cocci,bacilli,11,0.007676
2027,2027,5,bacilli,cocci,12,0.006312
2027,2027,5,bacilli,bacilli,1889,0.993688
2028,2028,1,cocci,cocci,1397,0.992893
2028,2028,1,cocci,bacilli,10,0.007107
2028,2028,1,bacilli,cocci,5,0.002629
2028,2028,1,bacilli,bacilli,1897,0.997371
2028,2028,2,cocci,cocci,1437,0.995842
2028,2028,2,cocci,bacilli,6,0.004158
2028,2028,2,bacilli,cocci,32,0.016851
2028,2028,2,bacilli,bacilli,1867,0.983149
2028,2028,3,cocci,cocci,1419,0.993002
2028,2028,3,cocci,bacilli,10,0.006998
2028,2028,3,bacilli,cocci,14,0.007202
2028,2028,3,bacilli,bacilli,1930,0.992798
2028,2028,4,cocci,cocci,1434,0.998607
2028,2028,4,cocci,bacilli,2,0.001393
2028,2028,4,bacilli,cocci,36,0.01873
2028,2028,4,bacilli,bacilli,1886,0.98127
2028,2028,5,cocci,cocci,1422,0.992324
2028,2028,5,cocci,bacilli,11,0.007676
2028,2028,5,bacilli,cocci,5,0.00263
2028,2028,5,bacilli,bacilli,1896,0.99737
