cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,resnet50,ResNet-50,gan,10,0.00737,0.99898,138.89,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1888,1400,7,14,0.993654,0.995025,0.992639,0.990099,0.995025,0.992556,0.996306,0.992639,0.994469,0.993203,0.993832,0.993513,0.993832,checkpoints/16_resnet50_gan_dataset2/seed_2026_round_1_final.pth,results/16_resnet50_gan_dataset2/seed_2026_round_1_predictions.csv,results/16_resnet50_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,resnet50,ResNet-50,gan,10,0.003894,1.0,118.24,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1877,1435,8,22,0.991023,0.994456,0.988415,0.9849,0.994456,0.989655,0.995756,0.988415,0.992072,0.990328,0.991435,0.990864,0.991435,checkpoints/16_resnet50_gan_dataset2/seed_2026_round_2_final.pth,results/16_resnet50_gan_dataset2/seed_2026_round_2_predictions.csv,results/16_resnet50_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,resnet50,ResNet-50,gan,10,0.003112,0.998884,83.43,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1924,1420,9,20,0.991402,0.993702,0.989712,0.986111,0.993702,0.989892,0.995344,0.989712,0.99252,0.990728,0.991707,0.991206,0.991707,checkpoints/16_resnet50_gan_dataset2/seed_2026_round_3_final.pth,results/16_resnet50_gan_dataset2/seed_2026_round_3_predictions.csv,results/16_resnet50_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,resnet50,ResNet-50,gan,10,0.011376,0.994681,100.84,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1861,1436,0,61,0.981834,1.0,0.968262,0.959252,1.0,0.979202,1.0,0.968262,0.983875,0.979626,0.984131,0.981539,0.984131,checkpoints/16_resnet50_gan_dataset2/seed_2026_round_4_final.pth,results/16_resnet50_gan_dataset2/seed_2026_round_4_predictions.csv,results/16_resnet50_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,resnet50,ResNet-50,gan,10,0.005587,0.998982,104.34,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1897,1421,12,4,0.995201,0.991626,0.997896,0.997193,0.991626,0.994402,0.993714,0.997896,0.995801,0.995453,0.994761,0.995101,0.994761,checkpoints/16_resnet50_gan_dataset2/seed_2026_round_5_final.pth,results/16_resnet50_gan_dataset2/seed_2026_round_5_predictions.csv,results/16_resnet50_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,resnet50,ResNet-50,gan,10,0.005184,0.99898,90.93,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1892,1402,5,10,0.995467,0.996446,0.994742,0.992918,0.996446,0.994679,0.997364,0.994742,0.996052,0.995141,0.995594,0.995365,0.995594,checkpoints/16_resnet50_gan_dataset2/seed_2027_round_1_final.pth,results/16_resnet50_gan_dataset2/seed_2027_round_1_predictions.csv,results/16_resnet50_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,resnet50,ResNet-50,gan,10,0.000921,1.0,89.84,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1894,1435,8,5,0.99611,0.994456,0.997367,0.996528,0.994456,0.995491,0.995794,0.997367,0.99658,0.996161,0.995912,0.996035,0.995912,checkpoints/16_resnet50_gan_dataset2/seed_2027_round_2_final.pth,results/16_resnet50_gan_dataset2/seed_2027_round_2_predictions.csv,results/16_resnet50_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,resnet50,ResNet-50,gan,10,0.0012,1.0,83.49,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1931,1417,12,13,0.992588,0.991603,0.993313,0.990909,0.991603,0.991256,0.993824,0.993313,0.993568,0.992367,0.992458,0.992412,0.992458,checkpoints/16_resnet50_gan_dataset2/seed_2027_round_3_final.pth,results/16_resnet50_gan_dataset2/seed_2027_round_3_predictions.csv,results/16_resnet50_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,resnet50,ResNet-50,gan,10,0.005771,0.997872,86.74,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1894,1415,21,28,0.985408,0.985376,0.985432,0.980596,0.985376,0.98298,0.989034,0.985432,0.98723,0.984815,0.985404,0.985105,0.985404,checkpoints/16_resnet50_gan_dataset2/seed_2027_round_4_final.pth,results/16_resnet50_gan_dataset2/seed_2027_round_4_predictions.csv,results/16_resnet50_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,resnet50,ResNet-50,gan,10,0.002347,1.0,89.67,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1899,1421,12,2,0.995801,0.991626,0.998948,0.998595,0.991626,0.995098,0.993721,0.998948,0.996327,0.996158,0.995287,0.995713,0.995287,checkpoints/16_resnet50_gan_dataset2/seed_2027_round_5_final.pth,results/16_resnet50_gan_dataset2/seed_2027_round_5_predictions.csv,results/16_resnet50_gan_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,resnet50,ResNet-50,gan,10,0.009351,0.99898,89.55,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1894,1400,7,8,0.995467,0.995025,0.995794,0.994318,0.995025,0.994671,0.996318,0.995794,0.996056,0.995318,0.995409,0.995364,0.995409,checkpoints/16_resnet50_gan_dataset2/seed_2028_round_1_final.pth,results/16_resnet50_gan_dataset2/seed_2028_round_1_predictions.csv,results/16_resnet50_gan_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,resnet50,ResNet-50,gan,10,0.003788,1.0,89.87,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1888,1431,12,11,0.993118,0.991684,0.994207,0.992372,0.991684,0.992028,0.993684,0.994207,0.993946,0.993028,0.992946,0.992987,0.992946,checkpoints/16_resnet50_gan_dataset2/seed_2028_round_2_final.pth,results/16_resnet50_gan_dataset2/seed_2028_round_2_predictions.csv,results/16_resnet50_gan_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,resnet50,ResNet-50,gan,10,0.002096,1.0,83.58,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1934,1421,8,10,0.994664,0.994402,0.994856,0.993012,0.994402,0.993706,0.995881,0.994856,0.995368,0.994446,0.994629,0.994537,0.994629,checkpoints/16_resnet50_gan_dataset2/seed_2028_round_3_final.pth,results/16_resnet50_gan_dataset2/seed_2028_round_3_predictions.csv,results/16_resnet50_gan_dataset2/seed_2028_round_3_training_history.csv
2028,2028,4,resnet50,ResNet-50,gan,10,0.004892,1.0,86.53,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1881,1436,0,41,0.98779,1.0,0.978668,0.972241,1.0,0.985925,1.0,0.978668,0.989219,0.986121,0.989334,0.987572,0.989334,checkpoints/16_resnet50_gan_dataset2/seed_2028_round_4_final.pth,results/16_resnet50_gan_dataset2/seed_2028_round_4_predictions.csv,results/16_resnet50_gan_dataset2/seed_2028_round_4_training_history.csv
2028,2028,5,resnet50,ResNet-50,gan,10,0.007467,0.997963,89.59,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1899,1423,10,2,0.996401,0.993022,0.998948,0.998596,0.993022,0.995801,0.994762,0.998948,0.99685,0.996679,0.995985,0.996326,0.995985,checkpoints/16_resnet50_gan_dataset2/seed_2028_round_5_final.pth,results/16_resnet50_gan_dataset2/seed_2028_round_5_predictions.csv,results/16_resnet50_gan_dataset2/seed_2028_round_5_training_history.csv
