cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,efficientnetv2s,EfficientNetV2-S,baseline,10,0.002902,1.0,144.09,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1890,1404,3,12,0.995467,0.997868,0.993691,0.991525,0.997868,0.994687,0.998415,0.993691,0.996047,0.99497,0.995779,0.995367,0.995779,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2026_round_1_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_1_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,efficientnetv2s,EfficientNetV2-S,baseline,10,0.008586,0.997611,123.22,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1883,1438,5,16,0.993716,0.996535,0.991575,0.988996,0.996535,0.992751,0.997352,0.991575,0.994455,0.993174,0.994055,0.993603,0.994055,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2026_round_2_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_2_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,efficientnetv2s,EfficientNetV2-S,baseline,10,0.001974,1.0,88.57,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1941,1420,9,3,0.996442,0.993702,0.998457,0.997892,0.993702,0.995792,0.995385,0.998457,0.996918,0.996638,0.996079,0.996355,0.996079,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2026_round_3_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_3_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,efficientnetv2s,EfficientNetV2-S,baseline,10,0.010134,0.998782,91.01,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1889,1432,4,33,0.988982,0.997214,0.98283,0.977474,0.997214,0.987246,0.997887,0.98283,0.990301,0.987681,0.990022,0.988774,0.990022,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2026_round_4_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_4_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,efficientnetv2s,EfficientNetV2-S,baseline,10,0.001936,1.0,93.55,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1899,1424,9,2,0.996701,0.993719,0.998948,0.998597,0.993719,0.996153,0.995283,0.998948,0.997112,0.99694,0.996334,0.996632,0.996334,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2026_round_5_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_5_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,efficientnetv2s,EfficientNetV2-S,baseline,10,0.002595,1.0,95.7,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1885,1401,6,17,0.993049,0.995736,0.991062,0.988011,0.995736,0.991858,0.996827,0.991062,0.993936,0.992419,0.993399,0.992897,0.993399,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2027_round_1_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_1_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,efficientnetv2s,EfficientNetV2-S,baseline,10,0.001597,1.0,92.65,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1885,1439,4,14,0.994614,0.997228,0.992628,0.990365,0.997228,0.993785,0.997882,0.992628,0.995248,0.994124,0.994928,0.994516,0.994928,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2027_round_2_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_2_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,efficientnetv2s,EfficientNetV2-S,baseline,10,0.005662,0.998759,89.93,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1938,1424,5,6,0.996739,0.996501,0.996914,0.995804,0.996501,0.996153,0.997427,0.996914,0.99717,0.996615,0.996707,0.996661,0.996707,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2027_round_3_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_3_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,efficientnetv2s,EfficientNetV2-S,baseline,10,0.002925,1.0,91.18,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1885,1433,3,37,0.988088,0.997911,0.980749,0.97483,0.997911,0.986235,0.998411,0.980749,0.989501,0.98662,0.98933,0.987868,0.98933,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2027_round_4_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_4_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,efficientnetv2s,EfficientNetV2-S,baseline,10,0.006549,1.0,93.27,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1897,1428,5,4,0.997301,0.996511,0.997896,0.997207,0.996511,0.996859,0.997371,0.997896,0.997633,0.997289,0.997203,0.997246,0.997203,checkpoints/17_efficientnetv2s_baseline_dataset2/seed_2027_round_5_final.pth,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_5_predictions.csv,results/17_efficientnetv2s_baseline_dataset2/seed_2027_round_5_training_history.csv
