cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1403,0.997157
2026,2026,1,cocci,bacilli,4,0.002843
2026,2026,1,bacilli,cocci,10,0.005258
2026,2026,1,bacilli,bacilli,1892,0.994742
2026,2026,2,cocci,cocci,1436,0.995149
2026,2026,2,cocci,bacilli,7,0.004851
2026,2026,2,bacilli,cocci,8,0.004213
2026,2026,2,bacilli,bacilli,1891,0.995787
2026,2026,3,cocci,cocci,1424,0.996501
2026,2026,3,cocci,bacilli,5,0.003499
2026,2026,3,bacilli,cocci,17,0.008745
2026,2026,3,bacilli,bacilli,1927,0.991255
2026,2026,4,cocci,cocci,1433,0.997911
2026,2026,4,cocci,bacilli,3,0.002089
2026,2026,4,bacilli,cocci,18,0.009365
2026,2026,4,bacilli,bacilli,1904,0.990635
2026,2026,5,cocci,cocci,1427,0.995813
2026,2026,5,cocci,bacilli,6,0.004187
2026,2026,5,bacilli,cocci,3,0.001578
2026,2026,5,bacilli,bacilli,1898,0.998422
2027,2027,1,cocci,cocci,1403,0.997157
2027,2027,1,cocci,bacilli,4,0.002843
2027,2027,1,bacilli,cocci,8,0.004206
2027,2027,1,bacilli,bacilli,1894,0.995794
2027,2027,2,cocci,cocci,1436,0.995149
2027,2027,2,cocci,bacilli,7,0.004851
2027,2027,2,bacilli,cocci,11,0.005793
2027,2027,2,bacilli,bacilli,1888,0.994207
2027,2027,3,cocci,cocci,1421,0.994402
2027,2027,3,cocci,bacilli,8,0.005598
2027,2027,3,bacilli,cocci,8,0.004115
2027,2027,3,bacilli,bacilli,1936,0.995885
2027,2027,4,cocci,cocci,1433,0.997911
2027,2027,4,cocci,bacilli,3,0.002089
2027,2027,4,bacilli,cocci,19,0.009886
2027,2027,4,bacilli,bacilli,1903,0.990114
2027,2027,5,cocci,cocci,1425,0.994417
2027,2027,5,cocci,bacilli,8,0.005583
2027,2027,5,bacilli,cocci,5,0.00263
2027,2027,5,bacilli,bacilli,1896,0.99737
2028,2028,1,cocci,cocci,1402,0.996446
2028,2028,1,cocci,bacilli,5,0.003554
2028,2028,1,bacilli,cocci,9,0.004732
2028,2028,1,bacilli,bacilli,1893,0.995268
2028,2028,2,cocci,cocci,1427,0.988912
2028,2028,2,cocci,bacilli,16,0.011088
2028,2028,2,bacilli,cocci,3,0.00158
2028,2028,2,bacilli,bacilli,1896,0.99842
2028,2028,3,cocci,cocci,1418,0.992302
2028,2028,3,cocci,bacilli,11,0.007698
2028,2028,3,bacilli,cocci,3,0.001543
2028,2028,3,bacilli,bacilli,1941,0.998457
2028,2028,4,cocci,cocci,1434,0.998607
2028,2028,4,cocci,bacilli,2,0.001393
2028,2028,4,bacilli,cocci,32,0.016649
2028,2028,4,bacilli,bacilli,1890,0.983351
2028,2028,5,cocci,cocci,1424,0.993719
2028,2028,5,cocci,bacilli,9,0.006281
2028,2028,5,bacilli,cocci,1,0.000526
2028,2028,5,bacilli,bacilli,1900,0.999474
