cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,efficientnetv2s,EfficientNetV2-S,gan,10,0.002367,1.0,154.8,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1892,1403,4,10,0.995769,0.997157,0.994742,0.992923,0.997157,0.995035,0.99789,0.994742,0.996314,0.995407,0.99595,0.995675,0.99595,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2026_round_1_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_1_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,efficientnetv2s,EfficientNetV2-S,gan,10,0.002016,1.0,136.38,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1891,1436,7,8,0.995512,0.995149,0.995787,0.99446,0.995149,0.994804,0.996312,0.995787,0.99605,0.995386,0.995468,0.995427,0.995468,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2026_round_2_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_2_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,efficientnetv2s,EfficientNetV2-S,gan,10,0.009299,0.996652,95.23,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1927,1424,5,17,0.993478,0.996501,0.991255,0.988203,0.996501,0.992334,0.997412,0.991255,0.994324,0.992807,0.993878,0.993329,0.993878,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2026_round_3_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_3_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,efficientnetv2s,EfficientNetV2-S,gan,10,0.003768,1.0,117.23,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1904,1433,3,18,0.993746,0.997911,0.990635,0.987595,0.997911,0.992726,0.998427,0.990635,0.994516,0.993011,0.994273,0.993621,0.994273,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2026_round_4_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_4_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,efficientnetv2s,EfficientNetV2-S,gan,10,0.002293,1.0,119.97,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1898,1427,6,3,0.997301,0.995813,0.998422,0.997902,0.995813,0.996856,0.996849,0.998422,0.997635,0.997375,0.997117,0.997246,0.997117,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2026_round_5_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_5_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,efficientnetv2s,EfficientNetV2-S,gan,10,0.014026,0.997959,103.61,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1894,1403,4,8,0.996374,0.997157,0.995794,0.99433,0.997157,0.995742,0.997893,0.995794,0.996842,0.996111,0.996475,0.996292,0.996475,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2027_round_1_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_1_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,efficientnetv2s,EfficientNetV2-S,gan,10,0.003911,0.998986,103.86,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1888,1436,7,11,0.994614,0.995149,0.994207,0.992398,0.995149,0.993772,0.996306,0.994207,0.995256,0.994352,0.994678,0.994514,0.994678,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2027_round_2_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_2_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,efficientnetv2s,EfficientNetV2-S,gan,10,0.002963,1.0,96.17,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1936,1421,8,8,0.995256,0.994402,0.995885,0.994402,0.994402,0.994402,0.995885,0.995885,0.995885,0.995143,0.995143,0.995143,0.995143,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2027_round_3_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_3_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,efficientnetv2s,EfficientNetV2-S,gan,10,0.00205,1.0,100.0,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1903,1433,3,19,0.993448,0.997911,0.990114,0.986915,0.997911,0.992382,0.998426,0.990114,0.994253,0.99267,0.994013,0.993318,0.994013,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2027_round_4_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_4_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,efficientnetv2s,EfficientNetV2-S,gan,10,0.01006,0.996945,103.57,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1896,1425,8,5,0.996101,0.994417,0.99737,0.996503,0.994417,0.995459,0.995798,0.99737,0.996583,0.996151,0.995894,0.996021,0.995894,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2027_round_5_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_5_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,efficientnetv2s,EfficientNetV2-S,gan,10,0.006026,0.99898,104.79,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1893,1402,5,9,0.995769,0.996446,0.995268,0.993622,0.996446,0.995032,0.997366,0.995268,0.996316,0.995494,0.995857,0.995674,0.995857,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2028_round_1_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2028_round_1_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,efficientnetv2s,EfficientNetV2-S,gan,10,0.002834,1.0,104.12,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1896,1427,16,3,0.994315,0.988912,0.99842,0.997902,0.988912,0.993387,0.991632,0.99842,0.995014,0.994767,0.993666,0.994201,0.993666,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2028_round_2_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2028_round_2_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,efficientnetv2s,EfficientNetV2-S,gan,10,0.001218,1.0,96.06,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1941,1418,11,3,0.995849,0.992302,0.998457,0.997889,0.992302,0.995088,0.994365,0.998457,0.996407,0.996127,0.99538,0.995747,0.99538,checkpoints/18_efficientnetv2s_gan_dataset2/seed_2028_round_3_final.pth,results/18_efficientnetv2s_gan_dataset2/seed_2028_round_3_predictions.csv,results/18_efficientnetv2s_gan_dataset2/seed_2028_round_3_training_history.csv
