cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1393,0.99005
2026,2026,1,cocci,bacilli,14,0.00995
2026,2026,1,bacilli,cocci,11,0.005783
2026,2026,1,bacilli,bacilli,1891,0.994217
2026,2026,2,cocci,cocci,0,0.0
2026,2026,2,cocci,bacilli,1443,1.0
2026,2026,2,bacilli,cocci,0,0.0
2026,2026,2,bacilli,bacilli,1899,1.0
2026,2026,3,cocci,cocci,1416,0.990903
2026,2026,3,cocci,bacilli,13,0.009097
2026,2026,3,bacilli,cocci,10,0.005144
2026,2026,3,bacilli,bacilli,1934,0.994856
2026,2026,4,cocci,cocci,1424,0.991643
2026,2026,4,cocci,bacilli,12,0.008357
2026,2026,4,bacilli,cocci,31,0.016129
2026,2026,4,bacilli,bacilli,1891,0.983871
2026,2026,5,cocci,cocci,1404,0.979763
2026,2026,5,cocci,bacilli,29,0.020237
2026,2026,5,bacilli,cocci,3,0.001578
2026,2026,5,bacilli,bacilli,1898,0.998422
2027,2027,1,cocci,cocci,1401,0.995736
2027,2027,1,cocci,bacilli,6,0.004264
2027,2027,1,bacilli,cocci,12,0.006309
2027,2027,1,bacilli,bacilli,1890,0.993691
2027,2027,2,cocci,cocci,1324,0.917533
2027,2027,2,cocci,bacilli,119,0.082467
2027,2027,2,bacilli,cocci,21,0.011058
2027,2027,2,bacilli,bacilli,1878,0.988942
2027,2027,3,cocci,cocci,1422,0.995101
2027,2027,3,cocci,bacilli,7,0.004899
2027,2027,3,bacilli,cocci,9,0.00463
2027,2027,3,bacilli,bacilli,1935,0.99537
2027,2027,4,cocci,cocci,1422,0.990251
2027,2027,4,cocci,bacilli,14,0.009749
2027,2027,4,bacilli,cocci,26,0.013528
2027,2027,4,bacilli,bacilli,1896,0.986472
2027,2027,5,cocci,cocci,1418,0.989532
2027,2027,5,cocci,bacilli,15,0.010468
2027,2027,5,bacilli,cocci,12,0.006312
2027,2027,5,bacilli,bacilli,1889,0.993688
2028,2028,1,cocci,cocci,1384,0.983653
2028,2028,1,cocci,bacilli,23,0.016347
2028,2028,1,bacilli,cocci,23,0.012093
2028,2028,1,bacilli,bacilli,1879,0.987907
2028,2028,2,cocci,cocci,1420,0.984061
2028,2028,2,cocci,bacilli,23,0.015939
2028,2028,2,bacilli,cocci,17,0.008952
2028,2028,2,bacilli,bacilli,1882,0.991048
2028,2028,3,cocci,cocci,1409,0.986004
2028,2028,3,cocci,bacilli,20,0.013996
2028,2028,3,bacilli,cocci,8,0.004115
2028,2028,3,bacilli,bacilli,1936,0.995885
2028,2028,4,cocci,cocci,183,0.127437
2028,2028,4,cocci,bacilli,1253,0.872563
2028,2028,4,bacilli,cocci,6,0.003122
2028,2028,4,bacilli,bacilli,1916,0.996878
2028,2028,5,cocci,cocci,1411,0.984648
2028,2028,5,cocci,bacilli,22,0.015352
2028,2028,5,bacilli,cocci,8,0.004208
2028,2028,5,bacilli,bacilli,1893,0.995792
