cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.000116,1.0,142.8,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1891,1393,14,11,0.992445,0.99005,0.994217,0.992165,0.99005,0.991106,0.992651,0.994217,0.993433,0.992408,0.992133,0.99227,0.992133,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2026_round_1_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_1_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.677676,0.589008,123.57,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1899,0,1443,0,0.568223,0.0,1.0,0.0,0.0,0.0,0.568223,1.0,0.724671,0.284111,0.5,0.362335,0.5,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2026_round_2_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_2_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,convnextv2nano,ConvNeXtV2-Nano,baseline,10,7.5e-05,1.0,96.29,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1934,1416,13,10,0.993181,0.990903,0.994856,0.992987,0.990903,0.991944,0.993323,0.994856,0.994089,0.993155,0.992879,0.993016,0.992879,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2026_round_3_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_3_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.000201,1.0,99.27,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1891,1424,12,31,0.987195,0.991643,0.983871,0.978694,0.991643,0.985126,0.993694,0.983871,0.988758,0.986194,0.987757,0.986942,0.987757,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2026_round_4_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_4_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.006088,0.998817,104.72,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1898,1404,29,3,0.990402,0.979763,0.998422,0.997868,0.979763,0.988732,0.984951,0.998422,0.991641,0.991409,0.989092,0.990186,0.989092,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2026_round_5_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_5_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,convnextv2nano,ConvNeXtV2-Nano,baseline,10,9.7e-05,1.0,103.0,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1890,1401,6,12,0.99456,0.995736,0.993691,0.991507,0.995736,0.993617,0.996835,0.993691,0.995261,0.994171,0.994713,0.994439,0.994713,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2027_round_1_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_1_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.014333,0.995221,100.13,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1878,1324,119,21,0.958109,0.917533,0.988942,0.984387,0.917533,0.949785,0.940411,0.988942,0.964066,0.962399,0.953237,0.956925,0.953237,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2027_round_2_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_2_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.000144,1.0,97.25,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1935,1422,7,9,0.995256,0.995101,0.99537,0.993711,0.995101,0.994406,0.996395,0.99537,0.995883,0.995053,0.995236,0.995144,0.995236,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2027_round_3_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_3_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.022362,0.992692,98.15,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1896,1422,14,26,0.988088,0.990251,0.986472,0.982044,0.990251,0.98613,0.99267,0.986472,0.989562,0.987357,0.988362,0.987846,0.988362,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2027_round_4_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_4_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.00987,0.99645,100.66,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1889,1418,15,12,0.991902,0.989532,0.993688,0.991608,0.989532,0.990569,0.992122,0.993688,0.992904,0.991865,0.99161,0.991737,0.99161,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2027_round_5_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_5_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,convnextv2nano,ConvNeXtV2-Nano,baseline,10,0.014223,0.991954,103.11,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1879,1384,23,23,0.986099,0.983653,0.987907,0.983653,0.983653,0.983653,0.987907,0.987907,0.987907,0.98578,0.98578,0.98578,0.98578,checkpoints/19_convnextv2nano_baseline_dataset2/seed_2028_round_1_final.pth,results/19_convnextv2nano_baseline_dataset2/seed_2028_round_1_predictions.csv,results/19_convnextv2nano_baseline_dataset2/seed_2028_round_1_training_history.csv
