cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1399,0.994314
2026,2026,1,cocci,bacilli,8,0.005686
2026,2026,1,bacilli,cocci,14,0.007361
2026,2026,1,bacilli,bacilli,1888,0.992639
2026,2026,2,cocci,cocci,1423,0.98614
2026,2026,2,cocci,bacilli,20,0.01386
2026,2026,2,bacilli,cocci,18,0.009479
2026,2026,2,bacilli,bacilli,1881,0.990521
2026,2026,3,cocci,cocci,1412,0.988104
2026,2026,3,cocci,bacilli,17,0.011896
2026,2026,3,bacilli,cocci,10,0.005144
2026,2026,3,bacilli,bacilli,1934,0.994856
2026,2026,4,cocci,cocci,1429,0.995125
2026,2026,4,cocci,bacilli,7,0.004875
2026,2026,4,bacilli,cocci,46,0.023933
2026,2026,4,bacilli,bacilli,1876,0.976067
2026,2026,5,cocci,cocci,1414,0.986741
2026,2026,5,cocci,bacilli,19,0.013259
2026,2026,5,bacilli,cocci,4,0.002104
2026,2026,5,bacilli,bacilli,1897,0.997896
2027,2027,1,cocci,cocci,1401,0.995736
2027,2027,1,cocci,bacilli,6,0.004264
2027,2027,1,bacilli,cocci,8,0.004206
2027,2027,1,bacilli,bacilli,1894,0.995794
2027,2027,2,cocci,cocci,1432,0.992377
2027,2027,2,cocci,bacilli,11,0.007623
2027,2027,2,bacilli,cocci,24,0.012638
2027,2027,2,bacilli,bacilli,1875,0.987362
2027,2027,3,cocci,cocci,1412,0.988104
2027,2027,3,cocci,bacilli,17,0.011896
2027,2027,3,bacilli,cocci,6,0.003086
2027,2027,3,bacilli,bacilli,1938,0.996914
2027,2027,4,cocci,cocci,1427,0.993733
2027,2027,4,cocci,bacilli,9,0.006267
2027,2027,4,bacilli,cocci,53,0.027575
2027,2027,4,bacilli,bacilli,1869,0.972425
2027,2027,5,cocci,cocci,1427,0.995813
2027,2027,5,cocci,bacilli,6,0.004187
2027,2027,5,bacilli,cocci,14,0.007365
2027,2027,5,bacilli,bacilli,1887,0.992635
2028,2028,1,cocci,cocci,1387,0.985785
2028,2028,1,cocci,bacilli,20,0.014215
2028,2028,1,bacilli,cocci,13,0.006835
2028,2028,1,bacilli,bacilli,1889,0.993165
2028,2028,2,cocci,cocci,1426,0.988219
2028,2028,2,cocci,bacilli,17,0.011781
2028,2028,2,bacilli,cocci,33,0.017378
2028,2028,2,bacilli,bacilli,1866,0.982622
2028,2028,3,cocci,cocci,1398,0.978307
2028,2028,3,cocci,bacilli,31,0.021693
2028,2028,3,bacilli,cocci,8,0.004115
2028,2028,3,bacilli,bacilli,1936,0.995885
2028,2028,4,cocci,cocci,1427,0.993733
2028,2028,4,cocci,bacilli,9,0.006267
2028,2028,4,bacilli,cocci,31,0.016129
2028,2028,4,bacilli,bacilli,1891,0.983871
2028,2028,5,cocci,cocci,1372,0.957432
2028,2028,5,cocci,bacilli,61,0.042568
2028,2028,5,bacilli,cocci,0,0.0
2028,2028,5,bacilli,bacilli,1901,1.0
