cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.000138,1.0,150.15,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1888,1399,8,14,0.993351,0.994314,0.992639,0.990092,0.994314,0.992199,0.995781,0.992639,0.994207,0.992936,0.993477,0.993203,0.993477,checkpoints/20_convnextv2nano_gan_dataset2/seed_2026_round_1_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2026_round_1_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.004242,0.998986,133.23,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1881,1423,20,18,0.98863,0.98614,0.990521,0.987509,0.98614,0.986824,0.989479,0.990521,0.99,0.988494,0.988331,0.988412,0.988331,checkpoints/20_convnextv2nano_gan_dataset2/seed_2026_round_2_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2026_round_2_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.000102,1.0,100.93,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1934,1412,17,10,0.991995,0.988104,0.994856,0.992968,0.988104,0.99053,0.991287,0.994856,0.993068,0.992127,0.99148,0.991799,0.99148,checkpoints/20_convnextv2nano_gan_dataset2/seed_2026_round_3_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2026_round_3_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.00011,1.0,119.07,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1876,1429,7,46,0.984217,0.995125,0.976067,0.968814,0.995125,0.981793,0.996283,0.976067,0.986071,0.982548,0.985596,0.983932,0.985596,checkpoints/20_convnextv2nano_gan_dataset2/seed_2026_round_4_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2026_round_4_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.008025,0.996945,122.05,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1897,1414,19,4,0.993101,0.986741,0.997896,0.997179,0.986741,0.991933,0.990084,0.997896,0.993974,0.993631,0.992318,0.992953,0.992318,checkpoints/20_convnextv2nano_gan_dataset2/seed_2026_round_5_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2026_round_5_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.000107,1.0,108.93,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1894,1401,6,8,0.995769,0.995736,0.995794,0.994322,0.995736,0.995028,0.996842,0.995794,0.996318,0.995582,0.995765,0.995673,0.995765,checkpoints/20_convnextv2nano_gan_dataset2/seed_2027_round_1_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2027_round_1_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.003993,0.998986,109.31,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1875,1432,11,24,0.989527,0.992377,0.987362,0.983516,0.992377,0.987927,0.994168,0.987362,0.990753,0.988842,0.989869,0.98934,0.989869,checkpoints/20_convnextv2nano_gan_dataset2/seed_2027_round_2_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2027_round_2_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,convnextv2nano,ConvNeXtV2-Nano,gan,10,7.7e-05,1.0,101.14,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1938,1412,17,6,0.993181,0.988104,0.996914,0.995769,0.988104,0.991921,0.991304,0.996914,0.994101,0.993537,0.992509,0.993011,0.992509,checkpoints/20_convnextv2nano_gan_dataset2/seed_2027_round_3_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2027_round_3_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.000127,1.0,104.95,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1869,1427,9,53,0.981537,0.993733,0.972425,0.964189,0.993733,0.978738,0.995208,0.972425,0.983684,0.979698,0.983079,0.981211,0.983079,checkpoints/20_convnextv2nano_gan_dataset2/seed_2027_round_4_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2027_round_4_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,convnextv2nano,ConvNeXtV2-Nano,gan,10,0.006202,0.997963,108.75,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1887,1427,6,14,0.994001,0.995813,0.992635,0.990285,0.995813,0.993041,0.99683,0.992635,0.994729,0.993557,0.994224,0.993885,0.994224,checkpoints/20_convnextv2nano_gan_dataset2/seed_2027_round_5_final.pth,results/20_convnextv2nano_gan_dataset2/seed_2027_round_5_predictions.csv,results/20_convnextv2nano_gan_dataset2/seed_2027_round_5_training_history.csv
