fold_id,snapshot_path,snapshot_kimg,kid50k_full
1,checkpoints/24_train_stylegan3_make_images_dibas/fold_1/00000-stylegan3-t-fold_1_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000040.pkl,40,0.23323895037174225
1,checkpoints/24_train_stylegan3_make_images_dibas/fold_1/00000-stylegan3-t-fold_1_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000080.pkl,80,0.1519930213689804
1,checkpoints/24_train_stylegan3_make_images_dibas/fold_1/00000-stylegan3-t-fold_1_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000120.pkl,120,0.12100671231746674
1,checkpoints/24_train_stylegan3_make_images_dibas/fold_1/00000-stylegan3-t-fold_1_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000160.pkl,160,0.0873178094625473
1,checkpoints/24_train_stylegan3_make_images_dibas/fold_1/00000-stylegan3-t-fold_1_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,200,0.07678847759962082
2,checkpoints/24_train_stylegan3_make_images_dibas/fold_2/00000-stylegan3-t-fold_2_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000040.pkl,40,0.3226886987686157
2,checkpoints/24_train_stylegan3_make_images_dibas/fold_2/00000-stylegan3-t-fold_2_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000080.pkl,80,0.18418382108211517
2,checkpoints/24_train_stylegan3_make_images_dibas/fold_2/00000-stylegan3-t-fold_2_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000120.pkl,120,0.08131185919046402
2,checkpoints/24_train_stylegan3_make_images_dibas/fold_2/00000-stylegan3-t-fold_2_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000160.pkl,160,0.0866679921746254
2,checkpoints/24_train_stylegan3_make_images_dibas/fold_2/00000-stylegan3-t-fold_2_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,200,0.05289451777935028
3,checkpoints/24_train_stylegan3_make_images_dibas/fold_3/00000-stylegan3-t-fold_3_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000040.pkl,40,0.34002792835235596
3,checkpoints/24_train_stylegan3_make_images_dibas/fold_3/00000-stylegan3-t-fold_3_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000080.pkl,80,0.12689541280269623
3,checkpoints/24_train_stylegan3_make_images_dibas/fold_3/00000-stylegan3-t-fold_3_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000120.pkl,120,0.06319601833820343
3,checkpoints/24_train_stylegan3_make_images_dibas/fold_3/00000-stylegan3-t-fold_3_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000160.pkl,160,0.08877114951610565
3,checkpoints/24_train_stylegan3_make_images_dibas/fold_3/00000-stylegan3-t-fold_3_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,200,0.10575368255376816
4,checkpoints/24_train_stylegan3_make_images_dibas/fold_4/00000-stylegan3-t-fold_4_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000040.pkl,40,0.45298272371292114
4,checkpoints/24_train_stylegan3_make_images_dibas/fold_4/00000-stylegan3-t-fold_4_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000080.pkl,80,0.15688319504261017
4,checkpoints/24_train_stylegan3_make_images_dibas/fold_4/00000-stylegan3-t-fold_4_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000120.pkl,120,0.07211332768201828
4,checkpoints/24_train_stylegan3_make_images_dibas/fold_4/00000-stylegan3-t-fold_4_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000160.pkl,160,0.04195613041520119
4,checkpoints/24_train_stylegan3_make_images_dibas/fold_4/00000-stylegan3-t-fold_4_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,200,0.09797178208827972
5,checkpoints/24_train_stylegan3_make_images_dibas/fold_5/00000-stylegan3-t-fold_5_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000040.pkl,40,0.3965625762939453
5,checkpoints/24_train_stylegan3_make_images_dibas/fold_5/00000-stylegan3-t-fold_5_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000080.pkl,80,0.17623136937618256
5,checkpoints/24_train_stylegan3_make_images_dibas/fold_5/00000-stylegan3-t-fold_5_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000120.pkl,120,0.07399650663137436
5,checkpoints/24_train_stylegan3_make_images_dibas/fold_5/00000-stylegan3-t-fold_5_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000160.pkl,160,0.073210209608078
5,checkpoints/24_train_stylegan3_make_images_dibas/fold_5/00000-stylegan3-t-fold_5_minority_256-gpus1-batch8-gamma0.8192/network-snapshot-000200.pkl,200,0.10232876986265182
