cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.006576,0.999455,247.27,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3656,2583,9,16,0.996009,0.996528,0.995643,0.993844,0.996528,0.995184,0.997544,0.995643,0.996593,0.995694,0.996085,0.995888,0.996085,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_1_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_1_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.000946,1.0,195.34,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3665,2584,8,7,0.997605,0.996914,0.998094,0.997298,0.996914,0.997106,0.997822,0.998094,0.997958,0.99756,0.997504,0.997532,0.997504,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_2_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_2_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.012445,0.996732,195.71,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3640,2587,5,32,0.994093,0.998071,0.991285,0.987782,0.998071,0.9929,0.998628,0.991285,0.994943,0.993205,0.994678,0.993921,0.994678,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_3_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_3_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.003234,0.998911,195.63,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2586,6,13,0.996967,0.997685,0.99646,0.994998,0.997685,0.99634,0.998363,0.99646,0.99741,0.99668,0.997072,0.996875,0.997072,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_4_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_4_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.000958,1.0,195.47,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3670,2582,10,2,0.998084,0.996142,0.999455,0.999226,0.996142,0.997682,0.997283,0.999455,0.998368,0.998254,0.997799,0.998025,0.997799,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_5_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_5_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.001288,1.0,194.88,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3663,2578,14,9,0.996328,0.994599,0.997549,0.996521,0.994599,0.995559,0.996193,0.997549,0.99687,0.996357,0.996074,0.996215,0.996074,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_1_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_1_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.002771,0.999455,194.92,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3661,2583,9,11,0.996807,0.996528,0.997004,0.995759,0.996528,0.996143,0.997548,0.997004,0.997276,0.996654,0.996766,0.99671,0.996766,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_2_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_2_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.001778,0.999455,193.74,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3652,2577,15,20,0.994413,0.994213,0.994553,0.992299,0.994213,0.993255,0.995909,0.994553,0.995231,0.994104,0.994383,0.994243,0.994383,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_3_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_3_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.002262,0.999455,193.88,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3661,2589,3,11,0.997765,0.998843,0.997004,0.995769,0.998843,0.997304,0.999181,0.997004,0.998092,0.997475,0.997923,0.997698,0.997923,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_4_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_4_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.004482,0.998911,195.27,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3666,2570,22,6,0.99553,0.991512,0.998366,0.997671,0.991512,0.994582,0.994035,0.998366,0.996196,0.995853,0.994939,0.995389,0.994939,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_5_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_5_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.000802,1.0,197.66,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2578,14,13,0.99569,0.994599,0.99646,0.994983,0.994599,0.994791,0.996188,0.99646,0.996324,0.995586,0.995529,0.995557,0.995529,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2028_round_1_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2028_round_1_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2028_round_1_training_history.csv
2028,2028,2,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.008261,0.997821,195.56,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3661,2580,12,11,0.996328,0.99537,0.997004,0.995755,0.99537,0.995562,0.996733,0.997004,0.996869,0.996244,0.996187,0.996216,0.996187,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2028_round_2_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2028_round_2_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2028_round_2_training_history.csv
2028,2028,3,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.000438,1.0,195.12,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3649,2587,5,23,0.99553,0.998071,0.993736,0.991188,0.998071,0.994617,0.998632,0.993736,0.996178,0.99491,0.995904,0.995398,0.995904,checkpoints/27_efficientnetv2s_stylegan3_dibas/seed_2028_round_3_final.pth,results/27_efficientnetv2s_stylegan3_dibas/seed_2028_round_3_predictions.csv,results/27_efficientnetv2s_stylegan3_dibas/seed_2028_round_3_training_history.csv
