cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2524,0.973765
2026,2026,1,cocci,bacilli,68,0.026235
2026,2026,1,bacilli,cocci,9,0.002451
2026,2026,1,bacilli,bacilli,3663,0.997549
2026,2026,2,cocci,cocci,2548,0.983025
2026,2026,2,cocci,bacilli,44,0.016975
2026,2026,2,bacilli,cocci,10,0.002723
2026,2026,2,bacilli,bacilli,3662,0.997277
2026,2026,3,cocci,cocci,2577,0.994213
2026,2026,3,cocci,bacilli,15,0.005787
2026,2026,3,bacilli,cocci,52,0.014161
2026,2026,3,bacilli,bacilli,3620,0.985839
2026,2026,4,cocci,cocci,2569,0.991127
2026,2026,4,cocci,bacilli,23,0.008873
2026,2026,4,bacilli,cocci,13,0.00354
2026,2026,4,bacilli,bacilli,3659,0.99646
2026,2026,5,cocci,cocci,2551,0.984182
2026,2026,5,cocci,bacilli,41,0.015818
2026,2026,5,bacilli,cocci,16,0.004357
2026,2026,5,bacilli,bacilli,3656,0.995643
2027,2027,1,cocci,cocci,2536,0.978395
2027,2027,1,cocci,bacilli,56,0.021605
2027,2027,1,bacilli,cocci,12,0.003268
2027,2027,1,bacilli,bacilli,3660,0.996732
2027,2027,2,cocci,cocci,2578,0.994599
2027,2027,2,cocci,bacilli,14,0.005401
2027,2027,2,bacilli,cocci,23,0.006264
2027,2027,2,bacilli,bacilli,3649,0.993736
2027,2027,3,cocci,cocci,2530,0.97608
2027,2027,3,cocci,bacilli,62,0.02392
2027,2027,3,bacilli,cocci,95,0.025871
2027,2027,3,bacilli,bacilli,3577,0.974129
2027,2027,4,cocci,cocci,2580,0.99537
2027,2027,4,cocci,bacilli,12,0.00463
2027,2027,4,bacilli,cocci,15,0.004085
2027,2027,4,bacilli,bacilli,3657,0.995915
2027,2027,5,cocci,cocci,2541,0.980324
2027,2027,5,cocci,bacilli,51,0.019676
2027,2027,5,bacilli,cocci,5,0.001362
2027,2027,5,bacilli,bacilli,3667,0.998638
2028,2028,1,cocci,cocci,2566,0.989969
2028,2028,1,cocci,bacilli,26,0.010031
2028,2028,1,bacilli,cocci,13,0.00354
2028,2028,1,bacilli,bacilli,3659,0.99646
2028,2028,2,cocci,cocci,2560,0.987654
2028,2028,2,cocci,bacilli,32,0.012346
2028,2028,2,bacilli,cocci,17,0.00463
2028,2028,2,bacilli,bacilli,3655,0.99537
2028,2028,3,cocci,cocci,2588,0.998457
2028,2028,3,cocci,bacilli,4,0.001543
2028,2028,3,bacilli,cocci,72,0.019608
2028,2028,3,bacilli,bacilli,3600,0.980392
2028,2028,4,cocci,cocci,2559,0.987269
2028,2028,4,cocci,bacilli,33,0.012731
2028,2028,4,bacilli,cocci,13,0.00354
2028,2028,4,bacilli,bacilli,3659,0.99646
2028,2028,5,cocci,cocci,2498,0.963735
2028,2028,5,cocci,bacilli,94,0.036265
2028,2028,5,bacilli,cocci,5,0.001362
2028,2028,5,bacilli,bacilli,3667,0.998638
