cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.00243,0.999455,247.83,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3663,2524,68,9,0.987708,0.973765,0.997549,0.996447,0.973765,0.984976,0.981774,0.997549,0.989599,0.989111,0.985657,0.987287,0.985657,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2026_round_1_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_1_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.000515,1.0,205.21,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3662,2548,44,10,0.991379,0.983025,0.997277,0.996091,0.983025,0.989515,0.988127,0.997277,0.992681,0.992109,0.990151,0.991098,0.990151,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2026_round_2_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_2_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,5.4e-05,1.0,204.68,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3620,2577,15,52,0.989304,0.994213,0.985839,0.980221,0.994213,0.987167,0.995873,0.985839,0.990831,0.988047,0.990026,0.988999,0.990026,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2026_round_3_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_3_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,5.5e-05,1.0,204.57,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2569,23,13,0.994253,0.991127,0.99646,0.994965,0.991127,0.993042,0.993753,0.99646,0.995105,0.994359,0.993793,0.994073,0.993793,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2026_round_4_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_4_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.00928,0.996732,205.5,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3656,2551,41,16,0.9909,0.984182,0.995643,0.993767,0.984182,0.988951,0.98891,0.995643,0.992265,0.991338,0.989912,0.990608,0.989912,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2026_round_5_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_5_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.002744,0.999455,204.97,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2536,56,12,0.989144,0.978395,0.996732,0.99529,0.978395,0.98677,0.98493,0.996732,0.990796,0.99011,0.987564,0.988783,0.987564,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2027_round_1_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_1_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,3.5e-05,1.0,204.9,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3649,2578,14,23,0.994093,0.994599,0.993736,0.991157,0.994599,0.992875,0.996178,0.993736,0.994956,0.993668,0.994168,0.993915,0.994168,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2027_round_2_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_2_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.011229,0.995643,204.01,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3577,2530,62,95,0.974936,0.97608,0.974129,0.96381,0.97608,0.969906,0.982962,0.974129,0.978526,0.973386,0.975104,0.974216,0.975104,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2027_round_3_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_3_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,6.7e-05,1.0,204.04,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3657,2580,12,15,0.99569,0.99537,0.995915,0.99422,0.99537,0.994795,0.996729,0.995915,0.996322,0.995475,0.995643,0.995558,0.995643,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2027_round_4_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_4_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.006523,0.997821,206.32,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3667,2541,51,5,0.99106,0.980324,0.998638,0.998036,0.980324,0.989101,0.986283,0.998638,0.992422,0.99216,0.989481,0.990762,0.989481,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2027_round_5_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_5_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.002419,0.999455,204.65,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2566,26,13,0.993774,0.989969,0.99646,0.994959,0.989969,0.992458,0.992944,0.99646,0.994699,0.993952,0.993214,0.993578,0.993214,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2028_round_1_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_1_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_1_training_history.csv
2028,2028,2,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,8.3e-05,1.0,204.62,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3655,2560,32,17,0.992178,0.987654,0.99537,0.993403,0.987654,0.99052,0.991321,0.99537,0.993341,0.992362,0.991512,0.991931,0.991512,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2028_round_2_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_2_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_2_training_history.csv
2028,2028,3,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,5.9e-05,1.0,204.3,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3600,2588,4,72,0.987867,0.998457,0.980392,0.972932,0.998457,0.985529,0.99889,0.980392,0.989555,0.985911,0.989424,0.987542,0.989424,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2028_round_3_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_3_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_3_training_history.csv
2028,2028,4,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,5.7e-05,1.0,204.07,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2559,33,13,0.992656,0.987269,0.99646,0.994946,0.987269,0.991092,0.991062,0.99646,0.993753,0.993004,0.991864,0.992423,0.991864,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2028_round_4_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_4_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_4_training_history.csv
2028,2028,5,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.009825,0.996732,204.83,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3667,2498,94,5,0.984195,0.963735,0.998638,0.998002,0.963735,0.980569,0.975007,0.998638,0.986681,0.986505,0.981186,0.983625,0.981186,checkpoints/28_convnextv2nano_stylegan3_dibas/seed_2028_round_5_final.pth,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_5_predictions.csv,results/28_convnextv2nano_stylegan3_dibas/seed_2028_round_5_training_history.csv
