cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1402,0.996446
2026,2026,1,cocci,bacilli,5,0.003554
2026,2026,1,bacilli,cocci,11,0.005783
2026,2026,1,bacilli,bacilli,1891,0.994217
2026,2026,2,cocci,cocci,1435,0.994456
2026,2026,2,cocci,bacilli,8,0.005544
2026,2026,2,bacilli,cocci,15,0.007899
2026,2026,2,bacilli,bacilli,1884,0.992101
2026,2026,3,cocci,cocci,1419,0.993002
2026,2026,3,cocci,bacilli,10,0.006998
2026,2026,3,bacilli,cocci,8,0.004115
2026,2026,3,bacilli,bacilli,1936,0.995885
2026,2026,4,cocci,cocci,1433,0.997911
2026,2026,4,cocci,bacilli,3,0.002089
2026,2026,4,bacilli,cocci,36,0.01873
2026,2026,4,bacilli,bacilli,1886,0.98127
2026,2026,5,cocci,cocci,1426,0.995115
2026,2026,5,cocci,bacilli,7,0.004885
2026,2026,5,bacilli,cocci,4,0.002104
2026,2026,5,bacilli,bacilli,1897,0.997896
2027,2027,1,cocci,cocci,1403,0.997157
2027,2027,1,cocci,bacilli,4,0.002843
2027,2027,1,bacilli,cocci,14,0.007361
2027,2027,1,bacilli,bacilli,1888,0.992639
2027,2027,2,cocci,cocci,1435,0.994456
2027,2027,2,cocci,bacilli,8,0.005544
2027,2027,2,bacilli,cocci,11,0.005793
2027,2027,2,bacilli,bacilli,1888,0.994207
2027,2027,3,cocci,cocci,1421,0.994402
2027,2027,3,cocci,bacilli,8,0.005598
2027,2027,3,bacilli,cocci,18,0.009259
2027,2027,3,bacilli,bacilli,1926,0.990741
2027,2027,4,cocci,cocci,1435,0.999304
2027,2027,4,cocci,bacilli,1,0.000696
2027,2027,4,bacilli,cocci,40,0.020812
2027,2027,4,bacilli,bacilli,1882,0.979188
2027,2027,5,cocci,cocci,1425,0.994417
2027,2027,5,cocci,bacilli,8,0.005583
2027,2027,5,bacilli,cocci,3,0.001578
2027,2027,5,bacilli,bacilli,1898,0.998422
2028,2028,1,cocci,cocci,1399,0.994314
2028,2028,1,cocci,bacilli,8,0.005686
2028,2028,1,bacilli,cocci,3,0.001577
2028,2028,1,bacilli,bacilli,1899,0.998423
2028,2028,2,cocci,cocci,1435,0.994456
2028,2028,2,cocci,bacilli,8,0.005544
2028,2028,2,bacilli,cocci,10,0.005266
2028,2028,2,bacilli,bacilli,1889,0.994734
2028,2028,3,cocci,cocci,1419,0.993002
2028,2028,3,cocci,bacilli,10,0.006998
2028,2028,3,bacilli,cocci,16,0.00823
2028,2028,3,bacilli,bacilli,1928,0.99177
2028,2028,4,cocci,cocci,1400,0.97493
2028,2028,4,cocci,bacilli,36,0.02507
2028,2028,4,bacilli,cocci,34,0.01769
2028,2028,4,bacilli,bacilli,1888,0.98231
2028,2028,5,cocci,cocci,1425,0.994417
2028,2028,5,cocci,bacilli,8,0.005583
2028,2028,5,bacilli,cocci,23,0.012099
2028,2028,5,bacilli,bacilli,1878,0.987901
