cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,resnet50,ResNet-50,stylegan3,10,0.001458,1.0,131.04,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1891,1402,5,11,0.995165,0.996446,0.994217,0.992215,0.996446,0.994326,0.997363,0.994217,0.995787,0.994789,0.995331,0.995057,0.995331,checkpoints/29_resnet50_stylegan3_dataset2/seed_2026_round_1_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2026_round_1_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,resnet50,ResNet-50,stylegan3,10,0.002214,1.0,116.71,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1884,1435,8,15,0.993118,0.994456,0.992101,0.989655,0.994456,0.99205,0.995772,0.992101,0.993933,0.992713,0.993279,0.992991,0.993279,checkpoints/29_resnet50_stylegan3_dataset2/seed_2026_round_2_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2026_round_2_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,resnet50,ResNet-50,stylegan3,10,0.002747,1.0,83.21,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1936,1419,10,8,0.994664,0.993002,0.995885,0.994394,0.993002,0.993697,0.994861,0.995885,0.995373,0.994628,0.994443,0.994535,0.994443,checkpoints/29_resnet50_stylegan3_dataset2/seed_2026_round_3_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2026_round_3_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,resnet50,ResNet-50,stylegan3,10,0.003297,1.0,101.78,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1886,1433,3,36,0.988386,0.997911,0.98127,0.975494,0.997911,0.986575,0.998412,0.98127,0.989766,0.986953,0.98959,0.988171,0.98959,checkpoints/29_resnet50_stylegan3_dataset2/seed_2026_round_4_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2026_round_4_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,resnet50,ResNet-50,stylegan3,10,0.003638,0.998982,104.39,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1897,1426,7,4,0.996701,0.995115,0.997896,0.997203,0.995115,0.996158,0.996324,0.997896,0.997109,0.996763,0.996505,0.996633,0.996505,checkpoints/29_resnet50_stylegan3_dataset2/seed_2026_round_5_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2026_round_5_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,resnet50,ResNet-50,stylegan3,10,0.010475,0.997959,89.84,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1888,1403,4,14,0.99456,0.997157,0.992639,0.99012,0.997157,0.993626,0.997886,0.992639,0.995256,0.994003,0.994898,0.994441,0.994898,checkpoints/29_resnet50_stylegan3_dataset2/seed_2027_round_1_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2027_round_1_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,resnet50,ResNet-50,stylegan3,10,0.00085,1.0,90.33,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1888,1435,8,11,0.994315,0.994456,0.994207,0.992393,0.994456,0.993423,0.995781,0.994207,0.994993,0.994087,0.994332,0.994208,0.994332,checkpoints/29_resnet50_stylegan3_dataset2/seed_2027_round_2_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2027_round_2_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,resnet50,ResNet-50,stylegan3,10,0.001533,1.0,84.05,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1926,1421,8,18,0.992292,0.994402,0.990741,0.987491,0.994402,0.990934,0.995863,0.990741,0.993296,0.991677,0.992571,0.992115,0.992571,checkpoints/29_resnet50_stylegan3_dataset2/seed_2027_round_3_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2027_round_3_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,resnet50,ResNet-50,stylegan3,10,0.005388,1.0,86.73,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1882,1435,1,40,0.98779,0.999304,0.979188,0.972881,0.999304,0.985915,0.999469,0.979188,0.989225,0.986175,0.989246,0.98757,0.989246,checkpoints/29_resnet50_stylegan3_dataset2/seed_2027_round_4_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2027_round_4_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,resnet50,ResNet-50,stylegan3,10,0.001239,1.0,90.05,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1898,1425,8,3,0.996701,0.994417,0.998422,0.997899,0.994417,0.996155,0.995803,0.998422,0.997111,0.996851,0.99642,0.996633,0.99642,checkpoints/29_resnet50_stylegan3_dataset2/seed_2027_round_5_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2027_round_5_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,resnet50,ResNet-50,stylegan3,10,0.026843,0.992857,89.84,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1899,1399,8,3,0.996676,0.994314,0.998423,0.99786,0.994314,0.996084,0.995805,0.998423,0.997112,0.996833,0.996368,0.996598,0.996368,checkpoints/29_resnet50_stylegan3_dataset2/seed_2028_round_1_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2028_round_1_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,resnet50,ResNet-50,stylegan3,10,0.006782,0.998986,91.11,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1889,1435,8,10,0.994614,0.994456,0.994734,0.99308,0.994456,0.993767,0.995783,0.994734,0.995258,0.994431,0.994595,0.994513,0.994595,checkpoints/29_resnet50_stylegan3_dataset2/seed_2028_round_2_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2028_round_2_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,resnet50,ResNet-50,stylegan3,10,0.004151,1.0,83.31,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1928,1419,10,16,0.992292,0.993002,0.99177,0.98885,0.993002,0.990922,0.99484,0.99177,0.993302,0.991845,0.992386,0.992112,0.992386,checkpoints/29_resnet50_stylegan3_dataset2/seed_2028_round_3_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2028_round_3_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2028_round_3_training_history.csv
2028,2028,4,resnet50,ResNet-50,stylegan3,10,0.021623,0.994681,86.5,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1888,1400,36,34,0.979154,0.97493,0.98231,0.97629,0.97493,0.97561,0.981289,0.98231,0.981799,0.97879,0.97862,0.978705,0.97862,checkpoints/29_resnet50_stylegan3_dataset2/seed_2028_round_4_final.pth,results/29_resnet50_stylegan3_dataset2/seed_2028_round_4_predictions.csv,results/29_resnet50_stylegan3_dataset2/seed_2028_round_4_training_history.csv
