cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1403,0.997157
2026,2026,1,cocci,bacilli,4,0.002843
2026,2026,1,bacilli,cocci,17,0.008938
2026,2026,1,bacilli,bacilli,1885,0.991062
2026,2026,2,cocci,cocci,1436,0.995149
2026,2026,2,cocci,bacilli,7,0.004851
2026,2026,2,bacilli,cocci,15,0.007899
2026,2026,2,bacilli,bacilli,1884,0.992101
2026,2026,3,cocci,cocci,1423,0.995801
2026,2026,3,cocci,bacilli,6,0.004199
2026,2026,3,bacilli,cocci,8,0.004115
2026,2026,3,bacilli,bacilli,1936,0.995885
2026,2026,4,cocci,cocci,1435,0.999304
2026,2026,4,cocci,bacilli,1,0.000696
2026,2026,4,bacilli,cocci,20,0.010406
2026,2026,4,bacilli,bacilli,1902,0.989594
2026,2026,5,cocci,cocci,1428,0.996511
2026,2026,5,cocci,bacilli,5,0.003489
2026,2026,5,bacilli,cocci,5,0.00263
2026,2026,5,bacilli,bacilli,1896,0.99737
2027,2027,1,cocci,cocci,1402,0.996446
2027,2027,1,cocci,bacilli,5,0.003554
2027,2027,1,bacilli,cocci,8,0.004206
2027,2027,1,bacilli,bacilli,1894,0.995794
2027,2027,2,cocci,cocci,1437,0.995842
2027,2027,2,cocci,bacilli,6,0.004158
2027,2027,2,bacilli,cocci,5,0.002633
2027,2027,2,bacilli,bacilli,1894,0.997367
2027,2027,3,cocci,cocci,1424,0.996501
2027,2027,3,cocci,bacilli,5,0.003499
2027,2027,3,bacilli,cocci,9,0.00463
2027,2027,3,bacilli,bacilli,1935,0.99537
2027,2027,4,cocci,cocci,1436,1.0
2027,2027,4,cocci,bacilli,0,0.0
2027,2027,4,bacilli,cocci,27,0.014048
2027,2027,4,bacilli,bacilli,1895,0.985952
2027,2027,5,cocci,cocci,1424,0.993719
2027,2027,5,cocci,bacilli,9,0.006281
2027,2027,5,bacilli,cocci,1,0.000526
2027,2027,5,bacilli,bacilli,1900,0.999474
2028,2028,1,cocci,cocci,1401,0.995736
2028,2028,1,cocci,bacilli,6,0.004264
2028,2028,1,bacilli,cocci,14,0.007361
2028,2028,1,bacilli,bacilli,1888,0.992639
2028,2028,2,cocci,cocci,1428,0.989605
2028,2028,2,cocci,bacilli,15,0.010395
2028,2028,2,bacilli,cocci,13,0.006846
2028,2028,2,bacilli,bacilli,1886,0.993154
2028,2028,3,cocci,cocci,1417,0.991603
2028,2028,3,cocci,bacilli,12,0.008397
2028,2028,3,bacilli,cocci,4,0.002058
2028,2028,3,bacilli,bacilli,1940,0.997942
2028,2028,4,cocci,cocci,1432,0.997214
2028,2028,4,cocci,bacilli,4,0.002786
2028,2028,4,bacilli,cocci,9,0.004683
2028,2028,4,bacilli,bacilli,1913,0.995317
2028,2028,5,cocci,cocci,1419,0.99023
2028,2028,5,cocci,bacilli,14,0.00977
2028,2028,5,bacilli,cocci,10,0.00526
2028,2028,5,bacilli,bacilli,1891,0.99474
