cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.002257,1.0,155.64,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1885,1403,4,17,0.993654,0.997157,0.991062,0.988028,0.997157,0.992572,0.997882,0.991062,0.994461,0.992955,0.99411,0.993516,0.99411,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_1_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_1_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.003026,1.0,147.85,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1884,1436,7,15,0.993417,0.995149,0.992101,0.989662,0.995149,0.992398,0.996298,0.992101,0.994195,0.99298,0.993625,0.993297,0.993625,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_2_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_2_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.002419,1.0,97.29,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1936,1423,6,8,0.995849,0.995801,0.995885,0.99441,0.995801,0.995105,0.99691,0.995885,0.996397,0.99566,0.995843,0.995751,0.995843,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_3_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_3_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.010005,0.996809,119.2,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1902,1435,1,20,0.993746,0.999304,0.989594,0.986254,0.999304,0.992736,0.999475,0.989594,0.99451,0.992864,0.994449,0.993623,0.994449,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_4_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_4_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.00335,1.0,125.0,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1896,1428,5,5,0.997001,0.996511,0.99737,0.996511,0.996511,0.996511,0.99737,0.99737,0.99737,0.99694,0.99694,0.99694,0.99694,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_5_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_5_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.007358,0.997959,105.59,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1894,1402,5,8,0.996071,0.996446,0.995794,0.994326,0.996446,0.995385,0.997367,0.995794,0.99658,0.995847,0.99612,0.995983,0.99612,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_1_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_1_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.004238,0.998986,105.92,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1894,1437,6,5,0.996709,0.995842,0.997367,0.996533,0.995842,0.996187,0.996842,0.997367,0.997105,0.996687,0.996605,0.996646,0.996605,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_2_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_2_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.002127,1.0,98.12,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1935,1424,5,9,0.995849,0.996501,0.99537,0.993719,0.996501,0.995108,0.997423,0.99537,0.996395,0.995571,0.995936,0.995752,0.995936,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_3_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_3_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.002064,1.0,102.43,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1895,1436,0,27,0.991959,1.0,0.985952,0.981545,1.0,0.990686,1.0,0.985952,0.992926,0.990772,0.992976,0.991806,0.992976,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_4_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_4_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,efficientnetv2s,EfficientNetV2-S,stylegan3,10,0.007258,0.996945,106.11,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1900,1424,9,1,0.997001,0.993719,0.999474,0.999298,0.993719,0.996501,0.995285,0.999474,0.997375,0.997292,0.996597,0.996938,0.996597,checkpoints/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_5_final.pth,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_5_predictions.csv,results/30_efficientnetv2s_stylegan3_dataset2/seed_2027_round_5_training_history.csv
