cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1397,0.992893
2026,2026,1,cocci,bacilli,10,0.007107
2026,2026,1,bacilli,cocci,13,0.006835
2026,2026,1,bacilli,bacilli,1889,0.993165
2026,2026,2,cocci,cocci,1429,0.990298
2026,2026,2,cocci,bacilli,14,0.009702
2026,2026,2,bacilli,cocci,27,0.014218
2026,2026,2,bacilli,bacilli,1872,0.985782
2026,2026,3,cocci,cocci,1409,0.986004
2026,2026,3,cocci,bacilli,20,0.013996
2026,2026,3,bacilli,cocci,9,0.00463
2026,2026,3,bacilli,bacilli,1935,0.99537
2026,2026,4,cocci,cocci,1430,0.995822
2026,2026,4,cocci,bacilli,6,0.004178
2026,2026,4,bacilli,cocci,27,0.014048
2026,2026,4,bacilli,bacilli,1895,0.985952
2026,2026,5,cocci,cocci,1422,0.992324
2026,2026,5,cocci,bacilli,11,0.007676
2026,2026,5,bacilli,cocci,12,0.006312
2026,2026,5,bacilli,bacilli,1889,0.993688
2027,2027,1,cocci,cocci,1401,0.995736
2027,2027,1,cocci,bacilli,6,0.004264
2027,2027,1,bacilli,cocci,13,0.006835
2027,2027,1,bacilli,bacilli,1889,0.993165
2027,2027,2,cocci,cocci,1419,0.983368
2027,2027,2,cocci,bacilli,24,0.016632
2027,2027,2,bacilli,cocci,7,0.003686
2027,2027,2,bacilli,bacilli,1892,0.996314
2027,2027,3,cocci,cocci,1411,0.987404
2027,2027,3,cocci,bacilli,18,0.012596
2027,2027,3,bacilli,cocci,8,0.004115
2027,2027,3,bacilli,bacilli,1936,0.995885
2027,2027,4,cocci,cocci,1425,0.99234
2027,2027,4,cocci,bacilli,11,0.00766
2027,2027,4,bacilli,cocci,41,0.021332
2027,2027,4,bacilli,bacilli,1881,0.978668
2027,2027,5,cocci,cocci,1380,0.963015
2027,2027,5,cocci,bacilli,53,0.036985
2027,2027,5,bacilli,cocci,1,0.000526
2027,2027,5,bacilli,bacilli,1900,0.999474
2028,2028,1,cocci,cocci,1397,0.992893
2028,2028,1,cocci,bacilli,10,0.007107
2028,2028,1,bacilli,cocci,13,0.006835
2028,2028,1,bacilli,bacilli,1889,0.993165
2028,2028,2,cocci,cocci,1405,0.973666
2028,2028,2,cocci,bacilli,38,0.026334
2028,2028,2,bacilli,cocci,28,0.014745
2028,2028,2,bacilli,bacilli,1871,0.985255
2028,2028,3,cocci,cocci,1416,0.990903
2028,2028,3,cocci,bacilli,13,0.009097
2028,2028,3,bacilli,cocci,6,0.003086
2028,2028,3,bacilli,bacilli,1938,0.996914
2028,2028,4,cocci,cocci,1425,0.99234
2028,2028,4,cocci,bacilli,11,0.00766
2028,2028,4,bacilli,cocci,50,0.026015
2028,2028,4,bacilli,bacilli,1872,0.973985
2028,2028,5,cocci,cocci,1408,0.982554
2028,2028,5,cocci,bacilli,25,0.017446
2028,2028,5,bacilli,cocci,5,0.00263
2028,2028,5,bacilli,bacilli,1896,0.99737
