cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.000215,1.0,154.0,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1889,1397,10,13,0.993049,0.992893,0.993165,0.99078,0.992893,0.991835,0.994734,0.993165,0.993949,0.992757,0.993029,0.992892,0.993029,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_1_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_1_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.004024,0.998986,141.21,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1872,1429,14,27,0.987732,0.990298,0.985782,0.981456,0.990298,0.985857,0.992577,0.985782,0.989168,0.987016,0.98804,0.987512,0.98804,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_2_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_2_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,4e-05,1.0,106.58,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1935,1409,20,9,0.991402,0.986004,0.99537,0.993653,0.986004,0.989814,0.98977,0.99537,0.992562,0.991711,0.990687,0.991188,0.990687,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_3_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_3_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,7.8e-05,1.0,124.23,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1895,1430,6,27,0.990173,0.995822,0.985952,0.981469,0.995822,0.988593,0.996844,0.985952,0.991368,0.989156,0.990887,0.989981,0.990887,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_4_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_4_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.007801,0.996945,129.24,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1889,1422,11,12,0.993101,0.992324,0.993688,0.991632,0.992324,0.991978,0.994211,0.993688,0.993949,0.992921,0.993006,0.992963,0.993006,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_5_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_5_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,9e-05,1.0,114.84,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1889,1401,6,13,0.994258,0.995736,0.993165,0.990806,0.995736,0.993265,0.996834,0.993165,0.994996,0.99382,0.99445,0.99413,0.99445,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_1_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_1_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.003396,0.998986,116.41,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1892,1419,24,7,0.990724,0.983368,0.996314,0.995091,0.983368,0.989195,0.987474,0.996314,0.991874,0.991283,0.989841,0.990535,0.989841,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_2_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_2_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,7.4e-05,1.0,106.62,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1936,1411,18,8,0.992292,0.987404,0.995885,0.994362,0.987404,0.990871,0.990788,0.995885,0.99333,0.992575,0.991644,0.9921,0.991644,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_3_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_3_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,6.5e-05,1.0,110.37,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1881,1425,11,41,0.984515,0.99234,0.978668,0.972033,0.99234,0.982081,0.994186,0.978668,0.986366,0.983109,0.985504,0.984224,0.985504,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_4_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_4_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.007274,0.998982,114.83,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1900,1380,53,1,0.983803,0.963015,0.999474,0.999276,0.963015,0.98081,0.972862,0.999474,0.985989,0.986069,0.981244,0.983399,0.981244,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_5_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_5_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,9.5e-05,1.0,115.0,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1889,1397,10,13,0.993049,0.992893,0.993165,0.99078,0.992893,0.991835,0.994734,0.993165,0.993949,0.992757,0.993029,0.992892,0.993029,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_1_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_1_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.034594,0.989858,116.17,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1871,1405,38,28,0.980251,0.973666,0.985255,0.980461,0.973666,0.977051,0.980094,0.985255,0.982668,0.980277,0.979461,0.97986,0.979461,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_2_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_2_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,9.6e-05,1.0,106.28,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1938,1416,13,6,0.994367,0.990903,0.996914,0.995781,0.990903,0.993336,0.993337,0.996914,0.995122,0.994559,0.993908,0.994229,0.993908,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_3_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_3_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_3_training_history.csv
2028,2028,4,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,7.7e-05,1.0,110.44,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1872,1425,11,50,0.981834,0.99234,0.973985,0.966102,0.99234,0.979045,0.994158,0.973985,0.983968,0.98013,0.983163,0.981507,0.983163,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_4_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_4_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_4_training_history.csv
2028,2028,5,convnextv2nano,ConvNeXtV2-Nano,stylegan3,10,0.010671,0.995927,115.51,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1896,1408,25,5,0.991002,0.982554,0.99737,0.996461,0.982554,0.989459,0.986986,0.99737,0.992151,0.991724,0.989962,0.990805,0.989962,checkpoints/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_5_final.pth,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_5_predictions.csv,results/31_convnextv2nano_stylegan3_dataset2/seed_2028_round_5_training_history.csv
