class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,run_tag
cocci,0.986845,0.009519,0.99295,0.003397,0.989854,0.003953,15_resnet50_baseline_dataset2
bacilli,0.994726,0.002505,0.990014,0.007343,0.992345,0.003086,15_resnet50_baseline_dataset2
cocci,0.988509,0.010829,0.993897,0.003569,0.991156,0.004938,16_resnet50_gan_dataset2
bacilli,0.995433,0.002677,0.99128,0.008417,0.993329,0.003822,16_resnet50_gan_dataset2
cocci,0.988663,0.008117,0.993852,0.005524,0.991232,0.005368,29_resnet50_stylegan3_dataset2
bacilli,0.995401,0.004117,0.991447,0.006194,0.993409,0.004039,29_resnet50_stylegan3_dataset2
cocci,0.991152,0.007253,0.995571,0.00166,0.99334,0.003265,17_efficientnetv2s_baseline_dataset2
bacilli,0.996685,0.00123,0.993309,0.005555,0.994985,0.00251,17_efficientnetv2s_baseline_dataset2
cocci,0.992834,0.005601,0.995437,0.002509,0.99412,0.002131,18_efficientnetv2s_gan_dataset2
bacilli,0.996586,0.001881,0.994612,0.004261,0.99559,0.001631,18_efficientnetv2s_gan_dataset2
cocci,0.992354,0.004672,0.995388,0.002981,0.993858,0.002097,30_efficientnetv2s_stylegan3_dataset2
bacilli,0.996547,0.002242,0.994251,0.003557,0.995392,0.001605,30_efficientnetv2s_stylegan3_dataset2
cocci,0.922251,0.255248,0.860421,0.324895,0.869737,0.310504,19_convnextv2nano_baseline_dataset2
bacilli,0.934,0.141928,0.993136,0.004574,0.956355,0.088851,19_convnextv2nano_baseline_dataset2
cocci,0.987052,0.010524,0.987978,0.009764,0.987442,0.005207,20_convnextv2nano_gan_dataset2
bacilli,0.991078,0.007091,0.990177,0.00814,0.990586,0.003952,20_convnextv2nano_gan_dataset2
cocci,0.98801,0.009619,0.987437,0.008942,0.987668,0.005389,31_convnextv2nano_stylegan3_dataset2
bacilli,0.990639,0.006604,0.990943,0.007402,0.990761,0.004115,31_convnextv2nano_stylegan3_dataset2
