run_tag,model_name,model_display_name,training_mode,seed_count,fold_count,run_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_macro_f1,std_macro_f1,dataset_name
05_resnet50_baseline_dibas,resnet50,ResNet-50,baseline,3,5,15,0.990858,0.00596,0.990118,0.007422,0.991155,0.004776,0.990118,0.007422,0.990553,0.006217,dibas
06_resnet50_gan_dibas,resnet50,ResNet-50,gan,3,5,15,0.994551,0.002009,0.99427,0.002446,0.994509,0.001748,0.99427,0.002446,0.994381,0.002077,dibas
26_resnet50_stylegan3_dibas,resnet50,ResNet-50,stylegan3,3,5,15,0.99388,0.003524,0.993354,0.004413,0.994073,0.002842,0.993354,0.004413,0.993683,0.003657,dibas
07_efficientnetv2s_baseline_dibas,efficientnetv2s,EfficientNetV2-S,baseline,3,5,15,0.995126,0.002448,0.995139,0.002186,0.994844,0.002874,0.995139,0.002186,0.994979,0.002514,dibas
08_efficientnetv2s_gan_dibas,efficientnetv2s,EfficientNetV2-S,gan,3,5,15,0.995796,0.001556,0.995681,0.001541,0.995673,0.001794,0.995681,0.001541,0.995668,0.001601,dibas
27_efficientnetv2s_stylegan3_dibas,efficientnetv2s,EfficientNetV2-S,stylegan3,3,5,15,0.995445,0.00331,0.995237,0.004095,0.995405,0.002714,0.995237,0.004095,0.9953,0.003434,dibas
09_convnextv2nano_baseline_dibas,convnextv2nano,ConvNeXtV2-Nano,baseline,3,5,15,0.989645,0.009794,0.989522,0.008354,0.989505,0.010761,0.989522,0.008354,0.989359,0.009945,dibas
10_convnextv2nano_gan_dibas,convnextv2nano,ConvNeXtV2-Nano,gan,3,5,15,0.990038,0.004579,0.989468,0.005544,0.99009,0.004057,0.989468,0.005544,0.98972,0.004756,dibas
28_convnextv2nano_stylegan3_dibas,convnextv2nano,ConvNeXtV2-Nano,stylegan3,3,5,15,0.989942,0.005132,0.989247,0.00532,0.9901,0.005431,0.989247,0.00532,0.989627,0.005284,dibas
15_resnet50_baseline_dataset2,resnet50,ResNet-50,baseline,3,5,15,0.991274,0.003467,0.991482,0.002911,0.990785,0.004098,0.991482,0.002911,0.9911,0.003519,dataset2
16_resnet50_gan_dataset2,resnet50,ResNet-50,gan,3,5,15,0.992395,0.004309,0.992588,0.003716,0.991971,0.00494,0.992588,0.003716,0.992243,0.00438,dataset2
29_resnet50_stylegan3_dataset2,resnet50,ResNet-50,stylegan3,3,5,15,0.992475,0.004609,0.99265,0.004515,0.992032,0.004909,0.99265,0.004515,0.992321,0.004703,dataset2
17_efficientnetv2s_baseline_dataset2,efficientnetv2s,EfficientNetV2-S,baseline,3,5,15,0.994279,0.002838,0.99444,0.002407,0.993919,0.003326,0.99444,0.002407,0.994163,0.002887,dataset2
18_efficientnetv2s_gan_dataset2,efficientnetv2s,EfficientNetV2-S,gan,3,5,15,0.994961,0.001848,0.995025,0.001531,0.99471,0.00224,0.995025,0.001531,0.994855,0.001881,dataset2
30_efficientnetv2s_stylegan3_dataset2,efficientnetv2s,EfficientNetV2-S,stylegan3,3,5,15,0.994735,0.001818,0.994819,0.001692,0.994451,0.002061,0.994819,0.001692,0.994625,0.001851,dataset2
19_convnextv2nano_baseline_dataset2,convnextv2nano,ConvNeXtV2-Nano,baseline,3,5,15,0.936084,0.138508,0.926778,0.161388,0.928126,0.185774,0.926778,0.161388,0.913046,0.199529,dataset2
20_convnextv2nano_gan_dataset2,convnextv2nano,ConvNeXtV2-Nano,gan,3,5,15,0.98924,0.00449,0.989077,0.004573,0.989065,0.004698,0.989077,0.004573,0.989014,0.004577,dataset2
31_convnextv2nano_stylegan3_dataset2,convnextv2nano,ConvNeXtV2-Nano,stylegan3,3,5,15,0.989437,0.004666,0.98919,0.004745,0.989324,0.004862,0.98919,0.004745,0.989214,0.004751,dataset2
