cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2511,0.96875
2026,2026,1,cocci,bacilli,81,0.03125
2026,2026,1,bacilli,cocci,13,0.00354
2026,2026,1,bacilli,bacilli,3659,0.99646
2026,2026,2,cocci,cocci,2562,0.988426
2026,2026,2,cocci,bacilli,30,0.011574
2026,2026,2,bacilli,cocci,1,0.000272
2026,2026,2,bacilli,bacilli,3671,0.999728
2026,2026,3,cocci,cocci,2583,0.996528
2026,2026,3,cocci,bacilli,9,0.003472
2026,2026,3,bacilli,cocci,55,0.014978
2026,2026,3,bacilli,bacilli,3617,0.985022
2026,2026,4,cocci,cocci,2587,0.998071
2026,2026,4,cocci,bacilli,5,0.001929
2026,2026,4,bacilli,cocci,17,0.00463
2026,2026,4,bacilli,bacilli,3655,0.99537
2026,2026,5,cocci,cocci,2527,0.974923
2026,2026,5,cocci,bacilli,65,0.025077
2026,2026,5,bacilli,cocci,15,0.004085
2026,2026,5,bacilli,bacilli,3657,0.995915
2027,2027,1,cocci,cocci,2563,0.988812
2027,2027,1,cocci,bacilli,29,0.011188
2027,2027,1,bacilli,cocci,16,0.004357
2027,2027,1,bacilli,bacilli,3656,0.995643
2027,2027,2,cocci,cocci,2573,0.99267
2027,2027,2,cocci,bacilli,19,0.00733
2027,2027,2,bacilli,cocci,12,0.003268
2027,2027,2,bacilli,bacilli,3660,0.996732
2027,2027,3,cocci,cocci,2568,0.990741
2027,2027,3,cocci,bacilli,24,0.009259
2027,2027,3,bacilli,cocci,39,0.010621
2027,2027,3,bacilli,bacilli,3633,0.989379
2027,2027,4,cocci,cocci,2587,0.998071
2027,2027,4,cocci,bacilli,5,0.001929
2027,2027,4,bacilli,cocci,19,0.005174
2027,2027,4,bacilli,bacilli,3653,0.994826
2027,2027,5,cocci,cocci,2488,0.959877
2027,2027,5,cocci,bacilli,104,0.040123
2027,2027,5,bacilli,cocci,5,0.001362
2027,2027,5,bacilli,bacilli,3667,0.998638
2028,2028,1,cocci,cocci,2576,0.993827
2028,2028,1,cocci,bacilli,16,0.006173
2028,2028,1,bacilli,cocci,10,0.002723
2028,2028,1,bacilli,bacilli,3662,0.997277
2028,2028,2,cocci,cocci,2562,0.988426
2028,2028,2,cocci,bacilli,30,0.011574
2028,2028,2,bacilli,cocci,9,0.002451
2028,2028,2,bacilli,bacilli,3663,0.997549
2028,2028,3,cocci,cocci,2579,0.994985
2028,2028,3,cocci,bacilli,13,0.005015
2028,2028,3,bacilli,cocci,30,0.00817
2028,2028,3,bacilli,bacilli,3642,0.99183
2028,2028,4,cocci,cocci,2583,0.996528
2028,2028,4,cocci,bacilli,9,0.003472
2028,2028,4,bacilli,cocci,15,0.004085
2028,2028,4,bacilli,bacilli,3657,0.995915
2028,2028,5,cocci,cocci,2541,0.980324
2028,2028,5,cocci,bacilli,51,0.019676
2028,2028,5,bacilli,cocci,7,0.001906
2028,2028,5,bacilli,bacilli,3665,0.998094
