cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,resnet50,ResNet-50,diffusion_gan,10,0.010741,0.997821,217.3,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2511,81,13,0.984994,0.96875,0.99646,0.994849,0.96875,0.981626,0.978342,0.99646,0.987318,0.986596,0.982605,0.984472,0.982605,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2026_round_1_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_1_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,resnet50,ResNet-50,diffusion_gan,10,0.010812,0.997277,167.77,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3671,2562,30,1,0.995051,0.988426,0.999728,0.99961,0.988426,0.993986,0.991894,0.999728,0.995795,0.995752,0.994077,0.994891,0.994077,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2026_round_2_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_2_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,resnet50,ResNet-50,diffusion_gan,10,0.000435,1.0,167.94,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3617,2583,9,55,0.989783,0.996528,0.985022,0.979151,0.996528,0.987763,0.997518,0.985022,0.99123,0.988334,0.990775,0.989497,0.990775,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2026_round_3_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_3_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,resnet50,ResNet-50,diffusion_gan,10,0.005698,0.998366,167.87,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3655,2587,5,17,0.996488,0.998071,0.99537,0.993472,0.998071,0.995766,0.998634,0.99537,0.996999,0.996053,0.996721,0.996383,0.996721,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2026_round_4_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_4_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,resnet50,ResNet-50,diffusion_gan,10,0.002053,0.999455,167.51,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3657,2527,65,15,0.987229,0.974923,0.995915,0.994099,0.974923,0.984418,0.982536,0.995915,0.98918,0.988318,0.985419,0.986799,0.985419,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2026_round_5_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_5_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,resnet50,ResNet-50,diffusion_gan,10,0.001109,1.0,167.87,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3656,2563,29,16,0.992816,0.988812,0.995643,0.993796,0.988812,0.991298,0.99213,0.995643,0.993883,0.992963,0.992227,0.99259,0.992227,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2027_round_1_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_1_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,resnet50,ResNet-50,diffusion_gan,10,0.000558,1.0,169.08,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2573,19,12,0.995051,0.99267,0.996732,0.995358,0.99267,0.994012,0.994836,0.996732,0.995783,0.995097,0.994701,0.994897,0.994701,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2027_round_2_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_2_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,resnet50,ResNet-50,diffusion_gan,10,0.000534,1.0,168.08,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3633,2568,24,39,0.989943,0.990741,0.989379,0.98504,0.990741,0.987882,0.993437,0.989379,0.991404,0.989239,0.99006,0.989643,0.99006,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2027_round_3_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_3_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,resnet50,ResNet-50,diffusion_gan,10,0.003397,0.999455,169.53,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3653,2587,5,19,0.996169,0.998071,0.994826,0.992709,0.998071,0.995383,0.998633,0.994826,0.996726,0.995671,0.996448,0.996054,0.996448,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2027_round_4_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_4_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,resnet50,ResNet-50,diffusion_gan,10,0.012351,0.996732,167.93,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3667,2488,104,5,0.982599,0.959877,0.998638,0.997994,0.959877,0.978564,0.972421,0.998638,0.985355,0.985208,0.979257,0.98196,0.979257,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2027_round_5_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_5_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,resnet50,ResNet-50,diffusion_gan,10,0.000349,1.0,168.69,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3662,2576,16,10,0.995849,0.993827,0.997277,0.996133,0.993827,0.994979,0.99565,0.997277,0.996463,0.995891,0.995552,0.995721,0.995552,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2028_round_1_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2028_round_1_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2028_round_1_training_history.csv
2028,2028,2,resnet50,ResNet-50,diffusion_gan,10,0.000431,1.0,168.52,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3663,2562,30,9,0.993774,0.988426,0.997549,0.996499,0.988426,0.992446,0.991877,0.997549,0.994705,0.994188,0.992987,0.993575,0.992987,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2028_round_2_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2028_round_2_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2028_round_2_training_history.csv
2028,2028,3,resnet50,ResNet-50,diffusion_gan,10,0.000197,1.0,169.87,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3642,2579,13,30,0.993135,0.994985,0.99183,0.988501,0.994985,0.991732,0.996443,0.99183,0.994131,0.992472,0.993407,0.992932,0.993407,checkpoints/41_resnet50_diffusion_gan_dibas/seed_2028_round_3_final.pth,results/41_resnet50_diffusion_gan_dibas/seed_2028_round_3_predictions.csv,results/41_resnet50_diffusion_gan_dibas/seed_2028_round_3_training_history.csv
