cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2577,0.994213
2026,2026,1,cocci,bacilli,15,0.005787
2026,2026,1,bacilli,cocci,6,0.001634
2026,2026,1,bacilli,bacilli,3666,0.998366
2026,2026,2,cocci,cocci,2584,0.996914
2026,2026,2,cocci,bacilli,8,0.003086
2026,2026,2,bacilli,cocci,12,0.003268
2026,2026,2,bacilli,bacilli,3660,0.996732
2026,2026,3,cocci,cocci,2585,0.997299
2026,2026,3,cocci,bacilli,7,0.002701
2026,2026,3,bacilli,cocci,36,0.009804
2026,2026,3,bacilli,bacilli,3636,0.990196
2026,2026,4,cocci,cocci,2592,1.0
2026,2026,4,cocci,bacilli,0,0.0
2026,2026,4,bacilli,cocci,31,0.008442
2026,2026,4,bacilli,bacilli,3641,0.991558
2026,2026,5,cocci,cocci,2578,0.994599
2026,2026,5,cocci,bacilli,14,0.005401
2026,2026,5,bacilli,cocci,38,0.010349
2026,2026,5,bacilli,bacilli,3634,0.989651
2027,2027,1,cocci,cocci,2582,0.996142
2027,2027,1,cocci,bacilli,10,0.003858
2027,2027,1,bacilli,cocci,29,0.007898
2027,2027,1,bacilli,bacilli,3643,0.992102
2027,2027,2,cocci,cocci,2562,0.988426
2027,2027,2,cocci,bacilli,30,0.011574
2027,2027,2,bacilli,cocci,8,0.002179
2027,2027,2,bacilli,bacilli,3664,0.997821
2027,2027,3,cocci,cocci,2584,0.996914
2027,2027,3,cocci,bacilli,8,0.003086
2027,2027,3,bacilli,cocci,15,0.004085
2027,2027,3,bacilli,bacilli,3657,0.995915
2027,2027,4,cocci,cocci,2587,0.998071
2027,2027,4,cocci,bacilli,5,0.001929
2027,2027,4,bacilli,cocci,11,0.002996
2027,2027,4,bacilli,bacilli,3661,0.997004
2027,2027,5,cocci,cocci,2578,0.994599
2027,2027,5,cocci,bacilli,14,0.005401
2027,2027,5,bacilli,cocci,4,0.001089
2027,2027,5,bacilli,bacilli,3668,0.998911
2028,2028,1,cocci,cocci,2585,0.997299
2028,2028,1,cocci,bacilli,7,0.002701
2028,2028,1,bacilli,cocci,10,0.002723
2028,2028,1,bacilli,bacilli,3662,0.997277
2028,2028,2,cocci,cocci,2563,0.988812
2028,2028,2,cocci,bacilli,29,0.011188
2028,2028,2,bacilli,cocci,5,0.001362
2028,2028,2,bacilli,bacilli,3667,0.998638
2028,2028,3,cocci,cocci,2587,0.998071
2028,2028,3,cocci,bacilli,5,0.001929
2028,2028,3,bacilli,cocci,13,0.00354
2028,2028,3,bacilli,bacilli,3659,0.99646
2028,2028,4,cocci,cocci,2589,0.998843
2028,2028,4,cocci,bacilli,3,0.001157
2028,2028,4,bacilli,cocci,18,0.004902
2028,2028,4,bacilli,bacilli,3654,0.995098
2028,2028,5,cocci,cocci,2564,0.989198
2028,2028,5,cocci,bacilli,28,0.010802
2028,2028,5,bacilli,cocci,7,0.001906
2028,2028,5,bacilli,bacilli,3665,0.998094
