cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.001646,1.0,245.08,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3666,2577,15,6,0.996648,0.994213,0.998366,0.997677,0.994213,0.995942,0.995925,0.998366,0.997144,0.996801,0.996289,0.996543,0.996289,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_1_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_1_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.005762,0.998366,195.48,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2584,8,12,0.996807,0.996914,0.996732,0.995378,0.996914,0.996145,0.997819,0.996732,0.997275,0.996598,0.996823,0.99671,0.996823,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_2_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_2_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.002864,0.998911,196.87,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3636,2585,7,36,0.993135,0.997299,0.990196,0.986265,0.997299,0.991751,0.998079,0.990196,0.994122,0.992172,0.993748,0.992937,0.993748,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_3_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_3_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.004359,0.998366,194.49,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3641,2592,0,31,0.995051,1.0,0.991558,0.988181,1.0,0.994056,1.0,0.991558,0.995761,0.994091,0.995779,0.994908,0.995779,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_4_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_4_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.007237,0.997821,196.19,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3634,2578,14,38,0.991699,0.994599,0.989651,0.985474,0.994599,0.990015,0.996162,0.989651,0.992896,0.990818,0.992125,0.991456,0.992125,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_5_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_5_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.001514,0.998911,195.5,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3643,2582,10,29,0.993774,0.996142,0.992102,0.988893,0.996142,0.992504,0.997263,0.992102,0.994676,0.993078,0.994122,0.99359,0.994122,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_1_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_1_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.006973,0.997277,196.46,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3664,2562,30,8,0.993934,0.988426,0.997821,0.996887,0.988426,0.992639,0.991879,0.997821,0.994841,0.994383,0.993124,0.99374,0.993124,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_2_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_2_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.000952,1.0,198.66,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3657,2584,8,15,0.996328,0.996914,0.995915,0.994229,0.996914,0.995569,0.997817,0.995915,0.996865,0.996023,0.996414,0.996217,0.996414,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_3_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_3_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.001361,0.999455,195.21,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3661,2587,5,11,0.997446,0.998071,0.997004,0.995766,0.998071,0.996917,0.998636,0.997004,0.99782,0.997201,0.997538,0.997368,0.997538,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_4_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_4_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.007771,0.997821,194.23,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3668,2578,14,4,0.997126,0.994599,0.998911,0.998451,0.994599,0.996521,0.996198,0.998911,0.997552,0.997324,0.996755,0.997037,0.996755,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_5_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_5_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.00061,1.0,194.27,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3662,2585,7,10,0.997286,0.997299,0.997277,0.996146,0.997299,0.996723,0.998092,0.997277,0.997684,0.997119,0.997288,0.997203,0.997288,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2028_round_1_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2028_round_1_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2028_round_1_training_history.csv
2028,2028,2,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.000637,1.0,194.71,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3667,2563,29,5,0.994572,0.988812,0.998638,0.998053,0.988812,0.993411,0.992154,0.998638,0.995385,0.995103,0.993725,0.994398,0.993725,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2028_round_2_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2028_round_2_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2028_round_2_training_history.csv
2028,2028,3,efficientnetv2s,EfficientNetV2-S,diffusion_gan,10,0.000798,1.0,194.38,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2587,5,13,0.997126,0.998071,0.99646,0.995,0.998071,0.996533,0.998635,0.99646,0.997546,0.996818,0.997265,0.99704,0.997265,checkpoints/42_efficientnetv2s_diffusion_gan_dibas/seed_2028_round_3_final.pth,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2028_round_3_predictions.csv,results/42_efficientnetv2s_diffusion_gan_dibas/seed_2028_round_3_training_history.csv
