cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2565,0.989583
2026,2026,1,cocci,bacilli,27,0.010417
2026,2026,1,bacilli,cocci,14,0.003813
2026,2026,1,bacilli,bacilli,3658,0.996187
2026,2026,2,cocci,cocci,2568,0.990741
2026,2026,2,cocci,bacilli,24,0.009259
2026,2026,2,bacilli,cocci,12,0.003268
2026,2026,2,bacilli,bacilli,3660,0.996732
2026,2026,3,cocci,cocci,2582,0.996142
2026,2026,3,cocci,bacilli,10,0.003858
2026,2026,3,bacilli,cocci,35,0.009532
2026,2026,3,bacilli,bacilli,3637,0.990468
2026,2026,4,cocci,cocci,2556,0.986111
2026,2026,4,cocci,bacilli,36,0.013889
2026,2026,4,bacilli,cocci,8,0.002179
2026,2026,4,bacilli,bacilli,3664,0.997821
2026,2026,5,cocci,cocci,2558,0.986883
2026,2026,5,cocci,bacilli,34,0.013117
2026,2026,5,bacilli,cocci,9,0.002451
2026,2026,5,bacilli,bacilli,3663,0.997549
2027,2027,1,cocci,cocci,2553,0.984954
2027,2027,1,cocci,bacilli,39,0.015046
2027,2027,1,bacilli,cocci,18,0.004902
2027,2027,1,bacilli,bacilli,3654,0.995098
2027,2027,2,cocci,cocci,2559,0.987269
2027,2027,2,cocci,bacilli,33,0.012731
2027,2027,2,bacilli,cocci,8,0.002179
2027,2027,2,bacilli,bacilli,3664,0.997821
2027,2027,3,cocci,cocci,2591,0.999614
2027,2027,3,cocci,bacilli,1,0.000386
2027,2027,3,bacilli,cocci,92,0.025054
2027,2027,3,bacilli,bacilli,3580,0.974946
2027,2027,4,cocci,cocci,2572,0.992284
2027,2027,4,cocci,bacilli,20,0.007716
2027,2027,4,bacilli,cocci,19,0.005174
2027,2027,4,bacilli,bacilli,3653,0.994826
2027,2027,5,cocci,cocci,2545,0.981867
2027,2027,5,cocci,bacilli,47,0.018133
2027,2027,5,bacilli,cocci,6,0.001634
2027,2027,5,bacilli,bacilli,3666,0.998366
2028,2028,1,cocci,cocci,2533,0.977238
2028,2028,1,cocci,bacilli,59,0.022762
2028,2028,1,bacilli,cocci,14,0.003813
2028,2028,1,bacilli,bacilli,3658,0.996187
2028,2028,2,cocci,cocci,2566,0.989969
2028,2028,2,cocci,bacilli,26,0.010031
2028,2028,2,bacilli,cocci,19,0.005174
2028,2028,2,bacilli,bacilli,3653,0.994826
2028,2028,3,cocci,cocci,2581,0.995756
2028,2028,3,cocci,bacilli,11,0.004244
2028,2028,3,bacilli,cocci,77,0.020969
2028,2028,3,bacilli,bacilli,3595,0.979031
2028,2028,4,cocci,cocci,2568,0.990741
2028,2028,4,cocci,bacilli,24,0.009259
2028,2028,4,bacilli,cocci,17,0.00463
2028,2028,4,bacilli,bacilli,3655,0.99537
2028,2028,5,cocci,cocci,2541,0.980324
2028,2028,5,cocci,bacilli,51,0.019676
2028,2028,5,bacilli,cocci,15,0.004085
2028,2028,5,bacilli,bacilli,3657,0.995915
