cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.002078,0.999455,247.46,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3658,2565,27,14,0.993455,0.989583,0.996187,0.994572,0.989583,0.992071,0.992673,0.996187,0.994427,0.993622,0.992885,0.993249,0.992885,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_1_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_1_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,8.9e-05,1.0,207.61,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2568,24,12,0.994253,0.990741,0.996732,0.995349,0.990741,0.993039,0.993485,0.996732,0.995106,0.994417,0.993736,0.994073,0.993736,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_2_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_2_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,2.9e-05,1.0,206.17,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3637,2582,10,35,0.992816,0.996142,0.990468,0.986626,0.996142,0.991361,0.997258,0.990468,0.993852,0.991942,0.993305,0.992606,0.993305,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_3_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_3_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.000108,1.0,206.1,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3664,2556,36,8,0.992976,0.986111,0.997821,0.99688,0.986111,0.991466,0.99027,0.997821,0.994031,0.993575,0.991966,0.992749,0.991966,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_4_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_4_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.005789,0.997821,205.47,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3663,2558,34,9,0.993135,0.986883,0.997549,0.996494,0.986883,0.991665,0.990803,0.997549,0.994165,0.993649,0.992216,0.992915,0.992216,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_5_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_5_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.002156,0.999455,205.96,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3654,2553,39,18,0.9909,0.984954,0.995098,0.992999,0.984954,0.98896,0.989439,0.995098,0.992261,0.991219,0.990026,0.99061,0.990026,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_1_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_1_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.01156,0.996732,205.97,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3664,2559,33,8,0.993455,0.987269,0.997821,0.996884,0.987269,0.992053,0.991074,0.997821,0.994436,0.993979,0.992545,0.993244,0.992545,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_2_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_2_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,5.1e-05,1.0,205.36,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3580,2591,1,92,0.985153,0.999614,0.974946,0.96571,0.999614,0.98237,0.999721,0.974946,0.987178,0.982715,0.98728,0.984774,0.98728,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_3_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_3_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,3.3e-05,1.0,208.57,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3653,2572,20,19,0.993774,0.992284,0.994826,0.992667,0.992284,0.992475,0.994555,0.994826,0.99469,0.993611,0.993555,0.993583,0.993555,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_4_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_4_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.00642,0.996732,205.11,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3666,2545,47,6,0.991539,0.981867,0.998366,0.997648,0.981867,0.989695,0.987342,0.998366,0.992823,0.992495,0.990117,0.991259,0.990117,checkpoints/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_5_final.pth,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_5_predictions.csv,results/43_convnextv2nano_diffusion_gan_dibas/seed_2027_round_5_training_history.csv
