cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1400,0.995025
2026,2026,1,cocci,bacilli,7,0.004975
2026,2026,1,bacilli,cocci,15,0.007886
2026,2026,1,bacilli,bacilli,1887,0.992114
2026,2026,2,cocci,cocci,1410,0.977131
2026,2026,2,cocci,bacilli,33,0.022869
2026,2026,2,bacilli,cocci,4,0.002106
2026,2026,2,bacilli,bacilli,1895,0.997894
2026,2026,3,cocci,cocci,1421,0.994402
2026,2026,3,cocci,bacilli,8,0.005598
2026,2026,3,bacilli,cocci,7,0.003601
2026,2026,3,bacilli,bacilli,1937,0.996399
2026,2026,4,cocci,cocci,1429,0.995125
2026,2026,4,cocci,bacilli,7,0.004875
2026,2026,4,bacilli,cocci,28,0.014568
2026,2026,4,bacilli,bacilli,1894,0.985432
2026,2026,5,cocci,cocci,1422,0.992324
2026,2026,5,cocci,bacilli,11,0.007676
2026,2026,5,bacilli,cocci,5,0.00263
2026,2026,5,bacilli,bacilli,1896,0.99737
2027,2027,1,cocci,cocci,1402,0.996446
2027,2027,1,cocci,bacilli,5,0.003554
2027,2027,1,bacilli,cocci,11,0.005783
2027,2027,1,bacilli,bacilli,1891,0.994217
2027,2027,2,cocci,cocci,1429,0.990298
2027,2027,2,cocci,bacilli,14,0.009702
2027,2027,2,bacilli,cocci,2,0.001053
2027,2027,2,bacilli,bacilli,1897,0.998947
2027,2027,3,cocci,cocci,1420,0.993702
2027,2027,3,cocci,bacilli,9,0.006298
2027,2027,3,bacilli,cocci,11,0.005658
2027,2027,3,bacilli,bacilli,1933,0.994342
2027,2027,4,cocci,cocci,1419,0.988162
2027,2027,4,cocci,bacilli,17,0.011838
2027,2027,4,bacilli,cocci,20,0.010406
2027,2027,4,bacilli,bacilli,1902,0.989594
2027,2027,5,cocci,cocci,1421,0.991626
2027,2027,5,cocci,bacilli,12,0.008374
2027,2027,5,bacilli,cocci,3,0.001578
2027,2027,5,bacilli,bacilli,1898,0.998422
2028,2028,1,cocci,cocci,1399,0.994314
2028,2028,1,cocci,bacilli,8,0.005686
2028,2028,1,bacilli,cocci,9,0.004732
2028,2028,1,bacilli,bacilli,1893,0.995268
2028,2028,2,cocci,cocci,1432,0.992377
2028,2028,2,cocci,bacilli,11,0.007623
2028,2028,2,bacilli,cocci,3,0.00158
2028,2028,2,bacilli,bacilli,1896,0.99842
2028,2028,3,cocci,cocci,1422,0.995101
2028,2028,3,cocci,bacilli,7,0.004899
2028,2028,3,bacilli,cocci,11,0.005658
2028,2028,3,bacilli,bacilli,1933,0.994342
2028,2028,4,cocci,cocci,1436,1.0
2028,2028,4,cocci,bacilli,0,0.0
2028,2028,4,bacilli,cocci,52,0.027055
2028,2028,4,bacilli,bacilli,1870,0.972945
2028,2028,5,cocci,cocci,1418,0.989532
2028,2028,5,cocci,bacilli,15,0.010468
2028,2028,5,bacilli,cocci,3,0.001578
2028,2028,5,bacilli,bacilli,1898,0.998422
