cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,resnet50,ResNet-50,diffusion_gan,10,0.001072,1.0,137.3,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1887,1400,7,15,0.993351,0.995025,0.992114,0.989399,0.995025,0.992204,0.996304,0.992114,0.994204,0.992852,0.993569,0.993204,0.993569,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2026_round_1_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_1_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,resnet50,ResNet-50,diffusion_gan,10,0.001102,1.0,117.43,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1895,1410,33,4,0.988929,0.977131,0.997894,0.997171,0.977131,0.987049,0.982884,0.997894,0.990332,0.990027,0.987512,0.988691,0.987512,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2026_round_2_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_2_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,resnet50,ResNet-50,diffusion_gan,10,0.002,1.0,83.79,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1937,1421,8,7,0.995553,0.994402,0.996399,0.995098,0.994402,0.99475,0.995887,0.996399,0.996143,0.995492,0.9954,0.995446,0.9954,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2026_round_3_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_3_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,resnet50,ResNet-50,diffusion_gan,10,0.011332,0.996809,102.38,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1894,1429,7,28,0.989577,0.995125,0.985432,0.980782,0.995125,0.987902,0.996318,0.985432,0.990845,0.98855,0.990279,0.989373,0.990279,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2026_round_4_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_4_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,resnet50,ResNet-50,diffusion_gan,10,0.014635,0.994908,105.0,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1896,1422,11,5,0.995201,0.992324,0.99737,0.996496,0.992324,0.994406,0.994232,0.99737,0.995798,0.995364,0.994847,0.995102,0.994847,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2026_round_5_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_5_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,resnet50,ResNet-50,diffusion_gan,10,0.007158,0.99898,90.28,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1891,1402,5,11,0.995165,0.996446,0.994217,0.992215,0.996446,0.994326,0.997363,0.994217,0.995787,0.994789,0.995331,0.995057,0.995331,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2027_round_1_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_1_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,resnet50,ResNet-50,diffusion_gan,10,0.001812,1.0,90.45,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1897,1429,14,2,0.995212,0.990298,0.998947,0.998602,0.990298,0.994433,0.992674,0.998947,0.995801,0.995638,0.994622,0.995117,0.994622,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2027_round_2_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_2_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,resnet50,ResNet-50,diffusion_gan,10,0.005154,0.998884,83.42,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1933,1420,9,11,0.994071,0.993702,0.994342,0.992313,0.993702,0.993007,0.995366,0.994342,0.994853,0.993839,0.994022,0.99393,0.994022,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2027_round_3_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_3_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,resnet50,ResNet-50,diffusion_gan,10,0.010519,0.998936,87.0,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1902,1419,17,20,0.988982,0.988162,0.989594,0.986101,0.988162,0.98713,0.991141,0.989594,0.990367,0.988621,0.988878,0.988749,0.988878,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2027_round_4_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_4_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,resnet50,ResNet-50,diffusion_gan,10,0.001588,1.0,90.62,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1898,1421,12,3,0.995501,0.991626,0.998422,0.997893,0.991626,0.99475,0.993717,0.998422,0.996064,0.995805,0.995024,0.995407,0.995024,checkpoints/44_resnet50_diffusion_gan_dataset2/seed_2027_round_5_final.pth,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_5_predictions.csv,results/44_resnet50_diffusion_gan_dataset2/seed_2027_round_5_training_history.csv
