cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1403,0.997157
2026,2026,1,cocci,bacilli,4,0.002843
2026,2026,1,bacilli,cocci,16,0.008412
2026,2026,1,bacilli,bacilli,1886,0.991588
2026,2026,2,cocci,cocci,1435,0.994456
2026,2026,2,cocci,bacilli,8,0.005544
2026,2026,2,bacilli,cocci,19,0.010005
2026,2026,2,bacilli,bacilli,1880,0.989995
2026,2026,3,cocci,cocci,1422,0.995101
2026,2026,3,cocci,bacilli,7,0.004899
2026,2026,3,bacilli,cocci,13,0.006687
2026,2026,3,bacilli,bacilli,1931,0.993313
2026,2026,4,cocci,cocci,1433,0.997911
2026,2026,4,cocci,bacilli,3,0.002089
2026,2026,4,bacilli,cocci,39,0.020291
2026,2026,4,bacilli,bacilli,1883,0.979709
2026,2026,5,cocci,cocci,1428,0.996511
2026,2026,5,cocci,bacilli,5,0.003489
2026,2026,5,bacilli,cocci,2,0.001052
2026,2026,5,bacilli,bacilli,1899,0.998948
2027,2027,1,cocci,cocci,1402,0.996446
2027,2027,1,cocci,bacilli,5,0.003554
2027,2027,1,bacilli,cocci,5,0.002629
2027,2027,1,bacilli,bacilli,1897,0.997371
2027,2027,2,cocci,cocci,1436,0.995149
2027,2027,2,cocci,bacilli,7,0.004851
2027,2027,2,bacilli,cocci,14,0.007372
2027,2027,2,bacilli,bacilli,1885,0.992628
2027,2027,3,cocci,cocci,1413,0.988803
2027,2027,3,cocci,bacilli,16,0.011197
2027,2027,3,bacilli,cocci,5,0.002572
2027,2027,3,bacilli,bacilli,1939,0.997428
2027,2027,4,cocci,cocci,1436,1.0
2027,2027,4,cocci,bacilli,0,0.0
2027,2027,4,bacilli,cocci,27,0.014048
2027,2027,4,bacilli,bacilli,1895,0.985952
2027,2027,5,cocci,cocci,1425,0.994417
2027,2027,5,cocci,bacilli,8,0.005583
2027,2027,5,bacilli,cocci,4,0.002104
2027,2027,5,bacilli,bacilli,1897,0.997896
2028,2028,1,cocci,cocci,1403,0.997157
2028,2028,1,cocci,bacilli,4,0.002843
2028,2028,1,bacilli,cocci,9,0.004732
2028,2028,1,bacilli,bacilli,1893,0.995268
2028,2028,2,cocci,cocci,1435,0.994456
2028,2028,2,cocci,bacilli,8,0.005544
2028,2028,2,bacilli,cocci,6,0.00316
2028,2028,2,bacilli,bacilli,1893,0.99684
2028,2028,3,cocci,cocci,1412,0.988104
2028,2028,3,cocci,bacilli,17,0.011896
2028,2028,3,bacilli,cocci,0,0.0
2028,2028,3,bacilli,bacilli,1944,1.0
2028,2028,4,cocci,cocci,1429,0.995125
2028,2028,4,cocci,bacilli,7,0.004875
2028,2028,4,bacilli,cocci,32,0.016649
2028,2028,4,bacilli,bacilli,1890,0.983351
2028,2028,5,cocci,cocci,1428,0.996511
2028,2028,5,cocci,bacilli,5,0.003489
2028,2028,5,bacilli,cocci,4,0.002104
2028,2028,5,bacilli,bacilli,1897,0.997896
