cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.0001,1.0,149.63,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1891,1397,10,11,0.993654,0.992893,0.994217,0.992188,0.992893,0.99254,0.99474,0.994217,0.994478,0.993464,0.993555,0.993509,0.993555,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_1_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_1_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.00375,0.998986,135.28,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1880,1425,18,19,0.988929,0.987526,0.989995,0.986842,0.987526,0.987184,0.990516,0.989995,0.990255,0.988679,0.98876,0.98872,0.98876,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_2_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_2_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,7.3e-05,1.0,101.56,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1937,1416,13,7,0.994071,0.990903,0.996399,0.995081,0.990903,0.992987,0.993333,0.996399,0.994864,0.994207,0.993651,0.993926,0.993651,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_3_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_3_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.085776,0.978723,119.94,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1921,1079,357,1,0.893389,0.751393,0.99948,0.999074,0.751393,0.857711,0.843284,0.99948,0.914762,0.921179,0.875436,0.886236,0.875436,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_4_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_4_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.006369,0.997963,123.13,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1899,1424,9,2,0.996701,0.993719,0.998948,0.998597,0.993719,0.996153,0.995283,0.998948,0.997112,0.99694,0.996334,0.996632,0.996334,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_5_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_5_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.000102,1.0,109.99,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1891,1401,6,11,0.994862,0.995736,0.994217,0.99221,0.995736,0.993969,0.996837,0.994217,0.995525,0.994523,0.994976,0.994747,0.994976,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_1_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_1_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.006435,0.996957,110.91,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1891,1391,52,8,0.982047,0.963964,0.995787,0.994282,0.963964,0.978888,0.973237,0.995787,0.984383,0.983759,0.979876,0.981636,0.979876,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_2_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_2_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.000123,1.0,101.58,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1939,1395,34,5,0.988438,0.976207,0.997428,0.996429,0.976207,0.986214,0.982767,0.997428,0.990043,0.989598,0.986818,0.988129,0.986818,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_3_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_3_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.324785,0.837234,105.8,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1875,1212,224,47,0.919297,0.844011,0.975546,0.962669,0.844011,0.899443,0.893283,0.975546,0.932604,0.927976,0.909779,0.916024,0.909779,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_4_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_4_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,convnextv2nano,ConvNeXtV2-Nano,diffusion_gan,10,0.013335,0.991853,110.02,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1603,1426,7,298,0.908518,0.995115,0.84324,0.827146,0.995115,0.903389,0.995652,0.84324,0.91313,0.911399,0.919178,0.90826,0.919178,checkpoints/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_5_final.pth,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_5_predictions.csv,results/46_convnextv2nano_diffusion_gan_dataset2/seed_2027_round_5_training_history.csv
