cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2445,0.943287
2026,2026,1,cocci,bacilli,147,0.056713
2026,2026,1,bacilli,cocci,28,0.007625
2026,2026,1,bacilli,bacilli,3644,0.992375
2026,2026,2,cocci,cocci,2557,0.986497
2026,2026,2,cocci,bacilli,35,0.013503
2026,2026,2,bacilli,cocci,21,0.005719
2026,2026,2,bacilli,bacilli,3651,0.994281
2026,2026,3,cocci,cocci,2516,0.970679
2026,2026,3,cocci,bacilli,76,0.029321
2026,2026,3,bacilli,cocci,207,0.056373
2026,2026,3,bacilli,bacilli,3465,0.943627
2026,2026,4,cocci,cocci,2568,0.990741
2026,2026,4,cocci,bacilli,24,0.009259
2026,2026,4,bacilli,cocci,100,0.027233
2026,2026,4,bacilli,bacilli,3572,0.972767
2026,2026,5,cocci,cocci,2518,0.971451
2026,2026,5,cocci,bacilli,74,0.028549
2026,2026,5,bacilli,cocci,2,0.000545
2026,2026,5,bacilli,bacilli,3670,0.999455
2027,2027,1,cocci,cocci,2496,0.962963
2027,2027,1,cocci,bacilli,96,0.037037
2027,2027,1,bacilli,cocci,70,0.019063
2027,2027,1,bacilli,bacilli,3602,0.980937
2027,2027,2,cocci,cocci,2535,0.978009
2027,2027,2,cocci,bacilli,57,0.021991
2027,2027,2,bacilli,cocci,37,0.010076
2027,2027,2,bacilli,bacilli,3635,0.989924
2027,2027,3,cocci,cocci,2547,0.982639
2027,2027,3,cocci,bacilli,45,0.017361
2027,2027,3,bacilli,cocci,394,0.107298
2027,2027,3,bacilli,bacilli,3278,0.892702
2027,2027,4,cocci,cocci,2551,0.984182
2027,2027,4,cocci,bacilli,41,0.015818
2027,2027,4,bacilli,cocci,12,0.003268
2027,2027,4,bacilli,bacilli,3660,0.996732
2027,2027,5,cocci,cocci,2544,0.981481
2027,2027,5,cocci,bacilli,48,0.018519
2027,2027,5,bacilli,cocci,23,0.006264
2027,2027,5,bacilli,bacilli,3649,0.993736
2028,2028,1,cocci,cocci,2226,0.858796
2028,2028,1,cocci,bacilli,366,0.141204
2028,2028,1,bacilli,cocci,10,0.002723
2028,2028,1,bacilli,bacilli,3662,0.997277
2028,2028,2,cocci,cocci,2383,0.919367
2028,2028,2,cocci,bacilli,209,0.080633
2028,2028,2,bacilli,cocci,16,0.004357
2028,2028,2,bacilli,bacilli,3656,0.995643
2028,2028,3,cocci,cocci,2553,0.984954
2028,2028,3,cocci,bacilli,39,0.015046
2028,2028,3,bacilli,cocci,77,0.020969
2028,2028,3,bacilli,bacilli,3595,0.979031
2028,2028,4,cocci,cocci,2564,0.989198
2028,2028,4,cocci,bacilli,28,0.010802
2028,2028,4,bacilli,cocci,42,0.011438
2028,2028,4,bacilli,bacilli,3630,0.988562
2028,2028,5,cocci,cocci,2454,0.946759
2028,2028,5,cocci,bacilli,138,0.053241
2028,2028,5,bacilli,cocci,15,0.004085
2028,2028,5,bacilli,bacilli,3657,0.995915
