cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.041082,0.993614,149.91,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3644,2445,147,28,0.972063,0.943287,0.992375,0.988678,0.943287,0.965449,0.961224,0.992375,0.976551,0.974951,0.967831,0.971,0.967831,checkpoints/47_mobilenetv4_baseline_dibas/seed_2026_round_1_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2026_round_1_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.002163,0.999361,107.0,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3651,2557,35,21,0.99106,0.986497,0.994281,0.991854,0.986497,0.989168,0.990505,0.994281,0.992389,0.991179,0.990389,0.990779,0.990389,checkpoints/47_mobilenetv4_baseline_dibas/seed_2026_round_2_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2026_round_2_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.029901,0.994253,109.94,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3465,2516,76,207,0.954821,0.970679,0.943627,0.923981,0.970679,0.946754,0.978537,0.943627,0.960765,0.951259,0.957153,0.95376,0.957153,checkpoints/47_mobilenetv4_baseline_dibas/seed_2026_round_3_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2026_round_3_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.072034,0.99106,109.66,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3572,2568,24,100,0.980204,0.990741,0.972767,0.962519,0.990741,0.976426,0.993326,0.972767,0.982939,0.977922,0.981754,0.979682,0.981754,checkpoints/47_mobilenetv4_baseline_dibas/seed_2026_round_4_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2026_round_4_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.066451,0.993614,108.8,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3670,2518,74,2,0.987867,0.971451,0.999455,0.999206,0.971451,0.985133,0.980235,0.999455,0.989752,0.989721,0.985453,0.987442,0.985453,checkpoints/47_mobilenetv4_baseline_dibas/seed_2026_round_5_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2026_round_5_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.068188,0.990421,109.03,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3602,2496,96,70,0.973499,0.962963,0.980937,0.97272,0.962963,0.967817,0.97404,0.980937,0.977476,0.97338,0.97195,0.972647,0.97195,checkpoints/47_mobilenetv4_baseline_dibas/seed_2027_round_1_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2027_round_1_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.010025,0.996169,108.98,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3635,2535,57,37,0.984994,0.978009,0.989924,0.985614,0.978009,0.981797,0.984561,0.989924,0.987235,0.985088,0.983967,0.984516,0.983967,checkpoints/47_mobilenetv4_baseline_dibas/seed_2027_round_2_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2027_round_2_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.017499,0.997446,109.15,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3278,2547,45,394,0.929917,0.982639,0.892702,0.866032,0.982639,0.920658,0.986458,0.892702,0.937241,0.926245,0.93767,0.928949,0.93767,checkpoints/47_mobilenetv4_baseline_dibas/seed_2027_round_3_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2027_round_3_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.056642,0.989783,109.88,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3660,2551,41,12,0.991539,0.984182,0.996732,0.995318,0.984182,0.989719,0.988922,0.996732,0.992812,0.99212,0.990457,0.991265,0.990457,checkpoints/47_mobilenetv4_baseline_dibas/seed_2027_round_4_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2027_round_4_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.033126,0.993614,110.89,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3649,2544,48,23,0.988665,0.981481,0.993736,0.99104,0.981481,0.986238,0.987016,0.993736,0.990365,0.989028,0.987609,0.988301,0.987609,checkpoints/47_mobilenetv4_baseline_dibas/seed_2027_round_5_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2027_round_5_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.091092,0.989144,110.82,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3662,2226,366,10,0.939974,0.858796,0.997277,0.995528,0.858796,0.922121,0.909136,0.997277,0.951169,0.952332,0.928036,0.936645,0.928036,checkpoints/47_mobilenetv4_baseline_dibas/seed_2028_round_1_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2028_round_1_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2028_round_1_training_history.csv
2028,2028,2,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.024369,0.996169,109.44,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3656,2383,209,16,0.96408,0.919367,0.995643,0.993331,0.919367,0.954919,0.945925,0.995643,0.970147,0.969628,0.957505,0.962533,0.957505,checkpoints/47_mobilenetv4_baseline_dibas/seed_2028_round_2_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2028_round_2_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2028_round_2_training_history.csv
2028,2028,3,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.060352,0.991699,108.74,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3595,2553,39,77,0.981481,0.984954,0.979031,0.970722,0.984954,0.977786,0.989268,0.979031,0.984123,0.979995,0.981992,0.980954,0.981992,checkpoints/47_mobilenetv4_baseline_dibas/seed_2028_round_3_final.pth,results/47_mobilenetv4_baseline_dibas/seed_2028_round_3_predictions.csv,results/47_mobilenetv4_baseline_dibas/seed_2028_round_3_training_history.csv
