cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2501,0.964892
2026,2026,1,cocci,bacilli,91,0.035108
2026,2026,1,bacilli,cocci,44,0.011983
2026,2026,1,bacilli,bacilli,3628,0.988017
2026,2026,2,cocci,cocci,2563,0.988812
2026,2026,2,cocci,bacilli,29,0.011188
2026,2026,2,bacilli,cocci,21,0.005719
2026,2026,2,bacilli,bacilli,3651,0.994281
2026,2026,3,cocci,cocci,2541,0.980324
2026,2026,3,cocci,bacilli,51,0.019676
2026,2026,3,bacilli,cocci,71,0.019336
2026,2026,3,bacilli,bacilli,3601,0.980664
2026,2026,4,cocci,cocci,2575,0.993441
2026,2026,4,cocci,bacilli,17,0.006559
2026,2026,4,bacilli,cocci,63,0.017157
2026,2026,4,bacilli,bacilli,3609,0.982843
2026,2026,5,cocci,cocci,2530,0.97608
2026,2026,5,cocci,bacilli,62,0.02392
2026,2026,5,bacilli,cocci,18,0.004902
2026,2026,5,bacilli,bacilli,3654,0.995098
2027,2027,1,cocci,cocci,2406,0.928241
2027,2027,1,cocci,bacilli,186,0.071759
2027,2027,1,bacilli,cocci,24,0.006536
2027,2027,1,bacilli,bacilli,3648,0.993464
2027,2027,2,cocci,cocci,2506,0.966821
2027,2027,2,cocci,bacilli,86,0.033179
2027,2027,2,bacilli,cocci,106,0.028867
2027,2027,2,bacilli,bacilli,3566,0.971133
2027,2027,3,cocci,cocci,2582,0.996142
2027,2027,3,cocci,bacilli,10,0.003858
2027,2027,3,bacilli,cocci,164,0.044662
2027,2027,3,bacilli,bacilli,3508,0.955338
2027,2027,4,cocci,cocci,2584,0.996914
2027,2027,4,cocci,bacilli,8,0.003086
2027,2027,4,bacilli,cocci,69,0.018791
2027,2027,4,bacilli,bacilli,3603,0.981209
2027,2027,5,cocci,cocci,2572,0.992284
2027,2027,5,cocci,bacilli,20,0.007716
2027,2027,5,bacilli,cocci,19,0.005174
2027,2027,5,bacilli,bacilli,3653,0.994826
2028,2028,1,cocci,cocci,2528,0.975309
2028,2028,1,cocci,bacilli,64,0.024691
2028,2028,1,bacilli,cocci,43,0.01171
2028,2028,1,bacilli,bacilli,3629,0.98829
2028,2028,2,cocci,cocci,2514,0.969907
2028,2028,2,cocci,bacilli,78,0.030093
2028,2028,2,bacilli,cocci,9,0.002451
2028,2028,2,bacilli,bacilli,3663,0.997549
2028,2028,3,cocci,cocci,2540,0.979938
2028,2028,3,cocci,bacilli,52,0.020062
2028,2028,3,bacilli,cocci,31,0.008442
2028,2028,3,bacilli,bacilli,3641,0.991558
2028,2028,4,cocci,cocci,2577,0.994213
2028,2028,4,cocci,bacilli,15,0.005787
2028,2028,4,bacilli,cocci,169,0.046024
2028,2028,4,bacilli,bacilli,3503,0.953976
2028,2028,5,cocci,cocci,2427,0.936343
2028,2028,5,cocci,bacilli,165,0.063657
2028,2028,5,bacilli,cocci,37,0.010076
2028,2028,5,bacilli,bacilli,3635,0.989924
