cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.004686,0.999455,153.49,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3628,2501,91,44,0.978448,0.964892,0.988017,0.982711,0.964892,0.97372,0.975531,0.988017,0.981735,0.979121,0.976455,0.977727,0.976455,checkpoints/48_mobilenetv4_gan_dibas/seed_2026_round_1_final.pth,results/48_mobilenetv4_gan_dibas/seed_2026_round_1_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.008874,0.995098,117.6,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3651,2563,29,21,0.992018,0.988812,0.994281,0.991873,0.988812,0.99034,0.99212,0.994281,0.993199,0.991996,0.991546,0.99177,0.991546,checkpoints/48_mobilenetv4_gan_dibas/seed_2026_round_2_final.pth,results/48_mobilenetv4_gan_dibas/seed_2026_round_2_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.126208,0.988017,118.22,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3601,2541,51,71,0.980524,0.980324,0.980664,0.972818,0.980324,0.976556,0.986035,0.980664,0.983342,0.979426,0.980494,0.979949,0.980494,checkpoints/48_mobilenetv4_gan_dibas/seed_2026_round_3_final.pth,results/48_mobilenetv4_gan_dibas/seed_2026_round_3_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.039714,0.994553,118.61,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3609,2575,17,63,0.987229,0.993441,0.982843,0.976118,0.993441,0.984704,0.995312,0.982843,0.989038,0.985715,0.988142,0.986871,0.988142,checkpoints/48_mobilenetv4_gan_dibas/seed_2026_round_4_final.pth,results/48_mobilenetv4_gan_dibas/seed_2026_round_4_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.017801,0.996187,117.63,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3654,2530,62,18,0.987229,0.97608,0.995098,0.992936,0.97608,0.984436,0.983315,0.995098,0.989172,0.988126,0.985589,0.986804,0.985589,checkpoints/48_mobilenetv4_gan_dibas/seed_2026_round_5_final.pth,results/48_mobilenetv4_gan_dibas/seed_2026_round_5_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.031118,0.997821,119.61,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3648,2406,186,24,0.966475,0.928241,0.993464,0.990123,0.928241,0.958184,0.951487,0.993464,0.972022,0.970805,0.960852,0.965103,0.960852,checkpoints/48_mobilenetv4_gan_dibas/seed_2027_round_1_final.pth,results/48_mobilenetv4_gan_dibas/seed_2027_round_1_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.003763,0.997821,118.26,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3566,2506,86,106,0.969349,0.966821,0.971133,0.959418,0.966821,0.963105,0.976451,0.971133,0.973785,0.967935,0.968977,0.968445,0.968977,checkpoints/48_mobilenetv4_gan_dibas/seed_2027_round_2_final.pth,results/48_mobilenetv4_gan_dibas/seed_2027_round_2_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.003338,0.998366,117.89,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3508,2582,10,164,0.972222,0.996142,0.955338,0.940277,0.996142,0.967404,0.997157,0.955338,0.9758,0.968717,0.97574,0.971602,0.97574,checkpoints/48_mobilenetv4_gan_dibas/seed_2027_round_3_final.pth,results/48_mobilenetv4_gan_dibas/seed_2027_round_3_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.02625,0.996187,118.6,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3603,2584,8,69,0.987708,0.996914,0.981209,0.973992,0.996914,0.985319,0.997785,0.981209,0.989427,0.985888,0.989061,0.987373,0.989061,checkpoints/48_mobilenetv4_gan_dibas/seed_2027_round_4_final.pth,results/48_mobilenetv4_gan_dibas/seed_2027_round_4_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.015022,0.995098,117.64,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3653,2572,20,19,0.993774,0.992284,0.994826,0.992667,0.992284,0.992475,0.994555,0.994826,0.99469,0.993611,0.993555,0.993583,0.993555,checkpoints/48_mobilenetv4_gan_dibas/seed_2027_round_5_final.pth,results/48_mobilenetv4_gan_dibas/seed_2027_round_5_predictions.csv,results/48_mobilenetv4_gan_dibas/seed_2027_round_5_training_history.csv
