cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2198,0.847994
2026,2026,1,cocci,bacilli,394,0.152006
2026,2026,1,bacilli,cocci,35,0.009532
2026,2026,1,bacilli,bacilli,3637,0.990468
2026,2026,2,cocci,cocci,2514,0.969907
2026,2026,2,cocci,bacilli,78,0.030093
2026,2026,2,bacilli,cocci,38,0.010349
2026,2026,2,bacilli,bacilli,3634,0.989651
2026,2026,3,cocci,cocci,2585,0.997299
2026,2026,3,cocci,bacilli,7,0.002701
2026,2026,3,bacilli,cocci,116,0.03159
2026,2026,3,bacilli,bacilli,3556,0.96841
2026,2026,4,cocci,cocci,2519,0.971836
2026,2026,4,cocci,bacilli,73,0.028164
2026,2026,4,bacilli,cocci,42,0.011438
2026,2026,4,bacilli,bacilli,3630,0.988562
2026,2026,5,cocci,cocci,2569,0.991127
2026,2026,5,cocci,bacilli,23,0.008873
2026,2026,5,bacilli,cocci,31,0.008442
2026,2026,5,bacilli,bacilli,3641,0.991558
2027,2027,1,cocci,cocci,2489,0.960262
2027,2027,1,cocci,bacilli,103,0.039738
2027,2027,1,bacilli,cocci,25,0.006808
2027,2027,1,bacilli,bacilli,3647,0.993192
2027,2027,2,cocci,cocci,2477,0.955633
2027,2027,2,cocci,bacilli,115,0.044367
2027,2027,2,bacilli,cocci,12,0.003268
2027,2027,2,bacilli,bacilli,3660,0.996732
2027,2027,3,cocci,cocci,2572,0.992284
2027,2027,3,cocci,bacilli,20,0.007716
2027,2027,3,bacilli,cocci,45,0.012255
2027,2027,3,bacilli,bacilli,3627,0.987745
2027,2027,4,cocci,cocci,2528,0.975309
2027,2027,4,cocci,bacilli,64,0.024691
2027,2027,4,bacilli,cocci,33,0.008987
2027,2027,4,bacilli,bacilli,3639,0.991013
2027,2027,5,cocci,cocci,2530,0.97608
2027,2027,5,cocci,bacilli,62,0.02392
2027,2027,5,bacilli,cocci,7,0.001906
2027,2027,5,bacilli,bacilli,3665,0.998094
2028,2028,1,cocci,cocci,2383,0.919367
2028,2028,1,cocci,bacilli,209,0.080633
2028,2028,1,bacilli,cocci,8,0.002179
2028,2028,1,bacilli,bacilli,3664,0.997821
2028,2028,2,cocci,cocci,2473,0.95409
2028,2028,2,cocci,bacilli,119,0.04591
2028,2028,2,bacilli,cocci,19,0.005174
2028,2028,2,bacilli,bacilli,3653,0.994826
2028,2028,3,cocci,cocci,2575,0.993441
2028,2028,3,cocci,bacilli,17,0.006559
2028,2028,3,bacilli,cocci,124,0.033769
2028,2028,3,bacilli,bacilli,3548,0.966231
2028,2028,4,cocci,cocci,2551,0.984182
2028,2028,4,cocci,bacilli,41,0.015818
2028,2028,4,bacilli,cocci,30,0.00817
2028,2028,4,bacilli,bacilli,3642,0.99183
2028,2028,5,cocci,cocci,2409,0.929398
2028,2028,5,cocci,bacilli,183,0.070602
2028,2028,5,bacilli,cocci,15,0.004085
2028,2028,5,bacilli,bacilli,3657,0.995915
