cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.04846,0.992375,155.54,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3637,2198,394,35,0.931513,0.847994,0.990468,0.984326,0.847994,0.911088,0.902258,0.990468,0.944307,0.943292,0.919231,0.927698,0.919231,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2026_round_1_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_1_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.018319,0.996187,117.47,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3634,2514,78,38,0.981481,0.969907,0.989651,0.98511,0.969907,0.977449,0.978987,0.989651,0.98429,0.982048,0.979779,0.98087,0.979779,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2026_round_2_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_2_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.035757,0.994553,120.14,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3556,2585,7,116,0.980364,0.997299,0.96841,0.957053,0.997299,0.976762,0.998035,0.96841,0.982999,0.977544,0.982854,0.979881,0.982854,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2026_round_3_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_3_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.036414,0.993464,118.84,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3630,2519,73,42,0.981641,0.971836,0.988562,0.9836,0.971836,0.977683,0.980286,0.988562,0.984407,0.981943,0.980199,0.981045,0.980199,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2026_round_4_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_4_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.054412,0.992919,118.72,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3641,2569,23,31,0.991379,0.991127,0.991558,0.988077,0.991127,0.989599,0.993723,0.991558,0.992639,0.9909,0.991342,0.991119,0.991342,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2026_round_5_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_5_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.018512,0.995098,118.79,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3647,2489,103,25,0.979566,0.960262,0.993192,0.990056,0.960262,0.974931,0.972533,0.993192,0.982754,0.981295,0.976727,0.978843,0.976727,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2027_round_1_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_1_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.023878,0.994553,118.61,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2477,115,12,0.979725,0.955633,0.996732,0.995179,0.955633,0.975005,0.969536,0.996732,0.982946,0.982358,0.976182,0.978976,0.976182,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2027_round_2_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_2_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.001698,0.998911,117.65,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3627,2572,20,45,0.989623,0.992284,0.987745,0.982805,0.992284,0.987522,0.994516,0.987745,0.991119,0.98866,0.990015,0.98932,0.990015,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2027_round_3_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_3_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.035691,0.995098,117.52,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3639,2528,64,33,0.984515,0.975309,0.991013,0.987114,0.975309,0.981176,0.982717,0.991013,0.986847,0.984916,0.983161,0.984012,0.983161,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2027_round_4_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_4_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.022921,0.994009,118.6,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3665,2530,62,7,0.988985,0.97608,0.998094,0.997241,0.97608,0.986547,0.983365,0.998094,0.990674,0.990303,0.987087,0.988611,0.987087,checkpoints/49_mobilenetv4_stylegan3_dibas/seed_2027_round_5_final.pth,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_5_predictions.csv,results/49_mobilenetv4_stylegan3_dibas/seed_2027_round_5_training_history.csv
