cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2356,0.908951
2026,2026,1,cocci,bacilli,236,0.091049
2026,2026,1,bacilli,cocci,41,0.011166
2026,2026,1,bacilli,bacilli,3631,0.988834
2026,2026,2,cocci,cocci,2557,0.986497
2026,2026,2,cocci,bacilli,35,0.013503
2026,2026,2,bacilli,cocci,20,0.005447
2026,2026,2,bacilli,bacilli,3652,0.994553
2026,2026,3,cocci,cocci,2584,0.996914
2026,2026,3,cocci,bacilli,8,0.003086
2026,2026,3,bacilli,cocci,212,0.057734
2026,2026,3,bacilli,bacilli,3460,0.942266
2026,2026,4,cocci,cocci,2552,0.984568
2026,2026,4,cocci,bacilli,40,0.015432
2026,2026,4,bacilli,cocci,34,0.009259
2026,2026,4,bacilli,bacilli,3638,0.990741
2026,2026,5,cocci,cocci,2481,0.957176
2026,2026,5,cocci,bacilli,111,0.042824
2026,2026,5,bacilli,cocci,88,0.023965
2026,2026,5,bacilli,bacilli,3584,0.976035
2027,2027,1,cocci,cocci,2424,0.935185
2027,2027,1,cocci,bacilli,168,0.064815
2027,2027,1,bacilli,cocci,216,0.058824
2027,2027,1,bacilli,bacilli,3456,0.941176
2027,2027,2,cocci,cocci,2555,0.985725
2027,2027,2,cocci,bacilli,37,0.014275
2027,2027,2,bacilli,cocci,43,0.01171
2027,2027,2,bacilli,bacilli,3629,0.98829
2027,2027,3,cocci,cocci,2564,0.989198
2027,2027,3,cocci,bacilli,28,0.010802
2027,2027,3,bacilli,cocci,57,0.015523
2027,2027,3,bacilli,bacilli,3615,0.984477
2027,2027,4,cocci,cocci,2541,0.980324
2027,2027,4,cocci,bacilli,51,0.019676
2027,2027,4,bacilli,cocci,23,0.006264
2027,2027,4,bacilli,bacilli,3649,0.993736
2027,2027,5,cocci,cocci,2354,0.908179
2027,2027,5,cocci,bacilli,238,0.091821
2027,2027,5,bacilli,cocci,14,0.003813
2027,2027,5,bacilli,bacilli,3658,0.996187
2028,2028,1,cocci,cocci,2443,0.942515
2028,2028,1,cocci,bacilli,149,0.057485
2028,2028,1,bacilli,cocci,74,0.020153
2028,2028,1,bacilli,bacilli,3598,0.979847
2028,2028,2,cocci,cocci,2573,0.99267
2028,2028,2,cocci,bacilli,19,0.00733
2028,2028,2,bacilli,cocci,25,0.006808
2028,2028,2,bacilli,bacilli,3647,0.993192
2028,2028,3,cocci,cocci,2575,0.993441
2028,2028,3,cocci,bacilli,17,0.006559
2028,2028,3,bacilli,cocci,206,0.0561
2028,2028,3,bacilli,bacilli,3466,0.9439
2028,2028,4,cocci,cocci,2561,0.98804
2028,2028,4,cocci,bacilli,31,0.01196
2028,2028,4,bacilli,cocci,13,0.00354
2028,2028,4,bacilli,bacilli,3659,0.99646
2028,2028,5,cocci,cocci,2539,0.979552
2028,2028,5,cocci,bacilli,53,0.020448
2028,2028,5,bacilli,cocci,26,0.007081
2028,2028,5,bacilli,bacilli,3646,0.992919
