cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.022834,0.994553,156.35,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3631,2356,236,41,0.955779,0.908951,0.988834,0.982895,0.908951,0.944478,0.938971,0.988834,0.963258,0.960933,0.948893,0.953868,0.948893,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_1_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_1_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.037459,0.992375,118.34,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3652,2557,35,20,0.99122,0.986497,0.994553,0.992239,0.986497,0.98936,0.990507,0.994553,0.992526,0.991373,0.990525,0.990943,0.990525,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_2_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_2_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.025859,0.995098,118.74,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3460,2584,8,212,0.964879,0.996914,0.942266,0.924177,0.996914,0.959169,0.997693,0.942266,0.969188,0.960935,0.96959,0.964178,0.96959,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_3_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_3_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.010801,0.997821,119.46,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3638,2552,40,34,0.988186,0.984568,0.990741,0.986852,0.984568,0.985709,0.989125,0.990741,0.989932,0.987988,0.987654,0.98782,0.987654,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_4_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_4_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.01386,0.997277,118.44,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3584,2481,111,88,0.968231,0.957176,0.976035,0.965745,0.957176,0.961442,0.969959,0.976035,0.972988,0.967852,0.966605,0.967215,0.966605,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_5_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_5_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.081335,0.99183,118.31,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3456,2424,168,216,0.938697,0.935185,0.941176,0.918182,0.935185,0.926606,0.953642,0.941176,0.947368,0.935912,0.938181,0.936987,0.938181,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_1_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_1_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.021158,0.996187,118.58,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3629,2555,37,43,0.987229,0.985725,0.98829,0.983449,0.985725,0.984586,0.989907,0.98829,0.989098,0.986678,0.987008,0.986842,0.987008,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_2_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_2_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.007899,0.999455,118.5,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3615,2564,28,57,0.98643,0.989198,0.984477,0.978253,0.989198,0.983695,0.992314,0.984477,0.98838,0.985283,0.986837,0.986037,0.986837,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_3_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_3_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.02775,0.995643,118.91,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3649,2541,51,23,0.988186,0.980324,0.993736,0.99103,0.980324,0.985648,0.986216,0.993736,0.989962,0.988623,0.98703,0.987805,0.98703,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_4_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_4_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.020234,0.995643,119.91,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3658,2354,238,14,0.95977,0.908179,0.996187,0.994088,0.908179,0.949194,0.938912,0.996187,0.966702,0.9665,0.952183,0.957948,0.952183,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_5_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_5_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.034917,0.994009,118.43,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3598,2443,149,74,0.9644,0.942515,0.979847,0.9706,0.942515,0.956352,0.960235,0.979847,0.969942,0.965417,0.961181,0.963147,0.961181,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_1_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_1_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_1_training_history.csv
2028,2028,2,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.004097,0.998366,118.87,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3647,2573,19,25,0.992976,0.99267,0.993192,0.990377,0.99267,0.991522,0.994817,0.993192,0.994004,0.992597,0.992931,0.992763,0.992931,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_2_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_2_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_2_training_history.csv
2028,2028,3,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.074881,0.990741,118.52,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3466,2575,17,206,0.9644,0.993441,0.9439,0.925926,0.993441,0.958496,0.995119,0.9439,0.968833,0.960523,0.968671,0.963665,0.968671,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_3_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_3_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_3_training_history.csv
2028,2028,4,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.033049,0.992919,119.07,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2561,31,13,0.992976,0.98804,0.99646,0.994949,0.98804,0.991483,0.991599,0.99646,0.994023,0.993274,0.99225,0.992753,0.99225,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_4_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_4_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_4_training_history.csv
2028,2028,5,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.028522,0.991285,118.92,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3646,2539,53,26,0.987388,0.979552,0.992919,0.989864,0.979552,0.984681,0.985672,0.992919,0.989282,0.987768,0.986236,0.986982,0.986236,checkpoints/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_5_final.pth,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_5_predictions.csv,results/50_mobilenetv4_diffusion_gan_dibas/seed_2028_round_5_training_history.csv
