cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2533,0.977238
2026,2026,1,cocci,bacilli,59,0.022762
2026,2026,1,bacilli,cocci,1,0.000272
2026,2026,1,bacilli,bacilli,3671,0.999728
2026,2026,2,cocci,cocci,2555,0.985725
2026,2026,2,cocci,bacilli,37,0.014275
2026,2026,2,bacilli,cocci,15,0.004085
2026,2026,2,bacilli,bacilli,3657,0.995915
2026,2026,3,cocci,cocci,2573,0.99267
2026,2026,3,cocci,bacilli,19,0.00733
2026,2026,3,bacilli,cocci,44,0.011983
2026,2026,3,bacilli,bacilli,3628,0.988017
2026,2026,4,cocci,cocci,2559,0.987269
2026,2026,4,cocci,bacilli,33,0.012731
2026,2026,4,bacilli,cocci,45,0.012255
2026,2026,4,bacilli,bacilli,3627,0.987745
2026,2026,5,cocci,cocci,2525,0.974151
2026,2026,5,cocci,bacilli,67,0.025849
2026,2026,5,bacilli,cocci,1,0.000272
2026,2026,5,bacilli,bacilli,3671,0.999728
2027,2027,1,cocci,cocci,2554,0.98534
2027,2027,1,cocci,bacilli,38,0.01466
2027,2027,1,bacilli,cocci,152,0.041394
2027,2027,1,bacilli,bacilli,3520,0.958606
2027,2027,2,cocci,cocci,2575,0.993441
2027,2027,2,cocci,bacilli,17,0.006559
2027,2027,2,bacilli,cocci,26,0.007081
2027,2027,2,bacilli,bacilli,3646,0.992919
2027,2027,3,cocci,cocci,2588,0.998457
2027,2027,3,cocci,bacilli,4,0.001543
2027,2027,3,bacilli,cocci,59,0.016068
2027,2027,3,bacilli,bacilli,3613,0.983932
2027,2027,4,cocci,cocci,2582,0.996142
2027,2027,4,cocci,bacilli,10,0.003858
2027,2027,4,bacilli,cocci,17,0.00463
2027,2027,4,bacilli,bacilli,3655,0.99537
2027,2027,5,cocci,cocci,2559,0.987269
2027,2027,5,cocci,bacilli,33,0.012731
2027,2027,5,bacilli,cocci,6,0.001634
2027,2027,5,bacilli,bacilli,3666,0.998366
2028,2028,1,cocci,cocci,2577,0.994213
2028,2028,1,cocci,bacilli,15,0.005787
2028,2028,1,bacilli,cocci,74,0.020153
2028,2028,1,bacilli,bacilli,3598,0.979847
2028,2028,2,cocci,cocci,1638,0.631944
2028,2028,2,cocci,bacilli,954,0.368056
2028,2028,2,bacilli,cocci,115,0.031318
2028,2028,2,bacilli,bacilli,3557,0.968682
2028,2028,3,cocci,cocci,2569,0.991127
2028,2028,3,cocci,bacilli,23,0.008873
2028,2028,3,bacilli,cocci,36,0.009804
2028,2028,3,bacilli,bacilli,3636,0.990196
2028,2028,4,cocci,cocci,2581,0.995756
2028,2028,4,cocci,bacilli,11,0.004244
2028,2028,4,bacilli,cocci,14,0.003813
2028,2028,4,bacilli,bacilli,3658,0.996187
2028,2028,5,cocci,cocci,2563,0.988812
2028,2028,5,cocci,bacilli,29,0.011188
2028,2028,5,bacilli,cocci,9,0.002451
2028,2028,5,bacilli,bacilli,3663,0.997549
