cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,starnet,StarNet-S4,baseline,10,0.002126,1.0,139.28,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3671,2533,59,1,0.990421,0.977238,0.999728,0.999605,0.977238,0.988295,0.984182,0.999728,0.991894,0.991894,0.988483,0.990095,0.988483,checkpoints/51_starnet_baseline_dibas/seed_2026_round_1_final.pth,results/51_starnet_baseline_dibas/seed_2026_round_1_predictions.csv,results/51_starnet_baseline_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,starnet,StarNet-S4,baseline,10,0.003024,0.999361,118.67,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3657,2555,37,15,0.991699,0.985725,0.995915,0.994163,0.985725,0.989926,0.989984,0.995915,0.992941,0.992074,0.99082,0.991433,0.99082,checkpoints/51_starnet_baseline_dibas/seed_2026_round_2_final.pth,results/51_starnet_baseline_dibas/seed_2026_round_2_predictions.csv,results/51_starnet_baseline_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,starnet,StarNet-S4,baseline,10,0.001628,1.0,116.97,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3628,2573,19,44,0.989943,0.99267,0.988017,0.983187,0.99267,0.987906,0.99479,0.988017,0.991392,0.988989,0.990344,0.989649,0.990344,checkpoints/51_starnet_baseline_dibas/seed_2026_round_3_final.pth,results/51_starnet_baseline_dibas/seed_2026_round_3_predictions.csv,results/51_starnet_baseline_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,starnet,StarNet-S4,baseline,10,0.003382,0.999361,117.58,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3627,2559,33,45,0.987548,0.987269,0.987745,0.982719,0.987269,0.984988,0.990984,0.987745,0.989362,0.986851,0.987507,0.987175,0.987507,checkpoints/51_starnet_baseline_dibas/seed_2026_round_4_final.pth,results/51_starnet_baseline_dibas/seed_2026_round_4_predictions.csv,results/51_starnet_baseline_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,starnet,StarNet-S4,baseline,10,0.004339,1.0,116.7,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3671,2525,67,1,0.989144,0.974151,0.999728,0.999604,0.974151,0.986714,0.982076,0.999728,0.990823,0.99084,0.986939,0.988768,0.986939,checkpoints/51_starnet_baseline_dibas/seed_2026_round_5_final.pth,results/51_starnet_baseline_dibas/seed_2026_round_5_predictions.csv,results/51_starnet_baseline_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,starnet,StarNet-S4,baseline,10,0.00664,0.997446,116.88,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3520,2554,38,152,0.969668,0.98534,0.958606,0.943829,0.98534,0.964137,0.98932,0.958606,0.973721,0.966574,0.971973,0.968929,0.971973,checkpoints/51_starnet_baseline_dibas/seed_2027_round_1_final.pth,results/51_starnet_baseline_dibas/seed_2027_round_1_predictions.csv,results/51_starnet_baseline_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,starnet,StarNet-S4,baseline,10,0.004724,0.999361,117.01,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3646,2575,17,26,0.993135,0.993441,0.992919,0.990004,0.993441,0.99172,0.995359,0.992919,0.994138,0.992681,0.99318,0.992929,0.99318,checkpoints/51_starnet_baseline_dibas/seed_2027_round_2_final.pth,results/51_starnet_baseline_dibas/seed_2027_round_2_predictions.csv,results/51_starnet_baseline_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,starnet,StarNet-S4,baseline,10,0.001284,1.0,116.95,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3613,2588,4,59,0.989943,0.998457,0.983932,0.977711,0.998457,0.987975,0.998894,0.983932,0.991357,0.988302,0.991195,0.989666,0.991195,checkpoints/51_starnet_baseline_dibas/seed_2027_round_3_final.pth,results/51_starnet_baseline_dibas/seed_2027_round_3_predictions.csv,results/51_starnet_baseline_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,starnet,StarNet-S4,baseline,10,0.006218,0.998723,117.32,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3655,2582,10,17,0.99569,0.996142,0.99537,0.993459,0.996142,0.994799,0.997271,0.99537,0.99632,0.995365,0.995756,0.995559,0.995756,checkpoints/51_starnet_baseline_dibas/seed_2027_round_4_final.pth,results/51_starnet_baseline_dibas/seed_2027_round_4_predictions.csv,results/51_starnet_baseline_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,starnet,StarNet-S4,baseline,10,0.001529,1.0,116.82,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3666,2559,33,6,0.993774,0.987269,0.998366,0.997661,0.987269,0.992437,0.991079,0.998366,0.994709,0.99437,0.992817,0.993573,0.992817,checkpoints/51_starnet_baseline_dibas/seed_2027_round_5_final.pth,results/51_starnet_baseline_dibas/seed_2027_round_5_predictions.csv,results/51_starnet_baseline_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,starnet,StarNet-S4,baseline,10,0.007924,0.996807,117.11,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3598,2577,15,74,0.985792,0.994213,0.979847,0.972086,0.994213,0.983025,0.995848,0.979847,0.987783,0.983967,0.98703,0.985404,0.98703,checkpoints/51_starnet_baseline_dibas/seed_2028_round_1_final.pth,results/51_starnet_baseline_dibas/seed_2028_round_1_predictions.csv,results/51_starnet_baseline_dibas/seed_2028_round_1_training_history.csv
