cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2570,0.991512
2026,2026,1,cocci,bacilli,22,0.008488
2026,2026,1,bacilli,cocci,24,0.006536
2026,2026,1,bacilli,bacilli,3648,0.993464
2026,2026,2,cocci,cocci,2575,0.993441
2026,2026,2,cocci,bacilli,17,0.006559
2026,2026,2,bacilli,cocci,62,0.016885
2026,2026,2,bacilli,bacilli,3610,0.983115
2026,2026,3,cocci,cocci,2563,0.988812
2026,2026,3,cocci,bacilli,29,0.011188
2026,2026,3,bacilli,cocci,140,0.038126
2026,2026,3,bacilli,bacilli,3532,0.961874
2026,2026,4,cocci,cocci,2577,0.994213
2026,2026,4,cocci,bacilli,15,0.005787
2026,2026,4,bacilli,cocci,12,0.003268
2026,2026,4,bacilli,bacilli,3660,0.996732
2026,2026,5,cocci,cocci,2572,0.992284
2026,2026,5,cocci,bacilli,20,0.007716
2026,2026,5,bacilli,cocci,4,0.001089
2026,2026,5,bacilli,bacilli,3668,0.998911
2027,2027,1,cocci,cocci,2542,0.98071
2027,2027,1,cocci,bacilli,50,0.01929
2027,2027,1,bacilli,cocci,6,0.001634
2027,2027,1,bacilli,bacilli,3666,0.998366
2027,2027,2,cocci,cocci,2575,0.993441
2027,2027,2,cocci,bacilli,17,0.006559
2027,2027,2,bacilli,cocci,11,0.002996
2027,2027,2,bacilli,bacilli,3661,0.997004
2027,2027,3,cocci,cocci,2583,0.996528
2027,2027,3,cocci,bacilli,9,0.003472
2027,2027,3,bacilli,cocci,29,0.007898
2027,2027,3,bacilli,bacilli,3643,0.992102
2027,2027,4,cocci,cocci,2586,0.997685
2027,2027,4,cocci,bacilli,6,0.002315
2027,2027,4,bacilli,cocci,12,0.003268
2027,2027,4,bacilli,bacilli,3660,0.996732
2027,2027,5,cocci,cocci,2551,0.984182
2027,2027,5,cocci,bacilli,41,0.015818
2027,2027,5,bacilli,cocci,7,0.001906
2027,2027,5,bacilli,bacilli,3665,0.998094
2028,2028,1,cocci,cocci,2566,0.989969
2028,2028,1,cocci,bacilli,26,0.010031
2028,2028,1,bacilli,cocci,9,0.002451
2028,2028,1,bacilli,bacilli,3663,0.997549
2028,2028,2,cocci,cocci,2582,0.996142
2028,2028,2,cocci,bacilli,10,0.003858
2028,2028,2,bacilli,cocci,26,0.007081
2028,2028,2,bacilli,bacilli,3646,0.992919
2028,2028,3,cocci,cocci,2585,0.997299
2028,2028,3,cocci,bacilli,7,0.002701
2028,2028,3,bacilli,cocci,39,0.010621
2028,2028,3,bacilli,bacilli,3633,0.989379
2028,2028,4,cocci,cocci,2519,0.971836
2028,2028,4,cocci,bacilli,73,0.028164
2028,2028,4,bacilli,cocci,37,0.010076
2028,2028,4,bacilli,bacilli,3635,0.989924
2028,2028,5,cocci,cocci,2574,0.993056
2028,2028,5,cocci,bacilli,18,0.006944
2028,2028,5,bacilli,cocci,12,0.003268
2028,2028,5,bacilli,bacilli,3660,0.996732
