cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,starnet,StarNet-S4,gan,10,0.002454,0.999455,152.56,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3648,2570,22,24,0.992656,0.991512,0.993464,0.990748,0.991512,0.99113,0.994005,0.993464,0.993735,0.992377,0.992488,0.992432,0.992488,checkpoints/52_starnet_gan_dibas/seed_2026_round_1_final.pth,results/52_starnet_gan_dibas/seed_2026_round_1_predictions.csv,results/52_starnet_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,starnet,StarNet-S4,gan,10,0.017862,0.995643,132.29,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3610,2575,17,62,0.987388,0.993441,0.983115,0.976488,0.993441,0.984892,0.995313,0.983115,0.989177,0.985901,0.988278,0.987034,0.988278,checkpoints/52_starnet_gan_dibas/seed_2026_round_2_final.pth,results/52_starnet_gan_dibas/seed_2026_round_2_predictions.csv,results/52_starnet_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,starnet,StarNet-S4,gan,10,0.010062,0.996187,131.18,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3532,2563,29,140,0.97302,0.988812,0.961874,0.948206,0.988812,0.968083,0.991856,0.961874,0.976635,0.970031,0.975343,0.972359,0.975343,checkpoints/52_starnet_gan_dibas/seed_2026_round_3_final.pth,results/52_starnet_gan_dibas/seed_2026_round_3_predictions.csv,results/52_starnet_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,starnet,StarNet-S4,gan,10,0.001539,1.0,131.76,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2577,15,12,0.99569,0.994213,0.996732,0.995365,0.994213,0.994789,0.995918,0.996732,0.996325,0.995642,0.995472,0.995557,0.995472,checkpoints/52_starnet_gan_dibas/seed_2026_round_4_final.pth,results/52_starnet_gan_dibas/seed_2026_round_4_predictions.csv,results/52_starnet_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,starnet,StarNet-S4,gan,10,0.006641,0.999455,130.58,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3668,2572,20,4,0.996169,0.992284,0.998911,0.998447,0.992284,0.995356,0.994577,0.998911,0.996739,0.996512,0.995597,0.996048,0.995597,checkpoints/52_starnet_gan_dibas/seed_2026_round_5_final.pth,results/52_starnet_gan_dibas/seed_2026_round_5_predictions.csv,results/52_starnet_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,starnet,StarNet-S4,gan,10,0.000983,1.0,131.09,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3666,2542,50,6,0.99106,0.98071,0.998366,0.997645,0.98071,0.989105,0.986545,0.998366,0.99242,0.992095,0.989538,0.990763,0.989538,checkpoints/52_starnet_gan_dibas/seed_2027_round_1_final.pth,results/52_starnet_gan_dibas/seed_2027_round_1_predictions.csv,results/52_starnet_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,starnet,StarNet-S4,gan,10,0.001199,1.0,130.24,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3661,2575,17,11,0.99553,0.993441,0.997004,0.995746,0.993441,0.994593,0.995378,0.997004,0.99619,0.995562,0.995223,0.995391,0.995223,checkpoints/52_starnet_gan_dibas/seed_2027_round_2_final.pth,results/52_starnet_gan_dibas/seed_2027_round_2_predictions.csv,results/52_starnet_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,starnet,StarNet-S4,gan,10,0.00076,1.0,131.85,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3643,2583,9,29,0.993934,0.996528,0.992102,0.988897,0.996528,0.992698,0.997536,0.992102,0.994812,0.993216,0.994315,0.993755,0.994315,checkpoints/52_starnet_gan_dibas/seed_2027_round_3_final.pth,results/52_starnet_gan_dibas/seed_2027_round_3_predictions.csv,results/52_starnet_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,starnet,StarNet-S4,gan,10,0.000772,1.0,132.83,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2586,6,12,0.997126,0.997685,0.996732,0.995381,0.997685,0.996532,0.998363,0.996732,0.997547,0.996872,0.997209,0.997039,0.997209,checkpoints/52_starnet_gan_dibas/seed_2027_round_4_final.pth,results/52_starnet_gan_dibas/seed_2027_round_4_predictions.csv,results/52_starnet_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,starnet,StarNet-S4,gan,10,0.001146,1.0,131.79,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3665,2551,41,7,0.992337,0.984182,0.998094,0.997263,0.984182,0.99068,0.988937,0.998094,0.993494,0.9931,0.991138,0.992087,0.991138,checkpoints/52_starnet_gan_dibas/seed_2027_round_5_final.pth,results/52_starnet_gan_dibas/seed_2027_round_5_predictions.csv,results/52_starnet_gan_dibas/seed_2027_round_5_training_history.csv
