cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2566,0.989969
2026,2026,1,cocci,bacilli,26,0.010031
2026,2026,1,bacilli,cocci,14,0.003813
2026,2026,1,bacilli,bacilli,3658,0.996187
2026,2026,2,cocci,cocci,2584,0.996914
2026,2026,2,cocci,bacilli,8,0.003086
2026,2026,2,bacilli,cocci,7,0.001906
2026,2026,2,bacilli,bacilli,3665,0.998094
2026,2026,3,cocci,cocci,2568,0.990741
2026,2026,3,cocci,bacilli,24,0.009259
2026,2026,3,bacilli,cocci,18,0.004902
2026,2026,3,bacilli,bacilli,3654,0.995098
2026,2026,4,cocci,cocci,2575,0.993441
2026,2026,4,cocci,bacilli,17,0.006559
2026,2026,4,bacilli,cocci,27,0.007353
2026,2026,4,bacilli,bacilli,3645,0.992647
2026,2026,5,cocci,cocci,2570,0.991512
2026,2026,5,cocci,bacilli,22,0.008488
2026,2026,5,bacilli,cocci,11,0.002996
2026,2026,5,bacilli,bacilli,3661,0.997004
2027,2027,1,cocci,cocci,2560,0.987654
2027,2027,1,cocci,bacilli,32,0.012346
2027,2027,1,bacilli,cocci,17,0.00463
2027,2027,1,bacilli,bacilli,3655,0.99537
2027,2027,2,cocci,cocci,2571,0.991898
2027,2027,2,cocci,bacilli,21,0.008102
2027,2027,2,bacilli,cocci,10,0.002723
2027,2027,2,bacilli,bacilli,3662,0.997277
2027,2027,3,cocci,cocci,2588,0.998457
2027,2027,3,cocci,bacilli,4,0.001543
2027,2027,3,bacilli,cocci,64,0.017429
2027,2027,3,bacilli,bacilli,3608,0.982571
2027,2027,4,cocci,cocci,2580,0.99537
2027,2027,4,cocci,bacilli,12,0.00463
2027,2027,4,bacilli,cocci,7,0.001906
2027,2027,4,bacilli,bacilli,3665,0.998094
2027,2027,5,cocci,cocci,2538,0.979167
2027,2027,5,cocci,bacilli,54,0.020833
2027,2027,5,bacilli,cocci,36,0.009804
2027,2027,5,bacilli,bacilli,3636,0.990196
2028,2028,1,cocci,cocci,2553,0.984954
2028,2028,1,cocci,bacilli,39,0.015046
2028,2028,1,bacilli,cocci,19,0.005174
2028,2028,1,bacilli,bacilli,3653,0.994826
2028,2028,2,cocci,cocci,2562,0.988426
2028,2028,2,cocci,bacilli,30,0.011574
2028,2028,2,bacilli,cocci,7,0.001906
2028,2028,2,bacilli,bacilli,3665,0.998094
2028,2028,3,cocci,cocci,2580,0.99537
2028,2028,3,cocci,bacilli,12,0.00463
2028,2028,3,bacilli,cocci,46,0.012527
2028,2028,3,bacilli,bacilli,3626,0.987473
2028,2028,4,cocci,cocci,2588,0.998457
2028,2028,4,cocci,bacilli,4,0.001543
2028,2028,4,bacilli,cocci,11,0.002996
2028,2028,4,bacilli,bacilli,3661,0.997004
2028,2028,5,cocci,cocci,2553,0.984954
2028,2028,5,cocci,bacilli,39,0.015046
2028,2028,5,bacilli,cocci,5,0.001362
2028,2028,5,bacilli,bacilli,3667,0.998638
