cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,starnet,StarNet-S4,stylegan3,10,0.003671,0.999455,155.26,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3658,2566,26,14,0.993614,0.989969,0.996187,0.994574,0.989969,0.992266,0.992942,0.996187,0.994562,0.993758,0.993078,0.993414,0.993078,checkpoints/53_starnet_stylegan3_dibas/seed_2026_round_1_final.pth,results/53_starnet_stylegan3_dibas/seed_2026_round_1_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,starnet,StarNet-S4,stylegan3,10,0.003839,0.999455,134.01,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3665,2584,8,7,0.997605,0.996914,0.998094,0.997298,0.996914,0.997106,0.997822,0.998094,0.997958,0.99756,0.997504,0.997532,0.997504,checkpoints/53_starnet_stylegan3_dibas/seed_2026_round_2_final.pth,results/53_starnet_stylegan3_dibas/seed_2026_round_2_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,starnet,StarNet-S4,stylegan3,10,0.003742,0.998911,131.58,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3654,2568,24,18,0.993295,0.990741,0.995098,0.993039,0.990741,0.991889,0.993475,0.995098,0.994286,0.993257,0.992919,0.993087,0.992919,checkpoints/53_starnet_stylegan3_dibas/seed_2026_round_3_final.pth,results/53_starnet_stylegan3_dibas/seed_2026_round_3_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,starnet,StarNet-S4,stylegan3,10,0.011389,0.996732,131.84,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3645,2575,17,27,0.992976,0.993441,0.992647,0.989623,0.993441,0.991529,0.995358,0.992647,0.994001,0.992491,0.993044,0.992765,0.993044,checkpoints/53_starnet_stylegan3_dibas/seed_2026_round_4_final.pth,results/53_starnet_stylegan3_dibas/seed_2026_round_4_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,starnet,StarNet-S4,stylegan3,10,0.001486,1.0,131.78,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3661,2570,22,11,0.994732,0.991512,0.997004,0.995738,0.991512,0.993621,0.994027,0.997004,0.995513,0.994882,0.994258,0.994567,0.994258,checkpoints/53_starnet_stylegan3_dibas/seed_2026_round_5_final.pth,results/53_starnet_stylegan3_dibas/seed_2026_round_5_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,starnet,StarNet-S4,stylegan3,10,0.001093,1.0,132.07,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3655,2560,32,17,0.992178,0.987654,0.99537,0.993403,0.987654,0.99052,0.991321,0.99537,0.993341,0.992362,0.991512,0.991931,0.991512,checkpoints/53_starnet_stylegan3_dibas/seed_2027_round_1_final.pth,results/53_starnet_stylegan3_dibas/seed_2027_round_1_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,starnet,StarNet-S4,stylegan3,10,0.000678,1.0,131.78,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3662,2571,21,10,0.995051,0.991898,0.997277,0.996126,0.991898,0.994007,0.994298,0.997277,0.995785,0.995212,0.994587,0.994896,0.994587,checkpoints/53_starnet_stylegan3_dibas/seed_2027_round_2_final.pth,results/53_starnet_stylegan3_dibas/seed_2027_round_2_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,starnet,StarNet-S4,stylegan3,10,0.000749,1.0,131.39,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3608,2588,4,64,0.989144,0.998457,0.982571,0.975867,0.998457,0.987033,0.998893,0.982571,0.990664,0.98738,0.990514,0.988849,0.990514,checkpoints/53_starnet_stylegan3_dibas/seed_2027_round_3_final.pth,results/53_starnet_stylegan3_dibas/seed_2027_round_3_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,starnet,StarNet-S4,stylegan3,10,0.003129,0.999455,130.96,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3665,2580,12,7,0.996967,0.99537,0.998094,0.997294,0.99537,0.996331,0.996736,0.998094,0.997415,0.997015,0.996732,0.996873,0.996732,checkpoints/53_starnet_stylegan3_dibas/seed_2027_round_4_final.pth,results/53_starnet_stylegan3_dibas/seed_2027_round_4_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,starnet,StarNet-S4,stylegan3,10,0.001608,1.0,131.71,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3636,2538,54,36,0.985632,0.979167,0.990196,0.986014,0.979167,0.982578,0.985366,0.990196,0.987775,0.98569,0.984681,0.985177,0.984681,checkpoints/53_starnet_stylegan3_dibas/seed_2027_round_5_final.pth,results/53_starnet_stylegan3_dibas/seed_2027_round_5_predictions.csv,results/53_starnet_stylegan3_dibas/seed_2027_round_5_training_history.csv
