cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,2570,0.991512
2026,2026,1,cocci,bacilli,22,0.008488
2026,2026,1,bacilli,cocci,11,0.002996
2026,2026,1,bacilli,bacilli,3661,0.997004
2026,2026,2,cocci,cocci,2585,0.997299
2026,2026,2,cocci,bacilli,7,0.002701
2026,2026,2,bacilli,cocci,10,0.002723
2026,2026,2,bacilli,bacilli,3662,0.997277
2026,2026,3,cocci,cocci,2574,0.993056
2026,2026,3,cocci,bacilli,18,0.006944
2026,2026,3,bacilli,cocci,20,0.005447
2026,2026,3,bacilli,bacilli,3652,0.994553
2026,2026,4,cocci,cocci,2579,0.994985
2026,2026,4,cocci,bacilli,13,0.005015
2026,2026,4,bacilli,cocci,19,0.005174
2026,2026,4,bacilli,bacilli,3653,0.994826
2026,2026,5,cocci,cocci,2566,0.989969
2026,2026,5,cocci,bacilli,26,0.010031
2026,2026,5,bacilli,cocci,7,0.001906
2026,2026,5,bacilli,bacilli,3665,0.998094
2027,2027,1,cocci,cocci,2569,0.991127
2027,2027,1,cocci,bacilli,23,0.008873
2027,2027,1,bacilli,cocci,17,0.00463
2027,2027,1,bacilli,bacilli,3655,0.99537
2027,2027,2,cocci,cocci,2579,0.994985
2027,2027,2,cocci,bacilli,13,0.005015
2027,2027,2,bacilli,cocci,37,0.010076
2027,2027,2,bacilli,bacilli,3635,0.989924
2027,2027,3,cocci,cocci,2580,0.99537
2027,2027,3,cocci,bacilli,12,0.00463
2027,2027,3,bacilli,cocci,42,0.011438
2027,2027,3,bacilli,bacilli,3630,0.988562
2027,2027,4,cocci,cocci,2583,0.996528
2027,2027,4,cocci,bacilli,9,0.003472
2027,2027,4,bacilli,cocci,11,0.002996
2027,2027,4,bacilli,bacilli,3661,0.997004
2027,2027,5,cocci,cocci,2535,0.978009
2027,2027,5,cocci,bacilli,57,0.021991
2027,2027,5,bacilli,cocci,82,0.022331
2027,2027,5,bacilli,bacilli,3590,0.977669
2028,2028,1,cocci,cocci,2559,0.987269
2028,2028,1,cocci,bacilli,33,0.012731
2028,2028,1,bacilli,cocci,25,0.006808
2028,2028,1,bacilli,bacilli,3647,0.993192
2028,2028,2,cocci,cocci,2580,0.99537
2028,2028,2,cocci,bacilli,12,0.00463
2028,2028,2,bacilli,cocci,12,0.003268
2028,2028,2,bacilli,bacilli,3660,0.996732
2028,2028,3,cocci,cocci,2554,0.98534
2028,2028,3,cocci,bacilli,38,0.01466
2028,2028,3,bacilli,cocci,32,0.008715
2028,2028,3,bacilli,bacilli,3640,0.991285
2028,2028,4,cocci,cocci,2582,0.996142
2028,2028,4,cocci,bacilli,10,0.003858
2028,2028,4,bacilli,cocci,18,0.004902
2028,2028,4,bacilli,bacilli,3654,0.995098
2028,2028,5,cocci,cocci,2577,0.994213
2028,2028,5,cocci,bacilli,15,0.005787
2028,2028,5,bacilli,cocci,14,0.003813
2028,2028,5,bacilli,bacilli,3658,0.996187
