cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,starnet,StarNet-S4,diffusion_gan,10,0.002935,1.0,153.33,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3661,2570,22,11,0.994732,0.991512,0.997004,0.995738,0.991512,0.993621,0.994027,0.997004,0.995513,0.994882,0.994258,0.994567,0.994258,checkpoints/54_starnet_diffusion_gan_dibas/seed_2026_round_1_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2026_round_1_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2026_round_1_training_history.csv
2026,2026,2,starnet,StarNet-S4,diffusion_gan,10,0.003004,0.999455,131.31,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3662,2585,7,10,0.997286,0.997299,0.997277,0.996146,0.997299,0.996723,0.998092,0.997277,0.997684,0.997119,0.997288,0.997203,0.997288,checkpoints/54_starnet_diffusion_gan_dibas/seed_2026_round_2_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2026_round_2_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2026_round_2_training_history.csv
2026,2026,3,starnet,StarNet-S4,diffusion_gan,10,0.001999,1.0,131.35,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3652,2574,18,20,0.993934,0.993056,0.994553,0.99229,0.993056,0.992673,0.995095,0.994553,0.994824,0.993693,0.993804,0.993748,0.993804,checkpoints/54_starnet_diffusion_gan_dibas/seed_2026_round_3_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2026_round_3_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2026_round_3_training_history.csv
2026,2026,4,starnet,StarNet-S4,diffusion_gan,10,0.00177,1.0,132.0,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3653,2579,13,19,0.994891,0.994985,0.994826,0.992687,0.994985,0.993834,0.996454,0.994826,0.995639,0.99457,0.994905,0.994737,0.994905,checkpoints/54_starnet_diffusion_gan_dibas/seed_2026_round_4_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2026_round_4_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2026_round_4_training_history.csv
2026,2026,5,starnet,StarNet-S4,diffusion_gan,10,0.001405,1.0,133.39,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3665,2566,26,7,0.994732,0.989969,0.998094,0.997279,0.989969,0.993611,0.992956,0.998094,0.995518,0.995118,0.994031,0.994564,0.994031,checkpoints/54_starnet_diffusion_gan_dibas/seed_2026_round_5_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2026_round_5_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2026_round_5_training_history.csv
2027,2027,1,starnet,StarNet-S4,diffusion_gan,10,0.000928,1.0,131.46,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3655,2569,23,17,0.993614,0.991127,0.99537,0.993426,0.991127,0.992275,0.993747,0.99537,0.994558,0.993586,0.993248,0.993416,0.993248,checkpoints/54_starnet_diffusion_gan_dibas/seed_2027_round_1_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2027_round_1_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2027_round_1_training_history.csv
2027,2027,2,starnet,StarNet-S4,diffusion_gan,10,0.001599,1.0,131.97,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3635,2579,13,37,0.992018,0.994985,0.989924,0.985856,0.994985,0.990399,0.996436,0.989924,0.993169,0.991146,0.992454,0.991784,0.992454,checkpoints/54_starnet_diffusion_gan_dibas/seed_2027_round_2_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2027_round_2_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2027_round_2_training_history.csv
2027,2027,3,starnet,StarNet-S4,diffusion_gan,10,0.001043,1.0,131.37,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3630,2580,12,42,0.991379,0.99537,0.988562,0.983982,0.99537,0.989643,0.996705,0.988562,0.992617,0.990343,0.991966,0.99113,0.991966,checkpoints/54_starnet_diffusion_gan_dibas/seed_2027_round_3_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2027_round_3_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2027_round_3_training_history.csv
2027,2027,4,starnet,StarNet-S4,diffusion_gan,10,0.000689,1.0,131.53,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3661,2583,9,11,0.996807,0.996528,0.997004,0.995759,0.996528,0.996143,0.997548,0.997004,0.997276,0.996654,0.996766,0.99671,0.996766,checkpoints/54_starnet_diffusion_gan_dibas/seed_2027_round_4_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2027_round_4_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2027_round_4_training_history.csv
2027,2027,5,starnet,StarNet-S4,diffusion_gan,10,0.00093,1.0,131.03,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3590,2535,57,82,0.97781,0.978009,0.977669,0.968666,0.978009,0.973315,0.984371,0.977669,0.981008,0.976519,0.977839,0.977162,0.977839,checkpoints/54_starnet_diffusion_gan_dibas/seed_2027_round_5_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2027_round_5_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2027_round_5_training_history.csv
2028,2028,1,starnet,StarNet-S4,diffusion_gan,10,0.000716,1.0,131.97,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3647,2559,33,25,0.990741,0.987269,0.993192,0.990325,0.987269,0.988794,0.991033,0.993192,0.992111,0.990679,0.99023,0.990453,0.99023,checkpoints/54_starnet_diffusion_gan_dibas/seed_2028_round_1_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2028_round_1_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2028_round_1_training_history.csv
2028,2028,2,starnet,StarNet-S4,diffusion_gan,10,0.000732,1.0,132.77,2,"1,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3660,2580,12,12,0.996169,0.99537,0.996732,0.99537,0.99537,0.99537,0.996732,0.996732,0.996732,0.996051,0.996051,0.996051,0.996051,checkpoints/54_starnet_diffusion_gan_dibas/seed_2028_round_2_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2028_round_2_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2028_round_2_training_history.csv
2028,2028,3,starnet,StarNet-S4,diffusion_gan,10,0.021655,0.993464,131.01,3,"1,2,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3640,2554,38,32,0.988825,0.98534,0.991285,0.987626,0.98534,0.986481,0.989668,0.991285,0.990476,0.988647,0.988312,0.988479,0.988312,checkpoints/54_starnet_diffusion_gan_dibas/seed_2028_round_3_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2028_round_3_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2028_round_3_training_history.csv
2028,2028,4,starnet,StarNet-S4,diffusion_gan,10,0.000768,1.0,131.43,4,"1,2,3,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3654,2582,10,18,0.99553,0.996142,0.995098,0.993077,0.996142,0.994607,0.997271,0.995098,0.996183,0.995174,0.99562,0.995395,0.99562,checkpoints/54_starnet_diffusion_gan_dibas/seed_2028_round_4_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2028_round_4_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2028_round_4_training_history.csv
2028,2028,5,starnet,StarNet-S4,diffusion_gan,10,0.002855,0.999455,130.91,5,"1,2,3,4",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3658,2577,15,14,0.99537,0.994213,0.996187,0.994597,0.994213,0.994405,0.995916,0.996187,0.996052,0.995256,0.9952,0.995228,0.9952,checkpoints/54_starnet_diffusion_gan_dibas/seed_2028_round_5_final.pth,results/54_starnet_diffusion_gan_dibas/seed_2028_round_5_predictions.csv,results/54_starnet_diffusion_gan_dibas/seed_2028_round_5_training_history.csv
