cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1389,0.987207
2026,2026,1,cocci,bacilli,18,0.012793
2026,2026,1,bacilli,cocci,95,0.049947
2026,2026,1,bacilli,bacilli,1807,0.950053
2026,2026,2,cocci,cocci,1372,0.950797
2026,2026,2,cocci,bacilli,71,0.049203
2026,2026,2,bacilli,cocci,24,0.012638
2026,2026,2,bacilli,bacilli,1875,0.987362
2026,2026,3,cocci,cocci,1409,0.986004
2026,2026,3,cocci,bacilli,20,0.013996
2026,2026,3,bacilli,cocci,56,0.028807
2026,2026,3,bacilli,bacilli,1888,0.971193
2026,2026,4,cocci,cocci,1347,0.938022
2026,2026,4,cocci,bacilli,89,0.061978
2026,2026,4,bacilli,cocci,5,0.002601
2026,2026,4,bacilli,bacilli,1917,0.997399
2026,2026,5,cocci,cocci,1317,0.919051
2026,2026,5,cocci,bacilli,116,0.080949
2026,2026,5,bacilli,cocci,4,0.002104
2026,2026,5,bacilli,bacilli,1897,0.997896
2027,2027,1,cocci,cocci,1385,0.984364
2027,2027,1,cocci,bacilli,22,0.015636
2027,2027,1,bacilli,cocci,41,0.021556
2027,2027,1,bacilli,bacilli,1861,0.978444
2027,2027,2,cocci,cocci,1390,0.963271
2027,2027,2,cocci,bacilli,53,0.036729
2027,2027,2,bacilli,cocci,36,0.018957
2027,2027,2,bacilli,bacilli,1863,0.981043
2027,2027,3,cocci,cocci,1374,0.961512
2027,2027,3,cocci,bacilli,55,0.038488
2027,2027,3,bacilli,cocci,34,0.01749
2027,2027,3,bacilli,bacilli,1910,0.98251
2027,2027,4,cocci,cocci,1358,0.945682
2027,2027,4,cocci,bacilli,78,0.054318
2027,2027,4,bacilli,cocci,72,0.037461
2027,2027,4,bacilli,bacilli,1850,0.962539
2027,2027,5,cocci,cocci,1405,0.980461
2027,2027,5,cocci,bacilli,28,0.019539
2027,2027,5,bacilli,cocci,6,0.003156
2027,2027,5,bacilli,bacilli,1895,0.996844
2028,2028,1,cocci,cocci,1386,0.985075
2028,2028,1,cocci,bacilli,21,0.014925
2028,2028,1,bacilli,cocci,64,0.033649
2028,2028,1,bacilli,bacilli,1838,0.966351
2028,2028,2,cocci,cocci,1365,0.945946
2028,2028,2,cocci,bacilli,78,0.054054
2028,2028,2,bacilli,cocci,18,0.009479
2028,2028,2,bacilli,bacilli,1881,0.990521
2028,2028,3,cocci,cocci,1421,0.994402
2028,2028,3,cocci,bacilli,8,0.005598
2028,2028,3,bacilli,cocci,39,0.020062
2028,2028,3,bacilli,bacilli,1905,0.979938
2028,2028,4,cocci,cocci,1393,0.970056
2028,2028,4,cocci,bacilli,43,0.029944
2028,2028,4,bacilli,cocci,33,0.01717
2028,2028,4,bacilli,bacilli,1889,0.98283
2028,2028,5,cocci,cocci,1296,0.904396
2028,2028,5,cocci,bacilli,137,0.095604
2028,2028,5,bacilli,cocci,43,0.02262
2028,2028,5,bacilli,bacilli,1858,0.97738
