cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.251878,0.978161,98.17,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1807,1389,18,95,0.965851,0.987207,0.950053,0.935984,0.987207,0.960913,0.990137,0.950053,0.969681,0.96306,0.96863,0.965297,0.96863,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2026_round_1_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_1_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.064031,0.988053,78.56,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1875,1372,71,24,0.971574,0.950797,0.987362,0.982808,0.950797,0.966538,0.963515,0.987362,0.975293,0.973161,0.969079,0.970915,0.969079,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2026_round_2_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_2_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.194098,0.980149,53.42,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1888,1409,20,56,0.977468,0.986004,0.971193,0.961775,0.986004,0.973739,0.989518,0.971193,0.98027,0.975646,0.978599,0.977004,0.978599,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2026_round_3_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_3_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.041282,0.992692,54.23,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1917,1347,89,5,0.972007,0.938022,0.997399,0.996302,0.938022,0.966284,0.955633,0.997399,0.976069,0.975967,0.96771,0.971177,0.96771,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2026_round_4_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_4_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.086436,0.988166,56.25,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1897,1317,116,4,0.964007,0.919051,0.997896,0.996972,0.919051,0.956427,0.942375,0.997896,0.969341,0.969673,0.958473,0.962884,0.958473,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2026_round_5_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_5_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.153229,0.983908,57.31,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1861,1385,22,41,0.980961,0.984364,0.978444,0.971248,0.984364,0.977762,0.988317,0.978444,0.983355,0.979782,0.981404,0.980559,0.981404,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2027_round_1_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_1_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.071862,0.990442,55.8,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1863,1390,53,36,0.973369,0.963271,0.981043,0.974755,0.963271,0.968979,0.972338,0.981043,0.976671,0.973546,0.972157,0.972825,0.972157,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2027_round_2_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_2_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.096721,0.988834,54.2,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1910,1374,55,34,0.973614,0.961512,0.98251,0.975852,0.961512,0.968629,0.97201,0.98251,0.977232,0.973931,0.972011,0.97293,0.972011,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2027_round_3_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_3_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.113364,0.985384,55.08,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1850,1358,78,72,0.955331,0.945682,0.962539,0.94965,0.945682,0.947662,0.959544,0.962539,0.961039,0.954597,0.954111,0.954351,0.954111,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2027_round_4_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_4_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.168501,0.978698,56.14,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1895,1405,28,6,0.989802,0.980461,0.996844,0.995748,0.980461,0.988045,0.985439,0.996844,0.991109,0.990594,0.988652,0.989577,0.988652,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2027_round_5_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_5_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.051419,0.989655,57.25,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1838,1386,21,64,0.974312,0.985075,0.966351,0.955862,0.985075,0.970249,0.988704,0.966351,0.9774,0.972283,0.975713,0.973824,0.975713,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2028_round_1_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_1_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.11011,0.985663,55.7,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1881,1365,78,18,0.971275,0.945946,0.990521,0.986985,0.945946,0.96603,0.960184,0.990521,0.975117,0.973584,0.968234,0.970573,0.968234,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2028_round_2_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_2_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.088071,0.990074,54.16,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1905,1421,8,39,0.986066,0.994402,0.979938,0.973288,0.994402,0.983731,0.995818,0.979938,0.987814,0.984553,0.98717,0.985773,0.98717,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2028_round_3_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_3_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_3_training_history.csv
2028,2028,4,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.089085,0.986602,55.02,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1889,1393,43,33,0.977367,0.970056,0.98283,0.976858,0.970056,0.973445,0.977743,0.98283,0.98028,0.977301,0.976443,0.976863,0.976443,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2028_round_4_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_4_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_4_training_history.csv
2028,2028,5,mobilenetv4,MobileNetV4-Conv-Medium,baseline,10,0.045557,0.994083,55.99,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1858,1296,137,43,0.946011,0.904396,0.97738,0.967886,0.904396,0.935065,0.931328,0.97738,0.953799,0.949607,0.940888,0.944432,0.940888,checkpoints/55_mobilenetv4_baseline_dataset2/seed_2028_round_5_final.pth,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_5_predictions.csv,results/55_mobilenetv4_baseline_dataset2/seed_2028_round_5_training_history.csv
