cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1377,0.978678
2026,2026,1,cocci,bacilli,30,0.021322
2026,2026,1,bacilli,cocci,71,0.037329
2026,2026,1,bacilli,bacilli,1831,0.962671
2026,2026,2,cocci,cocci,1422,0.985447
2026,2026,2,cocci,bacilli,21,0.014553
2026,2026,2,bacilli,cocci,9,0.004739
2026,2026,2,bacilli,bacilli,1890,0.995261
2026,2026,3,cocci,cocci,1408,0.985304
2026,2026,3,cocci,bacilli,21,0.014696
2026,2026,3,bacilli,cocci,30,0.015432
2026,2026,3,bacilli,bacilli,1914,0.984568
2026,2026,4,cocci,cocci,1420,0.988858
2026,2026,4,cocci,bacilli,16,0.011142
2026,2026,4,bacilli,cocci,57,0.029657
2026,2026,4,bacilli,bacilli,1865,0.970343
2026,2026,5,cocci,cocci,1405,0.980461
2026,2026,5,cocci,bacilli,28,0.019539
2026,2026,5,bacilli,cocci,26,0.013677
2026,2026,5,bacilli,bacilli,1875,0.986323
2027,2027,1,cocci,cocci,1396,0.992182
2027,2027,1,cocci,bacilli,11,0.007818
2027,2027,1,bacilli,cocci,71,0.037329
2027,2027,1,bacilli,bacilli,1831,0.962671
2027,2027,2,cocci,cocci,1420,0.984061
2027,2027,2,cocci,bacilli,23,0.015939
2027,2027,2,bacilli,cocci,36,0.018957
2027,2027,2,bacilli,bacilli,1863,0.981043
2027,2027,3,cocci,cocci,1409,0.986004
2027,2027,3,cocci,bacilli,20,0.013996
2027,2027,3,bacilli,cocci,29,0.014918
2027,2027,3,bacilli,bacilli,1915,0.985082
2027,2027,4,cocci,cocci,1430,0.995822
2027,2027,4,cocci,bacilli,6,0.004178
2027,2027,4,bacilli,cocci,116,0.060354
2027,2027,4,bacilli,bacilli,1806,0.939646
2027,2027,5,cocci,cocci,1386,0.967202
2027,2027,5,cocci,bacilli,47,0.032798
2027,2027,5,bacilli,cocci,22,0.011573
2027,2027,5,bacilli,bacilli,1879,0.988427
2028,2028,1,cocci,cocci,1385,0.984364
2028,2028,1,cocci,bacilli,22,0.015636
2028,2028,1,bacilli,cocci,45,0.023659
2028,2028,1,bacilli,bacilli,1857,0.976341
2028,2028,2,cocci,cocci,1393,0.96535
2028,2028,2,cocci,bacilli,50,0.03465
2028,2028,2,bacilli,cocci,35,0.018431
2028,2028,2,bacilli,bacilli,1864,0.981569
2028,2028,3,cocci,cocci,1403,0.981805
2028,2028,3,cocci,bacilli,26,0.018195
2028,2028,3,bacilli,cocci,55,0.028292
2028,2028,3,bacilli,bacilli,1889,0.971708
2028,2028,4,cocci,cocci,1395,0.971448
2028,2028,4,cocci,bacilli,41,0.028552
2028,2028,4,bacilli,cocci,41,0.021332
2028,2028,4,bacilli,bacilli,1881,0.978668
2028,2028,5,cocci,cocci,1409,0.983252
2028,2028,5,cocci,bacilli,24,0.016748
2028,2028,5,bacilli,cocci,70,0.036823
2028,2028,5,bacilli,bacilli,1831,0.963177
