cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.056594,0.989796,99.87,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1831,1377,30,71,0.969477,0.978678,0.962671,0.950967,0.978678,0.964623,0.98388,0.962671,0.97316,0.967423,0.970674,0.968892,0.970674,checkpoints/56_mobilenetv4_gan_dataset2/seed_2026_round_1_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2026_round_1_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.031026,0.993915,87.21,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1890,1422,21,9,0.991023,0.985447,0.995261,0.993711,0.985447,0.989562,0.989011,0.995261,0.992126,0.991361,0.990354,0.990844,0.990354,checkpoints/56_mobilenetv4_gan_dataset2/seed_2026_round_2_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2026_round_2_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.041117,0.991071,58.14,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1914,1408,21,30,0.98488,0.985304,0.984568,0.979138,0.985304,0.982211,0.989147,0.984568,0.986852,0.984142,0.984936,0.984532,0.984936,checkpoints/56_mobilenetv4_gan_dataset2/seed_2026_round_3_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2026_round_3_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.037237,0.990426,72.71,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1865,1420,16,57,0.978261,0.988858,0.970343,0.961408,0.988858,0.97494,0.991494,0.970343,0.980805,0.976451,0.979601,0.977872,0.979601,checkpoints/56_mobilenetv4_gan_dataset2/seed_2026_round_4_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2026_round_4_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.192742,0.986762,74.92,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1875,1405,28,26,0.983803,0.980461,0.986323,0.981831,0.980461,0.981145,0.985286,0.986323,0.985804,0.983559,0.983392,0.983475,0.983392,checkpoints/56_mobilenetv4_gan_dataset2/seed_2026_round_5_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2026_round_5_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.212895,0.983673,62.21,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1831,1396,11,71,0.975219,0.992182,0.962671,0.951602,0.992182,0.971468,0.994028,0.962671,0.978098,0.972815,0.977426,0.974783,0.977426,checkpoints/56_mobilenetv4_gan_dataset2/seed_2027_round_1_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2027_round_1_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.025299,0.992901,63.17,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1863,1420,23,36,0.982346,0.984061,0.981043,0.975275,0.984061,0.979648,0.987805,0.981043,0.984412,0.98154,0.982552,0.98203,0.982552,checkpoints/56_mobilenetv4_gan_dataset2/seed_2027_round_2_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2027_round_2_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.046893,0.992188,58.85,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1915,1409,20,29,0.985473,0.986004,0.985082,0.979833,0.986004,0.982909,0.989664,0.985082,0.987368,0.984749,0.985543,0.985138,0.985543,checkpoints/56_mobilenetv4_gan_dataset2/seed_2027_round_3_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2027_round_3_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.088154,0.982979,60.93,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1806,1430,6,116,0.963669,0.995822,0.939646,0.924968,0.995822,0.959088,0.996689,0.939646,0.967327,0.960828,0.967734,0.963208,0.967734,checkpoints/56_mobilenetv4_gan_dataset2/seed_2027_round_4_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2027_round_4_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.073347,0.989817,62.75,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1879,1386,47,22,0.979304,0.967202,0.988427,0.984375,0.967202,0.975713,0.975597,0.988427,0.98197,0.979986,0.977814,0.978841,0.977814,checkpoints/56_mobilenetv4_gan_dataset2/seed_2027_round_5_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2027_round_5_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.188455,0.979592,62.79,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1857,1385,22,45,0.979752,0.984364,0.976341,0.968531,0.984364,0.976384,0.988292,0.976341,0.98228,0.978412,0.980352,0.979332,0.980352,checkpoints/56_mobilenetv4_gan_dataset2/seed_2028_round_1_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2028_round_1_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.193385,0.982759,62.82,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1864,1393,50,35,0.974566,0.96535,0.981569,0.97549,0.96535,0.970394,0.973877,0.981569,0.977708,0.974683,0.97346,0.974051,0.97346,checkpoints/56_mobilenetv4_gan_dataset2/seed_2028_round_2_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2028_round_2_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.030461,0.989955,58.59,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1889,1403,26,55,0.975986,0.981805,0.971708,0.962277,0.981805,0.971943,0.986423,0.971708,0.97901,0.97435,0.976757,0.975477,0.976757,checkpoints/56_mobilenetv4_gan_dataset2/seed_2028_round_3_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2028_round_3_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2028_round_3_training_history.csv
2028,2028,4,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.197695,0.981915,60.78,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1881,1395,41,41,0.975581,0.971448,0.978668,0.971448,0.971448,0.971448,0.978668,0.978668,0.978668,0.975058,0.975058,0.975058,0.975058,checkpoints/56_mobilenetv4_gan_dataset2/seed_2028_round_4_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2028_round_4_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2028_round_4_training_history.csv
2028,2028,5,mobilenetv4,MobileNetV4-Conv-Medium,gan,10,0.095389,0.98778,62.7,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1831,1409,24,70,0.971806,0.983252,0.963177,0.952671,0.983252,0.96772,0.987062,0.963177,0.974973,0.969866,0.973215,0.971347,0.973215,checkpoints/56_mobilenetv4_gan_dataset2/seed_2028_round_5_final.pth,results/56_mobilenetv4_gan_dataset2/seed_2028_round_5_predictions.csv,results/56_mobilenetv4_gan_dataset2/seed_2028_round_5_training_history.csv
